Rank,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Age,T,,Team,League
,<a href=https://npb.jp/bis/eng/players/03905157.html>Beasley Jeremy</a>,8,1,3,0,0,0,0,132,29.1,35,0,25,12,2,3,1,16,15,4.60,2.79,3.82,1.60,62,89,107,1.81,0.0%,18.9%,9.1%,9.8%,42.4%,14.1%,77.7%,10.0%,27.1%,93.1,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/03505132.html>Dolis Rafael</a>,12,1,0,0,5,0,0,44,11.1,9,0,11,2,0,0,0,1,1,0.79,1.55,2.75,0.97,360,49,77,-0.76,0.0%,25.0%,4.5%,20.5%,54.8%,18.8%,64.6%,18.8%,31.2%,93.6,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/13715150.html>Duplantier Jon</a>,15,6,3,0,0,2,2,349,90.2,53,1,113,20,1,6,2,19,14,1.39,1.48,2.14,0.81,205,47,60,-0.09,0.3%,32.4%,5.7%,26.6%,49.0%,13.7%,71.7%,12.6%,33.2%,93.4,30,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/33735159.html>Guerra Javy</a>,6,0,1,0,1,0,0,29,4.2,10,0,4,5,0,0,0,7,7,13.50,4.46,5.14,3.21,21,142,144,9.04,0.0%,13.8%,17.2%,-3.4%,55.0%,10.3%,86.5%,6.5%,20.6%,96.5,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/43045150.html>Hartwig Grant</a>,12,2,0,0,3,0,0,42,10.0,7,1,7,6,0,1,0,5,5,4.50,4.96,4.56,1.30,63,158,128,-0.46,2.4%,16.7%,14.3%,2.4%,42.9%,8.4%,77.6%,9.0%,28.9%,93.0,28,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31635134.html>Hatake Seishu</a>,1,0,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,2.96,4.80,0.00,999,94,134,-2.96,0.0%,0.0%,0.0%,0.0%,66.7%,13.3%,70.0%,20.0%,26.7%,92.0,31,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/57955159.html>Hayakawa Daiki</a>,2,1,0,0,0,0,0,20,5.1,2,0,2,2,0,0,0,0,0,0.00,3.34,4.80,0.75,999,106,134,-3.34,0.0%,10.0%,10.0%,0.0%,50.0%,12.2%,94.4%,2.4%,22.0%,89.1,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71375150.html>Ihara Takato</a>,23,5,7,0,1,0,0,402,98.0,86,3,71,23,2,2,1,32,24,2.20,2.68,3.61,1.11,129,85,101,-0.48,0.7%,17.7%,5.7%,11.9%,46.3%,13.1%,82.4%,8.3%,26.6%,88.5,24,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/01105159.html>Ishiguro Yuya</a>,7,0,0,0,1,0,0,30,7.0,8,1,6,2,0,0,0,4,4,5.14,3.96,3.47,1.43,55,126,97,1.18,3.3%,20.0%,6.7%,13.3%,30.0%,15.2%,71.2%,17.0%,24.1%,92.3,24,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41145153.html>Ishii Daichi</a>,49,1,0,8,34,0,0,183,49.0,31,0,39,7,2,1,2,1,1,0.18,1.86,3.05,0.78,1580,59,85,-1.68,0.0%,21.3%,3.8%,17.5%,42.3%,12.8%,76.3%,12.9%,27.9%,92.7,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
