Rank,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,,Team,League
,Cabbage Trey,2,7,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,42.9%,42.9%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Kay Anthony,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,,50.0%,50.0%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Ford Mike,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,50.0%,50.0%,0.0%,0.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Nakayama Raito,1,4,4,1,1,0,0,1,4,3,0,0,0,0,1,0,0,0,0,0.250,0.250,1.000,1.250,248,0.750,0.000,50.0%,25.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Maru Yoshihiro,2,7,7,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0.143,0.143,0.143,0.286,-17,0.000,0.167,14.3%,14.3%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Sasaki Shunsuke,1,6,6,1,3,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,331,0.500,0.400,16.7%,0.0%,0.0%,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Sano Keita,2,9,8,1,3,0,0,1,6,2,0,0,0,0,0,1,1,0,0,0.375,0.444,0.750,1.194,234,0.375,0.286,22.2%,0.0%,11.1%,1.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Yoshikawa Naoki,2,8,6,1,2,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0.333,0.429,0.333,0.762,129,0.000,0.333,12.5%,0.0%,12.5%,1.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Mune Yuma,2,7,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.143,0.000,0.143,-55,0.000,0.000,28.6%,14.3%,14.3%,1.00,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Yamasaki Iori,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Watarai Ryuki,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,473,0.000,1.000,0.0%,0.0%,0.0%,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Kita Ryoto,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Hayashi Takuma,2,9,7,2,2,0,0,0,2,1,0,1,1,0,1,1,0,0,0,0.286,0.375,0.286,0.661,94,0.000,0.333,22.2%,11.1%,11.1%,1.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Kajiwara Kouki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Mori Tomoya,2,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,20.0%,20.0%,0.0%,0.00,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Mizuno Tatsuki,2,7,7,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0.143,0.143,0.143,0.286,-16,0.000,0.250,42.9%,42.9%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Izuguchi Yuta,2,10,9,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,30.0%,30.0%,0.0%,0.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Urata Shunsuke,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Kiyomiya Kotaro,2,7,7,0,2,0,1,0,4,2,0,0,0,0,2,0,0,0,1,0.286,0.286,0.571,0.857,134,0.286,0.400,28.6%,28.6%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Tamiya Yua,2,7,5,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.200,0.200,0.200,0.400,16,0.000,0.200,0.0%,0.0%,0.0%,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Yazawa Kota,2,5,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.200,0.200,0.200,0.400,16,0.000,0.250,20.0%,20.0%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Ishikami Taiki,2,9,8,2,2,0,0,1,5,3,1,0,0,0,3,1,0,0,0,0.250,0.333,0.625,0.958,167,0.375,0.250,55.6%,33.3%,11.1%,0.33,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Ishii Kazunari,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,25.0%,25.0%,0.0%,0.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Tsutsugoh Yoshitomo,2,9,8,3,4,0,0,2,10,3,0,0,0,0,1,1,0,0,1,0.500,0.556,1.250,1.806,396,0.750,0.400,44.4%,11.1%,11.1%,1.00,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Nishino Masahiro,2,8,8,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-27,0.000,0.167,25.0%,25.0%,0.0%,0.00,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Okoye Louis,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.500,0.000,0.500,63,0.000,0.000,50.0%,0.0%,50.0%,1.00,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Martinez Ariel,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-95,0.000,0.000,0.0%,0.0%,0.0%,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Sunagawa Richard,2,7,6,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0.167,0.286,0.167,0.452,37,0.000,0.333,57.1%,42.9%,14.3%,0.33,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Reyes Franmil,2,8,6,1,4,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0.667,0.750,0.667,1.417,300,0.000,0.667,25.0%,0.0%,25.0%,1.00,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
