#,Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,League
,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,344,299,28,63,10,1,6,93,28,7,0,11,1,66,29,5,4,4,0.211,0.288,0.311,0.599,92,0.100,0.250,29.4%,19.2%,8.4%,0.44,CL
,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,303,267,31,67,11,1,4,92,29,4,2,9,1,49,23,3,3,3,0.251,0.316,0.345,0.661,107,0.094,0.293,25.1%,16.2%,7.6%,0.47,CL
,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,336,314,40,75,17,2,4,108,40,4,1,3,3,62,15,0,1,7,0.239,0.273,0.344,0.617,92,0.105,0.283,24.1%,18.5%,4.5%,0.24,CL
,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,339,307,35,86,15,1,5,118,32,6,2,5,4,61,17,1,6,8,0.280,0.326,0.384,0.710,124,0.104,0.331,24.5%,18.0%,5.0%,0.28,CL
,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,294,267,21,53,12,0,4,77,21,1,0,6,0,46,20,2,1,2,0.199,0.257,0.288,0.545,66,0.089,0.226,23.8%,15.6%,6.8%,0.43,CL
,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,327,285,15,57,13,2,2,80,15,3,4,10,3,65,28,2,1,6,0.200,0.271,0.281,0.552,80,0.081,0.249,29.1%,19.9%,8.6%,0.43,CL
,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,319,292,40,93,17,4,7,139,40,3,3,8,2,53,15,0,2,2,0.318,0.354,0.476,0.830,163,0.158,0.368,23.5%,16.6%,4.7%,0.28,PL
,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,293,260,26,54,11,0,5,80,25,3,1,6,2,50,22,1,3,3,0.208,0.275,0.308,0.583,82,0.100,0.237,26.3%,17.1%,7.5%,0.44,PL
,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,302,276,30,68,10,2,6,100,30,6,1,1,4,70,21,0,0,4,0.246,0.296,0.362,0.658,104,0.116,0.304,32.1%,23.2%,7.0%,0.30,PL
,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,271,241,20,63,8,3,1,80,20,9,1,2,3,49,25,0,0,4,0.261,0.327,0.332,0.659,112,0.071,0.320,27.7%,18.1%,9.2%,0.51,PL
,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,260,237,21,55,8,2,2,73,19,7,2,3,3,28,14,0,3,5,0.232,0.280,0.308,0.588,86,0.076,0.252,16.9%,10.8%,5.4%,0.50,PL
,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,283,267,24,54,11,0,10,95,24,1,1,0,0,54,13,0,3,5,0.202,0.247,0.356,0.603,86,0.154,0.217,27.2%,19.1%,4.6%,0.24,PL
,League Average,306,276,28,66,12,2,5,95,27,4,2,5,2,54,20,1,2,4,0.238,0.293,0.343,0.636,100,0.105,0.279,25.8%,17.6%,6.5%,0.37,
