Rank,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,League
,Kay Anthony,1,1,0,0,0,0,27,7.0,2,1,8,4,1,0,0,2,2,2.57,4.34,3.32,0.86,153,99,95,-1.77,3.7%,29.6%,14.8%,14.8%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Baldonado Alberto,2,0,0,0,0,0,5,1.1,0,0,1,1,0,0,0,0,0,0.00,3.80,4.80,0.75,999,91,137,-3.80,0.0%,20.0%,20.0%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Uehara Kenta,1,1,0,0,0,0,7,2.0,0,0,0,1,0,0,0,0,0,0.00,4.55,6.23,0.50,999,101,178,-4.55,0.0%,0.0%,14.3%,-14.3%,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,PL
,Nakagawa Kota,2,0,0,0,0,0,5,0.1,2,0,1,2,0,0,0,2,2,54.00,15.05,6.80,12.00,7,362,194,38.95,0.0%,20.0%,40.0%,-20.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Sakamoto Yuya,1,1,0,0,0,0,4,0.2,1,0,1,1,0,0,0,0,0,0.00,4.55,4.80,3.00,999,104,137,-4.55,0.0%,25.0%,25.0%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Miyagi Hiroya,1,0,0,0,0,0,16,3.0,5,0,5,1,0,1,0,3,3,9.00,1.72,2.30,2.00,42,41,66,7.28,0.0%,31.2%,6.2%,25.0%,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Jackson Andre,1,0,0,0,0,0,11,1.0,6,2,0,1,0,0,0,5,4,36.00,32.05,5.71,7.00,11,733,163,3.95,18.2%,0.0%,9.1%,-9.1%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
,Martinez Raidel,1,0,0,0,0,0,6,1.2,0,0,2,0,0,1,0,0,0,0.00,2.45,1.47,0.00,999,59,42,-2.45,0.0%,33.3%,0.0%,33.3%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,CL
,Kuri Allen,1,0,0,0,0,0,18,4.0,4,0,2,2,0,0,0,0,0,0.00,3.55,4.80,1.50,999,85,137,-3.55,0.0%,11.1%,11.1%,0.0%,🦬,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,PL
,Ise Hiromu,2,0,0,0,0,0,6,2.0,0,0,3,0,0,0,0,0,0,0.00,0.05,-0.20,0.00,999,1,-6,-0.05,0.0%,50.0%,0.0%,50.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,CL
