#,Team,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,1,0,1,0,0,0,32,9.0,4,0,8,1,0,0,0,0,0,0.00,1.64,2.61,0.56,inf,54,74.2,-1.64,0.0%,25.0%,3.1%,21.9%,CL
,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,0,1,0,0,0,0,38,9.0,8,1,9,4,0,0,0,4,4,4.00,3.87,3.48,1.33,71,121,99.0,0.13,2.6%,23.7%,10.5%,13.2%,CL
,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,1,0,0,0,0,0,32,9.0,4,0,9,1,0,0,0,0,0,0.00,1.42,2.30,0.56,inf,44,65.3,-1.42,0.0%,28.1%,3.1%,25.0%,CL
,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,1,0,0,0,0,0,39,10.0,8,1,5,1,0,0,0,5,3,2.70,3.69,3.77,0.90,104,118,107.2,-0.99,2.6%,12.8%,2.6%,10.3%,CL
,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,0,1,0,1,0,0,46,9.2,17,1,5,1,0,1,0,6,6,5.59,4.02,3.93,1.86,55,117,111.7,1.57,2.2%,10.9%,2.2%,8.7%,CL
,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,0,1,0,0,0,0,33,8.0,9,0,3,2,0,1,1,5,5,5.62,3.46,4.50,1.38,47,118,127.8,2.16,0.0%,9.1%,6.1%,3.0%,CL
,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,1,0,0,0,0,0,32,9.0,5,0,9,0,0,0,0,2,2,2.00,1.09,1.99,0.56,138,35,56.5,0.91,0.0%,28.1%,0.0%,28.1%,PL
,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,1,0,0,0,0,0,38,9.0,7,0,8,4,0,0,0,2,1,1.00,2.64,3.75,1.22,290,82,106.5,-1.64,0.0%,21.1%,10.5%,10.5%,PL
,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,0,1,0,0,0,0,42,9.0,12,1,4,2,0,1,0,8,8,8.00,4.64,4.32,1.56,36,144,122.8,3.36,2.4%,9.5%,4.8%,4.8%,PL
,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,0,1,0,0,0,0,36,8.2,9,1,6,1,0,0,0,3,3,3.12,3.55,3.41,1.15,88,116,96.9,-0.43,2.8%,16.7%,2.8%,13.9%,PL
,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,0,1,0,0,1,0,31,9.0,6,2,3,0,0,0,0,2,2,2.00,5.31,3.83,0.67,140,170,108.9,-3.31,6.5%,9.7%,0.0%,9.7%,PL
,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,1,0,0,0,1,1,31,9.0,6,0,4,1,0,0,1,0,0,0.00,2.53,3.83,0.78,inf,78,108.9,-2.53,0.0%,12.9%,3.2%,9.7%,PL
,League Average,0,0,0,0,0,0,36,9.0,8,1,6,2,0,0,0,3,3,3.00,3.87,3.69,1.11,94,122,104.8,-0.87,2.8%,16.7%,5.6%,11.1%,
