Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
鈴木 将平,ハ,LF,291.7,2.3,1.7,-,0.8,-0.3,-2.8,-,-,
鈴木 将平,ハ,DH,16.0,-,-,-,-,-,-0.2,-,-,
大里 昂生,オ,1B,15.3,0.7,0.6,-0.1,-,0.2,-0.2,-,-,
大里 昂生,オ,2B,210.7,6.7,5.2,1.1,-,0.4,0.6,-,-,
大里 昂生,オ,3B,26.3,-2.7,-0.7,-0.1,-,-1.9,-0.1,-,-,
大里 昂生,オ,SS,17.0,0.6,0.4,0.0,-,0.2,0.1,-,-,
井坪 陽生,神,CF,195.0,3.0,4.0,-,-1.2,0.2,0.7,-,-,
田中 広輔,広,3B,0.7,-0.2,-0.2,0.0,-,0.0,0.0,-,-,
田中 広輔,広,SS,187.3,1.9,1.5,-0.8,-,1.1,1.5,-,-,
田中 広輔,広,DH,18.0,-,-,-,-,-,-0.2,-,-,
今宮 健太,ソ,SS,29.0,-1.0,-1.4,0.2,-,0.2,0.2,-,-,
樋口 正修,中,2B,24.0,0.4,0.3,-0.1,-,0.2,0.1,-,-,
樋口 正修,中,LF,2.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
石見 颯真,ソ,2B,23.0,0.5,0.1,0.3,-,0.1,0.1,-,-,
石見 颯真,ソ,3B,17.0,-0.3,-0.5,0.0,-,0.2,-0.1,-,-,
石見 颯真,ソ,SS,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
石見 颯真,ソ,DH,4.0,-,-,-,-,-,0.0,-,-,
上本 崇司,広,2B,12.0,-0.2,-0.4,0.1,-,0.1,0.0,-,-,
上本 崇司,広,SS,136.7,-3.3,-1.0,-0.3,-,-2.0,1.1,-,-,
上本 崇司,広,LF,3.0,-0.2,-0.2,-,0.0,0.0,0.0,-,-,
上本 崇司,広,DH,1.0,-,-,-,-,-,0.0,-,-,
奥村 光一,西,LF,19.0,-0.2,0.0,-,-0.3,0.0,-0.2,-,-,
奥村 光一,西,CF,80.7,0.6,0.7,-,-0.1,0.1,0.3,-,-,
奥村 光一,西,RF,18.0,-0.1,0.1,-,-0.2,0.0,-0.1,-,-,
奥村 光一,西,DH,3.0,-,-,-,-,-,0.0,-,-,
知念 大成,O,CF,307.7,0.5,2.8,-,-2.5,0.3,1.0,-,-,
知念 大成,O,RF,25.0,1.0,1.0,-,0.0,0.0,-0.1,-,-,
明瀬 諒介,日,2B,187.0,-1.6,0.2,-0.8,-,-1.0,0.5,-,-,
