Player,Team,Position,Inning,TZR,RngR,DPR,ARM,ErrR,位置補正,Framing,Blocking,
若林 楽人,巨,LF,89.0,-2.6,-1.9,-,-0.7,0.0,-0.8,-,-,
若林 楽人,巨,RF,6.0,-0.1,-0.1,-,0.0,0.0,0.0,-,-,
西川 遥輝,ヤ,LF,3.7,-1.5,-1.1,-,-0.4,0.0,0.0,-,-,
西川 遥輝,ヤ,CF,32.0,-0.2,-0.2,-,0.0,0.0,0.1,-,-,
西川 遥輝,ヤ,RF,17.0,1.3,0.6,-,0.7,0.0,-0.1,-,-,
梶原 昂希,デ,CF,113.0,-2.8,-2.6,-,-0.2,0.1,0.4,-,-,
岡林 勇希,中,CF,130.0,-0.1,0.9,-,-1.0,0.1,0.4,-,-,
二俣 翔一,広,3B,14.0,0.6,0.9,0.2,-,-0.4,-0.1,-,-,
二俣 翔一,広,CF,57.0,2.9,1.6,-,1.3,0.0,0.2,-,-,
二俣 翔一,広,RF,29.0,0.8,0.3,-,0.5,0.0,-0.1,-,-,
近本 光司,神,CF,119.0,-3.1,-2.5,-,-0.6,0.1,0.4,-,-,
長谷川 信哉,西,RF,106.7,-0.5,-1.0,-,0.5,0.0,-0.4,-,-,
矢澤 宏太,日,LF,39.3,3.2,3.1,-,0.1,0.0,-0.4,-,-,
矢澤 宏太,日,CF,16.7,-0.3,-1.1,-,0.7,0.0,0.1,-,-,
中川 圭太,オ,CF,39.3,-0.3,-0.4,-,0.1,0.0,0.1,-,-,
中川 圭太,オ,RF,80.7,-1.0,-0.9,-,-0.1,0.0,-0.3,-,-,
小深田 大翔,楽,2B,100.7,-2.0,-2.7,0.5,-,0.2,0.3,-,-,
周東 佑京,ソ,CF,119.0,-0.6,-0.8,-,0.1,0.1,0.4,-,-,
西川 史礁,ロ,LF,70.0,2.6,1.4,-,1.1,0.0,-0.7,-,-,
西川 史礁,ロ,RF,8.0,-0.3,-0.3,-,0.0,0.0,0.0,-,-,
和田 康士朗,ロ,LF,4.0,0.6,0.6,-,0.0,0.0,0.0,-,-,
和田 康士朗,ロ,RF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
増田 珠,ヤ,1B,1.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
増田 珠,ヤ,LF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
増田 珠,ヤ,RF,11.0,0.8,1.2,-,-0.5,0.0,0.0,-,-,
万波 中正,日,RF,130.0,1.6,0.7,-,0.9,0.0,-0.5,-,-,
岡 大海,ロ,LF,14.0,-1.0,-0.8,-,-0.2,0.0,-0.1,-,-,
岡 大海,ロ,CF,8.0,-0.4,-0.4,-,0.0,0.0,0.0,-,-,
岡 大海,ロ,RF,46.0,0.4,0.8,-,-0.3,0.0,-0.2,-,-,
赤羽 由紘,ヤ,2B,36.7,-1.1,-1.4,0.1,-,0.1,0.1,-,-,
赤羽 由紘,ヤ,3B,15.0,0.6,0.3,0.2,-,0.2,-0.1,-,-,
赤羽 由紘,ヤ,CF,47.0,1.0,1.4,-,-0.5,0.0,0.2,-,-,
赤羽 由紘,ヤ,RF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
オコエ 瑠偉,巨,LF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
オコエ 瑠偉,巨,CF,12.0,-0.4,-0.4,-,0.0,0.0,0.0,-,-,
松本 剛,日,LF,5.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
松本 剛,日,CF,60.0,0.6,1.1,-,-0.6,0.0,0.2,-,-,
福田 周平,オ,LF,20.3,1.6,1.3,-,0.4,0.0,-0.2,-,-,
福田 周平,オ,CF,41.7,0.9,-0.1,-,0.9,0.0,0.1,-,-,
