Batter,Team,Bats,PA,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Chikamoto Koji,Hanshin,L,640.0,13.59375,9.21875,43.22033898,60.63110443,23.01656495,86.2745098,93.30855019,64.77272727,5.93220339,13.7254902,26.99757869,57.58676352,54.58333333,34.58333333,10.83333333,29.79166667,4.791666667,45.41666667,0.46875,1.807228916,35.625,40.41666667,23.95833333,9.016393443,,0.1359375,0.0921875,0.4322033898,0.6063110443,0.2301656495,0.862745098,0.9330855019,0.6477272727,0.0593220339,0.137254902,0.2699757869,0.5758676352,0.5458333333,0.3458333333,0.1083333333,0.2979166667,0.04791666667,0.4541666667,0.0046875,0.01807228916,0.35625,0.4041666667,0.2395833333,0.09016393443
Okabayashi Yuki,Chunichi,L,628.0,8.757961783,6.52866242,43.41317365,57.6433121,26.74632353,90.73891626,95.5801105,78.69415808,4.020530368,9.261083744,26.56116339,58.81094953,49.71098266,40.8477842,9.441233141,32.56262042,8.285163776,50.28901734,0.7961783439,2.358490566,29.67244701,46.82080925,23.50674374,11.74242424,,0.08757961783,0.0652866242,0.4341317365,0.576433121,0.2674632353,0.9073891626,0.955801105,0.7869415808,0.04020530368,0.09261083744,0.2656116339,0.5881094953,0.4971098266,0.408477842,0.09441233141,0.3256262042,0.08285163776,0.5028901734,0.007961783439,0.02358490566,0.2967244701,0.4682080925,0.2350674374,0.1174242424
Nakano Takumu,Hanshin,L,628.0,12.2611465,6.847133758,40.5648267,55.87076438,22.37827715,86.28691983,92.66572638,67.36401674,5.562687206,13.71308017,27.64227642,57.98031665,62.24489796,28.57142857,9.183673469,22.24489796,6.326530612,37.75510204,0.0,0.0,24.89795918,52.44897959,22.65306122,5.210420842,,0.122611465,0.06847133758,0.405648267,0.5587076438,0.2237827715,0.8628691983,0.9266572638,0.6736401674,0.05562687206,0.1371308017,0.2764227642,0.5798031665,0.6224489796,0.2857142857,0.09183673469,0.2224489796,0.06326530612,0.3775510204,0.0,0.0,0.2489795918,0.5244897959,0.2265306122,0.05210420842
Morishita Shota,Hanshin,R,621.0,13.84863124,8.051529791,39.62338172,58.62903226,21.55369383,85.34653465,93.81017882,63.60424028,5.806198509,14.65346535,25.77481365,53.43271871,40.78947368,50.43859649,8.771929825,36.84210526,13.59649123,59.21052632,3.703703704,10.0,43.64035088,42.3245614,14.03508772,20.51282051,,0.1384863124,0.08051529791,0.3962338172,0.5862903226,0.2155369383,0.8534653465,0.9381017882,0.6360424028,0.05806198509,0.1465346535,0.2577481365,0.5343271871,0.4078947368,0.5043859649,0.08771929825,0.3684210526,0.1359649123,0.5921052632,0.03703703704,0.1,0.4364035088,0.423245614,0.1403508772,0.2051282051
Sato Teruaki,Hanshin,L,590.0,27.45762712,8.13559322,50.27299454,74.05247813,32.10332103,69.17293233,83.33333333,44.36781609,15.49769005,30.82706767,26.62746745,55.10289794,38.58695652,52.98913043,8.423913043,40.76086957,12.22826087,61.41304348,6.779661017,20.51282051,44.02173913,38.04347826,17.93478261,18.88297872,,0.2745762712,0.0813559322,0.5027299454,0.7405247813,0.3210332103,0.6917293233,0.8333333333,0.4436781609,0.1549769005,0.3082706767,0.2662746745,0.5510289794,0.3858695652,0.5298913043,0.08423913043,0.4076086957,0.1222826087,0.6141304348,0.06779661017,0.2051282051,0.4402173913,0.3804347826,0.1793478261,0.1888297872
Ohyama Yusuke,Hanshin,R,581.0,16.5232358,11.53184165,43.02736099,63.79310345,23.28767123,77.74358974,87.90896159,51.47058824,9.576345984,22.25641026,27.00794351,54.6337158,42.39401496,47.63092269,9.975062344,38.65336658,8.97755611,57.60598504,2.237521515,6.806282723,39.1521197,39.90024938,20.94763092,16.78832117,,0.165232358,0.1153184165,0.4302736099,0.6379310345,0.2328767123,0.7774358974,0.8790896159,0.5147058824,0.09576345984,0.2225641026,0.2700794351,0.546337158,0.4239401496,0.4763092269,0.09975062344,0.3865336658,0.0897755611,0.5760598504,0.02237521515,0.06806282723,0.391521197,0.3990024938,0.2094763092,0.1678832117
Kiyomiya Kotaro,Nipponham,L,581.0,14.62994836,7.917383821,50.33175355,71.8960539,29.41176471,77.02448211,87.41633199,52.38095238,11.56398104,22.97551789,25.21327014,57.44075829,44.89795918,44.44444444,10.65759637,36.05442177,8.390022676,55.10204082,2.065404475,6.12244898,38.54875283,42.63038549,18.82086168,12.78026906,,0.1462994836,0.07917383821,0.5033175355,0.718960539,0.2941176471,0.7702448211,0.8741633199,0.5238095238,0.1156398104,0.2297551789,0.2521327014,0.5744075829,0.4489795918,0.4444444444,0.1065759637,0.3605442177,0.08390022676,0.5510204082,0.02065404475,0.0612244898,0.3854875283,0.4263038549,0.1882086168,0.1278026906
Izuguchi Yuta,Yomiuri,L,573.0,10.47120419,7.853403141,42.65828469,61.85654008,20.82533589,88.52631579,92.9058663,73.73271889,4.894476875,11.47368421,24.78670858,55.94970813,44.73684211,43.42105263,11.84210526,36.40350877,7.01754386,55.26315789,1.047120419,3.03030303,30.26315789,44.29824561,25.43859649,13.41991342,,0.1047120419,0.07853403141,0.4265828469,0.6185654008,0.2082533589,0.8852631579,0.929058663,0.7373271889,0.04894476875,0.1147368421,0.2478670858,0.5594970813,0.4473684211,0.4342105263,0.1184210526,0.3640350877,0.0701754386,0.5526315789,0.01047120419,0.0303030303,0.3026315789,0.4429824561,0.2543859649,0.1341991342
Kozono Kaito,Hiroshima,L,572.0,8.216783217,6.293706294,56.13856342,74.34869739,37.30569948,83.75680581,90.70080863,69.44444444,9.118695874,16.24319419,22.00713194,60.92715232,48.10126582,41.13924051,10.75949367,33.5443038,7.594936709,51.89873418,0.5244755245,1.538461538,28.69198312,44.30379747,27.00421941,9.394572025,,0.08216783217,0.06293706294,0.5613856342,0.7434869739,0.3730569948,0.8375680581,0.9070080863,0.6944444444,0.09118695874,0.1624319419,0.2200713194,0.6092715232,0.4810126582,0.4113924051,0.1075949367,0.335443038,0.07594936709,0.5189873418,0.005244755245,0.01538461538,0.2869198312,0.4430379747,0.2700421941,0.09394572025
Fabian Sandro,Hiroshima,R,572.0,14.68531469,3.321678322,54.66101695,71.81208054,38.07763401,82.34280792,90.9212283,66.74757282,9.651600753,17.65719208,23.44632768,61.11111111,34.30493274,58.74439462,6.950672646,37.44394619,21.30044843,65.69506726,2.972027972,6.488549618,43.2735426,41.47982063,15.24663677,23.90350877,,0.1468531469,0.03321678322,0.5466101695,0.7181208054,0.3807763401,0.8234280792,0.909212283,0.6674757282,0.09651600753,0.1765719208,0.2344632768,0.6111111111,0.3430493274,0.5874439462,0.06950672646,0.3744394619,0.2130044843,0.6569506726,0.02972027972,0.06488549618,0.432735426,0.4147982063,0.1524663677,0.2390350877
