Pitcher,Team,Throws,IP,TBF,FB Velo,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,Strike%,Ball%,F-Str%,PAR%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%,Zone%,Arm%,Glove%,High%,Low%,MM%,Behind%,Sec%,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
Itoh Hiromi,Nipponham,R,195.3333333,795,92.9,0.24528302,0.0327044,0.51608579,0.67158672,0.32941176,0.77142857,0.8507326,0.578125,0.1179624665,0.2285714286,0.2925603217,0.6987265416,0.3012734584,0.6708701135,0.204616999,0.6347184987,0.4572953737,0.4448398577,0.09786476868,0.3309608541,0.1138790036,0.5427046263,0.01886792453,0.06,0.3487544484,0.4270462633,0.2241992883,0.1451327434,0.5449061662,0.5093770931,0.4906229069,0.4564634963,0.5435365037,0.05626255861,0.0770261219,0.4607908847,,24.52830189,3.270440252,51.60857909,67.15867159,32.94117647,77.14285714,85.07326007,57.8125,11.79624665,22.85714286,29.25603217,69.87265416,30.12734584,67.08701135,20.4616999,63.47184987,45.72953737,44.48398577,9.786476868,33.09608541,11.38790036,54.27046263,1.886792453,6.0,34.87544484,42.70462633,22.41992883,14.51327434,54.49061662,50.93770931,49.06229069,45.64634963,54.35365037,5.626255861,7.70261219,46.07908847
Murakami Shoki,Hanshin,R,172.6666667,675,90.8,0.21333333,0.03111111,0.4857997,0.64918759,0.31821618,0.77923077,0.86461889,0.60095012,0.1072496263,0.2207692308,0.2795216741,0.6662929746,0.3337070254,0.6587183308,0.1698564593,0.6147234679,0.3824130879,0.527607362,0.0899795501,0.3599182004,0.1676891616,0.6175869121,0.01333333333,0.03488372093,0.3496932515,0.4028629857,0.2474437628,0.1809145129,0.5059790732,0.5050429585,0.4949570415,0.4187523347,0.5812476653,0.04482629809,0.08218154651,0.3333333333,,21.33333333,3.111111111,48.5799701,64.91875923,31.82161754,77.92307692,86.46188851,60.09501188,10.72496263,22.07692308,27.95216741,66.62929746,33.37070254,65.87183308,16.98564593,61.47234679,38.24130879,52.7607362,8.99795501,35.99182004,16.76891616,61.75869121,1.333333333,3.488372093,34.96932515,40.28629857,24.74437628,18.09145129,50.59790732,50.50429585,49.49570415,41.87523347,58.12476653,4.482629809,8.218154651,33.33333333
Arihara Kohei,SoftBank,R,171.3333333,727,91.6,0.16643741,0.05502063,0.4844887,0.66023166,0.31131359,0.76126482,0.89005848,0.49268293,0.1156644964,0.2387351779,0.2780543853,0.6572194561,0.3427805439,0.6289655172,0.1753623188,0.5886633474,0.5477477477,0.3531531532,0.0990990991,0.2936936937,0.05945945946,0.4522522523,0.01375515818,0.05102040816,0.4396396396,0.3801801802,0.1801801802,0.1570397112,0.4959785523,0.5842266462,0.4157733538,0.3365237366,0.6634762634,0.03215926493,0.1083460949,0.4561470701,,16.6437414,5.502063274,48.44887016,66.02316602,31.13135915,76.12648221,89.00584795,49.26829268,11.56644964,23.87351779,27.80543853,65.72194561,34.27805439,62.89655172,17.53623188,58.86633474,54.77477477,35.31531532,9.90990991,29.36936937,5.945945946,45.22522523,1.375515818,5.102040816,43.96396396,38.01801802,18.01801802,15.70397112,49.59785523,58.42266462,41.57733538,33.65237366,66.34762634,3.215926493,10.83460949,45.61470701
Takahashi Hiroto,Chunichi,R,168.0,690,94.5,0.2,0.06956522,0.48602541,0.69082498,0.30384088,0.7386109,0.84709821,0.51918736,0.1270417423,0.2613890963,0.2686025408,0.6366606171,0.3633393829,0.601744186,0.1674757282,0.5796733212,0.5614754098,0.3524590164,0.08606557377,0.2950819672,0.05737704918,0.4385245902,0.01594202899,0.06395348837,0.3360655738,0.4487704918,0.2151639344,0.1106639839,0.4707803993,0.5034482759,0.4965517241,0.4377495463,0.5622504537,0.05226860254,0.1245009074,0.3509981851,,20.0,6.956521739,48.60254083,69.08249807,30.38408779,73.86109037,84.70982143,51.91873589,12.70417423,26.13890963,26.86025408,63.66606171,36.33393829,60.1744186,16.74757282,57.96733212,56.14754098,35.24590164,8.606557377,29.50819672,5.737704918,43.85245902,1.594202899,6.395348837,33.60655738,44.87704918,21.51639344,11.06639839,47.07803993,50.34482759,49.65517241,43.77495463,56.22504537,5.226860254,12.45009074,35.09981851
Tokoda Hiroki,Hiroshima,L,167.6666667,704,88.9,0.14488636,0.05539773,0.46547119,0.6263048,0.2698145,0.82377049,0.89888889,0.6125,0.08202975963,0.1762295082,0.2773750477,0.6714994277,0.3285005723,0.6371428571,0.1319534282,0.6085463564,0.4718693285,0.4264972777,0.1016333938,0.335753176,0.09074410163,0.5281306715,0.01846590909,0.05531914894,0.3539019964,0.4337568058,0.2123411978,0.1433691756,0.5482640214,0.447197865,0.552802135,0.3964925658,0.6035074342,0.04803659931,0.09759817003,0.2632582984,,14.48863636,5.539772727,46.54711942,62.63048017,26.98145025,82.37704918,89.88888889,61.25,8.202975963,17.62295082,27.73750477,67.14994277,32.85005723,63.71428571,13.19534282,60.85463564,47.18693285,42.64972777,10.16333938,33.5753176,9.074410163,52.81306715,1.846590909,5.531914894,35.39019964,43.37568058,21.23411978,14.33691756,54.82640214,44.7197865,55.2802135,39.64925658,60.35074342,4.803659931,9.759817003,26.32582984
Moinelo Livan,SoftBank,L,163.6666667,642,92.9,0.26791277,0.06542056,0.50254005,0.66842502,0.32386364,0.72395023,0.82863585,0.49122807,0.1387260649,0.2760497667,0.305978898,0.6756545526,0.3243454474,0.634375,0.2131350682,0.6287612349,0.4123222749,0.5142180095,0.07345971564,0.3696682464,0.144549763,0.5876777251,0.01557632399,0.04608294931,0.3696682464,0.4004739336,0.2298578199,0.1682464455,0.5185619383,0.3997655334,0.6002344666,0.4177413052,0.5822586948,0.04220398593,0.1039468542,0.52989449,,26.79127726,6.542056075,50.25400547,66.84250188,32.38636364,72.39502333,82.86358512,49.12280702,13.87260649,27.60497667,30.5978898,67.56545526,32.43454474,63.4375,21.31350682,62.87612349,41.23222749,51.42180095,7.345971564,36.96682464,14.4549763,58.76777251,1.557632399,4.608294931,36.96682464,40.04739336,22.98578199,16.82464455,51.85619383,39.97655334,60.02344666,41.77413052,58.22586948,4.220398593,10.39468542,52.989449
Kuri Allen,ORIX,R,162.3333333,679,88.3,0.16789396,0.07069219,0.43020258,0.60543131,0.27986348,0.77825342,0.89973615,0.55365854,0.09539594843,0.2217465753,0.2740331492,0.614732965,0.385267035,0.6288659794,0.1371841155,0.5543278085,0.5186640472,0.3713163065,0.1100196464,0.2868369352,0.08447937132,0.4813359528,0.01030927835,0.03703703704,0.4597249509,0.3870333988,0.1532416503,0.1901960784,0.4611418048,0.5734265734,0.4265734266,0.2620537357,0.7379462643,0.03938167096,0.1148325359,0.4213627993,,16.78939617,7.06921944,43.02025783,60.54313099,27.98634812,77.82534247,89.97361478,55.36585366,9.539594843,22.17465753,27.40331492,61.4732965,38.5267035,62.88659794,13.71841155,55.43278085,51.86640472,37.13163065,11.00196464,28.68369352,8.447937132,48.13359528,1.030927835,3.703703704,45.97249509,38.70333988,15.32416503,19.01960784,46.11418048,57.34265734,42.65734266,26.20537357,73.79462643,3.938167096,11.48325359,42.13627993
Imai Tatsuya,Seibu,R,160.6666667,642,94.9,0.27570093,0.06853583,0.49195763,0.67071197,0.32368621,0.68022329,0.82629674,0.39529412,0.1573165947,0.3197767145,0.3142408788,0.6575127501,0.3424872499,0.5950155763,0.22125,0.6100431542,0.5024509804,0.4166666667,0.08088235294,0.306372549,0.1102941176,0.4975490196,0.009345794393,0.03529411765,0.3431372549,0.4583333333,0.1985294118,0.1206896552,0.4848960377,0.4821498627,0.5178501373,0.439780306,0.560219694,0.04903883876,0.1122008631,0.4990192232,,27.57009346,6.853582555,49.19576304,67.07119741,32.36862148,68.02232855,82.62967431,39.52941176,15.73165947,31.97767145,31.42408788,65.75127501,34.24872499,59.50155763,22.125,61.00431542,50.24509804,41.66666667,8.088235294,30.6372549,11.02941176,49.75490196,0.9345794393,3.529411765,34.31372549,45.83333333,19.85294118,12.06896552,48.48960377,48.21498627,51.78501373,43.9780306,56.0219694,4.903883876,11.22008631,49.90192232
Taneichi Atsuki,Lotte,R,158.6666667,667,92.4,0.24137931,0.07496252,0.49245064,0.67571761,0.30989181,0.72248428,0.85074627,0.44389027,0.1366627952,0.2775157233,0.2930700736,0.6569879985,0.3430120015,0.664167916,0.1973039216,0.5981416957,0.4922048998,0.4276169265,0.08017817372,0.3296213808,0.09799554566,0.5077951002,0.01949025487,0.06770833333,0.3875278396,0.4142538976,0.1982182628,0.1380846325,0.4990321332,0.5381339528,0.4618660472,0.3120402633,0.6879597367,0.05807200929,0.1053039102,0.5187766163,,24.13793103,7.496251874,49.24506388,67.57176106,30.98918083,72.24842767,85.07462687,44.38902743,13.66627952,27.75157233,29.30700736,65.69879985,34.30120015,66.4167916,19.73039216,59.81416957,49.22048998,42.76169265,8.017817372,32.96213808,9.799554566,50.77951002,1.949025487,6.770833333,38.75278396,41.42538976,19.82182628,13.80846325,49.90321332,53.81339528,46.18660472,31.20402633,68.79597367,5.807200929,10.53039102,51.87766163
Azuma Katsuki,DeNA,L,157.3333333,650,88.7,0.18923077,0.04,0.48823278,0.6196319,0.32236205,0.79754601,0.88366337,0.58858859,0.09884467266,0.2024539877,0.3068035944,0.703893881,0.296106119,0.7,0.1819526627,0.6358579375,0.4634146341,0.4512195122,0.08536585366,0.3719512195,0.07926829268,0.5365853659,0.02307692308,0.06756756757,0.3394308943,0.4776422764,0.1829268293,0.162601626,0.5579803166,0.5618314078,0.4381685922,0.3885323064,0.6114676936,0.05990586222,0.08087291399,0.432178006,,18.92307692,4.0,48.82327771,61.96319018,32.23620523,79.75460123,88.36633663,58.85885886,9.884467266,20.24539877,30.68035944,70.3893881,29.6106119,70.0,18.19526627,63.58579375,46.34146341,45.12195122,8.536585366,37.19512195,7.926829268,53.65853659,2.307692308,6.756756757,33.94308943,47.76422764,18.29268293,16.2601626,55.79803166,56.18314078,43.81685922,38.85323064,61.14676936,5.990586222,8.087291399,43.2178006
