Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
石井 大智,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
*岩貞 祐太,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
*岩崎 優,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
+植田 海,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
梅野 隆太郎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
大山 悠輔,3,12,11,0,1,1,0,0,2,2,0,0,0,1,0,0,0,3,0,.091,.182,.083,Hanshin Tigers,
小野寺 暖,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.500,.500,.500,Hanshin Tigers,
*小幡 竜平,1,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.250,.250,.250,Hanshin Tigers,
*及川 雅貴,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
*木浪 聖也,2,5,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,.200,.400,.200,Hanshin Tigers,
熊谷 敬宥,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
才木 浩人,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
坂本 誠志郎,3,11,7,0,1,0,0,0,1,0,0,0,1,0,3,0,0,4,0,.143,.143,.400,Hanshin Tigers,
*佐藤 輝明,3,12,11,2,5,2,0,1,10,5,0,0,0,0,1,1,0,2,0,.455,.909,.500,Hanshin Tigers,
*髙寺 望夢,2,4,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,.250,.250,.250,Hanshin Tigers,
*髙橋 遥人,1,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
*近本 光司,3,13,11,2,3,0,0,0,3,0,1,0,0,0,2,0,0,3,0,.273,.273,.385,Hanshin Tigers,
中川 勇斗,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,Hanshin Tigers,
*中野 拓夢,3,13,9,4,1,0,0,0,1,0,0,0,3,0,0,0,1,3,0,.111,.111,.200,Hanshin Tigers,
*畠 世周,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
ヘルナンデス,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
*前川 右京,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,Hanshin Tigers,
*村上 頌樹,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
森下 翔太,3,13,9,3,6,2,0,1,11,3,0,0,0,0,3,0,1,0,0,.667,1.222,.769,Hanshin Tigers,
