Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Beasley Jeremy,3,0,1,0,0,0,.000,60,14,,15,0,3,0,0,20,1,1,6,2,1.29,Hanshin Tigers,
Betances Jose,9,1,1,0,0,0,.500,76,16,.2,15,1,11,0,1,16,3,0,11,9,4.86,Hanshin Tigers,
Duplantier Jon,2,1,0,0,0,0,1.000,33,8,.2,6,0,2,0,0,14,0,0,0,0,0.00,Hanshin Tigers,
Guerra Javy,8,0,1,0,0,0,.000,36,8,,12,0,1,0,1,7,2,0,5,3,3.38,Hanshin Tigers,
Hatake Seishu,5,0,0,0,0,0,.000,21,3,.2,8,1,3,1,0,2,2,0,5,4,9.82,Hanshin Tigers,
Hayakawa Daiki,7,3,1,0,0,0,.750,144,34,.1,29,4,10,0,3,22,1,0,14,14,3.67,Hanshin Tigers,
Ihara Takato,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
Ishiguro Yuya,8,1,0,3,0,0,1.000,32,8,,4,0,3,0,0,9,0,0,1,0,0.00,Hanshin Tigers,
Itoh Masashi,7,2,1,0,0,0,.667,160,38,,43,1,7,0,2,26,0,0,16,15,3.55,Hanshin Tigers,
Itoh Ryo,7,2,4,0,0,0,.333,142,34,.2,27,1,11,0,2,22,0,1,15,14,3.63,Hanshin Tigers,
Iwasada Yuta,10,1,0,0,0,0,1.000,39,10,,4,0,4,0,0,9,1,0,1,0,0.00,Hanshin Tigers,
Kawahara Riku,10,1,3,0,0,0,.250,79,17,,18,1,11,0,1,7,1,0,13,11,5.82,Hanshin Tigers,
Kesamaru Yuki,3,0,0,0,0,0,.000,20,3,.2,5,0,3,0,0,1,1,0,4,2,4.91,Hanshin Tigers,
Kinoshita Rito,19,0,3,0,0,0,.000,81,18,.2,17,0,8,0,1,16,2,1,8,7,3.38,Hanshin Tigers,
Kudo Taisei,4,1,0,0,0,0,1.000,18,4,,3,1,2,0,1,8,0,0,2,2,4.50,Hanshin Tigers,
Matsubara Kai,13,0,0,0,0,0,.000,88,18,.2,20,1,14,0,3,11,4,0,10,9,4.34,Hanshin Tigers,
Mombetsu Keito,1,1,0,0,0,0,1.000,28,7,,7,0,0,0,0,6,0,0,2,1,1.29,Hanshin Tigers,
Moriki Daichi,4,0,0,0,0,0,.000,34,3,,11,1,10,0,4,3,5,0,16,16,48.00,Hanshin Tigers,
Murakami Shoki,1,0,0,0,0,0,.000,18,5,,3,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Nelson Nick,4,0,0,0,0,0,.000,15,4,,1,0,1,0,0,4,0,0,0,0,0.00,Hanshin Tigers,
Nishi Yuki,3,0,0,0,0,0,.000,55,14,,10,0,1,0,1,8,0,0,1,1,0.64,Hanshin Tigers,
Ohtake Koutaro,5,2,2,0,0,0,.500,84,21,,20,0,2,0,1,11,0,0,8,7,3.00,Hanshin Tigers,
Okadome Hidetaka,4,0,0,3,0,0,.000,15,4,,3,0,0,0,1,1,0,1,0,0,0.00,Hanshin Tigers,
Saiki Hiroto,1,0,1,0,0,0,.000,21,5,,6,0,0,0,0,3,0,0,1,1,1.80,Hanshin Tigers,
Satoh Ren,14,1,1,0,0,0,.500,82,15,.2,15,0,22,0,1,15,4,0,11,11,6.32,Hanshin Tigers,
Shiiba Tsuyoshi,17,1,1,0,0,0,.500,85,22,.1,16,2,6,0,2,22,4,0,7,7,2.82,Hanshin Tigers,
Shimamoto Hiroya,10,0,0,0,0,0,.000,35,10,,3,0,2,0,0,5,1,0,0,0,0.00,Hanshin Tigers,
Tomida Ren,4,1,0,0,0,0,1.000,53,13,.2,9,0,1,0,1,16,1,0,5,5,3.29,Hanshin Tigers,
