Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Beasley Jeremy,6,1,2,0,0,0,0,.333,92,21,,24,0,8,2,0,19,0,0,11,10,4.29,Hanshin Tigers,
Duplantier Jon,11,4,3,0,0,1,1,.571,257,66,.2,42,1,12,0,4,86,2,0,15,11,1.49,Hanshin Tigers,
Guerra Javy,6,0,1,0,1,0,0,.000,29,4,.2,10,0,5,0,0,4,0,0,7,7,13.50,Hanshin Tigers,
Ihara Takato,16,5,2,0,1,0,0,.714,254,66,.2,47,0,10,2,0,51,1,0,12,8,1.08,Hanshin Tigers,
Ishiguro Yuya,7,0,0,0,1,0,0,.000,30,7,,8,1,2,0,0,6,0,0,4,4,5.14,Hanshin Tigers,
Ishii Daichi,25,0,0,3,18,0,0,.000,94,25,.2,14,0,4,2,0,19,1,0,1,1,0.35,Hanshin Tigers,
Itoh Masashi,4,2,0,0,0,1,1,1.000,84,23,.1,15,0,5,2,0,10,0,0,1,1,0.39,Hanshin Tigers,
Iwasada Yuta,12,2,1,0,2,0,0,.667,46,11,,10,0,3,0,0,4,1,0,2,2,1.64,Hanshin Tigers,
Iwazaki Suguru,29,0,2,16,6,0,0,.000,110,28,,23,1,5,1,0,22,0,0,8,6,1.93,Hanshin Tigers,
Kinoshita Rito,3,0,0,0,0,0,0,.000,11,3,,1,0,1,0,0,3,0,0,1,1,3.00,Hanshin Tigers,
Kirishiki Takuma,27,1,1,1,11,0,0,.500,108,24,.1,29,0,5,2,1,21,0,0,9,8,2.96,Hanshin Tigers,
Kudo Taisei,14,0,2,0,1,0,0,.000,62,13,.2,11,0,12,0,0,12,2,0,7,6,3.95,Hanshin Tigers,
Mombetsu Keito,8,2,3,0,0,0,0,.400,156,35,.2,42,4,13,1,2,24,0,0,18,18,4.54,Hanshin Tigers,
Murakami Shoki,14,7,2,0,0,2,2,.778,383,100,.2,72,4,14,1,2,72,2,1,20,20,1.79,Hanshin Tigers,
Nelson Nick,11,0,1,0,5,0,0,.000,46,11,,10,0,3,0,0,10,1,0,1,1,0.82,Hanshin Tigers,
Nishi Yuki,1,0,1,0,0,0,0,.000,23,4,.2,7,0,2,0,0,2,0,0,3,3,5.79,Hanshin Tigers,
Ohtake Koutaro,7,3,1,0,0,0,0,.750,157,40,,33,2,3,0,3,21,0,0,11,11,2.48,Hanshin Tigers,
Okadome Hidetaka,8,1,0,0,1,0,0,1.000,31,7,.1,6,0,3,1,0,1,0,0,1,1,1.23,Hanshin Tigers,
Oyokawa Masaki,35,3,3,0,20,0,0,.500,133,33,.2,21,1,9,3,1,36,1,1,6,4,1.07,Hanshin Tigers,
Saiki Hiroto,13,6,4,0,0,1,1,.600,354,86,.1,63,2,33,2,0,68,0,0,15,15,1.56,Hanshin Tigers,
Shiiba Tsuyoshi,1,0,0,0,0,0,0,.000,5,1,,1,0,1,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
Shimamoto Hiroya,8,1,0,0,1,0,0,1.000,29,7,.2,6,0,1,0,1,5,0,0,1,1,1.17,Hanshin Tigers,
Tomida Ren,9,1,0,0,0,0,0,1.000,95,23,.1,26,0,3,0,0,10,2,0,8,8,3.09,Hanshin Tigers,
Urushihara Taisei,11,0,0,0,2,0,0,.000,43,11,.2,5,0,5,1,0,9,1,0,0,0,0.00,Hanshin Tigers,
Yuasa Atsuki,22,2,2,0,12,0,0,.500,77,19,,14,0,8,2,1,17,1,0,4,4,1.89,Hanshin Tigers,
Aduwa Makoto,2,0,1,0,0,0,0,.000,43,9,,15,2,2,0,0,3,0,0,8,8,8.00,Hiroshima Carp,
Dominguez Johan,6,1,1,0,0,0,0,.500,114,26,.2,18,2,17,0,1,20,1,0,11,11,3.71,Hiroshima Carp,
Hasebe Ginji,5,0,0,0,0,0,0,.000,30,5,.1,9,0,4,0,1,7,0,0,9,9,15.19,Hiroshima Carp,
Hearn Taylor,26,1,1,5,14,0,0,.500,107,26,,26,1,7,0,1,27,1,0,10,10,3.46,Hiroshima Carp,
Horie Atsuya,25,0,1,1,8,0,0,.000,92,19,.2,23,1,6,1,2,27,1,0,10,10,4.58,Hiroshima Carp,
Kuribayashi Ryoji,30,1,1,9,10,0,0,.500,112,27,.2,18,2,10,2,0,32,0,0,12,11,3.58,Hiroshima Carp,
Masuda Takehisa,2,0,0,0,0,0,0,.000,15,3,,5,1,1,0,0,5,0,0,5,5,15.00,Hiroshima Carp,
Mori Shohei,11,4,2,0,0,1,1,.667,270,65,,59,5,20,0,2,46,2,0,21,20,2.77,Hiroshima Carp,
Morishita Masato,14,5,7,0,0,2,0,.417,405,101,,88,4,20,0,3,64,0,0,34,26,2.32,Hiroshima Carp,
Moriura Daisuke,32,1,2,0,19,0,0,.333,114,29,,22,1,5,2,1,33,2,0,3,3,0.93,Hiroshima Carp,
Nakazaki Shota,27,2,1,0,6,0,0,.667,90,24,,12,0,6,2,2,21,0,0,3,2,0.75,Hiroshima Carp,
Ohsera Daichi,12,2,4,0,0,0,0,.333,301,71,,67,3,21,3,1,53,2,0,25,24,3.04,Hiroshima Carp,
Okamoto Shun,23,1,1,0,1,0,0,.500,83,20,.1,20,0,4,1,1,18,0,0,6,6,2.66,Hiroshima Carp,
Saitoh Yuta,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,2,1,0,0,0,0.00,Hiroshima Carp,
Sato Ryunosuke,1,1,0,0,0,0,0,1.000,21,6,,2,0,2,0,0,2,0,0,0,0,0.00,Hiroshima Carp,
Shimauchi Sotaro,30,2,0,0,14,0,0,1.000,105,28,,12,0,10,0,0,26,1,0,3,1,0.32,Hiroshima Carp,
Suzuki Kenya,13,2,0,0,0,0,0,1.000,65,15,.1,12,1,6,1,2,7,0,1,6,5,2.93,Hiroshima Carp,
Takahashi Kouya,5,1,0,0,0,0,0,1.000,28,8,,5,0,2,0,0,5,0,0,2,1,1.13,Hiroshima Carp,
Tamamura Shogo,11,4,6,0,0,0,0,.400,245,59,.2,58,1,10,1,1,50,0,0,24,23,3.47,Hiroshima Carp,
Tokoda Hiroki,14,7,5,0,0,5,3,.583,400,101,.1,82,4,21,2,1,57,1,0,24,22,1.95,Hiroshima Carp,
Azuma Katsuki,12,7,4,0,0,1,0,.636,331,82,.1,70,7,12,0,2,67,0,0,26,18,1.97,DeNA BayStars,
Bauer Trevor,15,4,7,0,0,2,1,.364,425,100,.1,99,9,34,3,4,93,1,0,46,46,4.13,DeNA BayStars,
Hamachi Masumi,3,0,0,0,0,0,0,.000,12,3,,2,2,1,0,0,5,0,0,2,2,6.00,DeNA BayStars,
Horioka Hayato,11,0,0,0,0,0,0,.000,54,11,.1,15,0,7,1,0,16,0,0,4,3,2.38,DeNA BayStars,
Irie Taisei,25,2,1,14,2,0,0,.667,96,24,.1,12,2,9,1,1,26,0,0,3,3,1.11,DeNA BayStars,
Ise Hiromu,24,0,0,3,17,0,0,.000,83,22,.1,13,0,4,0,0,24,0,0,3,3,1.21,DeNA BayStars,
Ishida Yutaro,8,1,1,0,1,1,1,.500,150,36,.2,33,4,11,1,0,34,0,0,18,17,4.17,DeNA BayStars,
Iwata Masaki,2,0,0,0,0,0,0,.000,5,1,,0,0,1,0,1,0,0,0,0,0,0.00,DeNA BayStars,
Jackson Andre,13,7,3,0,0,0,0,.700,337,83,.2,65,3,22,1,5,66,3,0,14,14,1.51,DeNA BayStars,
Kay Anthony,12,5,5,0,0,0,0,.500,313,80,,67,3,18,1,1,64,0,0,16,16,1.80,DeNA BayStars,
Marcelino Hansel,2,0,0,0,0,0,0,.000,9,1,.1,1,0,3,0,1,3,0,0,2,2,13.50,DeNA BayStars,
Miyagi Daita,22,1,1,0,4,0,0,.500,97,23,.2,14,0,14,0,0,18,1,0,5,4,1.52,DeNA BayStars,
Morihara Kohei,6,0,2,0,1,0,0,.000,26,6,,8,1,0,0,0,4,0,0,5,5,7.50,DeNA BayStars,
Nakagawa Hayate,16,0,0,0,1,0,0,.000,62,13,.1,14,0,6,1,2,12,0,0,4,3,2.03,DeNA BayStars,
Nakagawa Koh,9,0,0,0,0,0,0,.000,35,8,.2,6,0,2,0,0,9,1,0,0,0,0.00,DeNA BayStars,
Ohnuki Shinichi,8,2,4,0,0,1,1,.333,198,49,,42,4,10,0,3,29,0,0,17,16,2.94,DeNA BayStars,
Sakamoto Yuya,15,1,1,0,1,0,0,.500,73,16,.2,15,2,8,2,0,14,1,0,8,7,3.78,DeNA BayStars,
Sasaki Chihaya,6,0,0,0,0,0,0,.000,28,6,,9,0,3,0,0,3,0,0,3,3,4.50,DeNA BayStars,
Shinogi Kentaro,2,0,0,0,1,0,0,.000,10,1,.1,2,0,3,0,1,0,0,0,4,4,27.00,DeNA BayStars,
Taira Kentaro,6,1,2,0,0,0,0,.333,123,29,,31,3,6,0,0,22,0,0,12,12,3.72,DeNA BayStars,
Wick Rowan,24,3,1,1,13,0,0,.750,104,27,.1,15,0,9,0,3,27,0,0,3,3,0.99,DeNA BayStars,
Yamasaki Yasuaki,13,0,3,1,1,0,0,.000,46,11,,10,2,4,1,0,8,0,0,5,5,4.09,DeNA BayStars,
Yoshino Teruki,1,0,0,0,0,0,0,.000,21,4,.2,3,0,5,0,0,2,0,0,1,0,0.00,DeNA BayStars,
Akahoshi Yuji,14,6,5,0,0,1,1,.545,340,86,.1,76,6,11,2,2,66,0,0,21,19,1.98,Yomiuri Giants,
Baba Kosuke,6,0,0,0,0,0,0,.000,23,5,.1,3,0,3,0,0,4,1,0,3,2,3.38,Yomiuri Giants,
Baldonado Alberto,10,0,0,0,4,0,0,.000,27,6,.2,3,0,5,0,0,7,1,0,2,2,2.70,Yomiuri Giants,
Funabasama Hiromasa,26,1,2,0,8,0,0,.333,84,21,.1,16,3,7,4,1,14,0,0,5,5,2.11,Yomiuri Giants,
Griffin Foster,10,5,0,0,0,0,0,1.000,226,59,,37,0,13,1,3,65,1,0,7,6,0.92,Yomiuri Giants,
Heinai Ryuta,5,0,0,0,0,0,0,.000,18,4,.1,5,0,0,0,0,4,0,0,3,3,6.23,Yomiuri Giants,
Hotta Kenshin,8,0,1,0,0,0,0,.000,99,22,.1,23,4,11,0,1,13,0,0,13,13,5.24,Yomiuri Giants,
Inoue Haruto,12,3,6,0,0,0,0,.333,289,69,.1,69,8,12,1,2,67,0,0,30,26,3.38,Yomiuri Giants,
Ishikawa Tatsuya,22,2,3,0,1,0,0,.400,166,39,.2,37,1,13,1,1,27,0,0,9,7,1.59,Yomiuri Giants,
Izumi Keisuke,5,0,0,0,0,0,0,.000,27,5,.2,6,1,3,0,1,5,1,0,5,5,7.94,Yomiuri Giants,
Keller Kyle,20,1,1,0,2,0,0,.500,80,18,.1,15,4,10,1,0,19,0,0,10,10,4.91,Yomiuri Giants,
Martinez Raidel,31,1,0,26,2,0,0,1.000,113,30,.1,14,0,8,1,0,33,0,0,0,0,0.00,Yomiuri Giants,
Nakagawa Kota,32,1,1,0,21,0,0,.500,117,27,.1,28,2,5,1,1,36,0,0,6,5,1.65,Yomiuri Giants,
Nishidate Yuhi,9,2,2,0,1,0,0,.500,135,31,.2,33,1,7,0,1,24,1,0,14,13,3.69,Yomiuri Giants,
Ota Taisei,33,5,2,0,24,0,0,.714,134,32,.1,26,1,9,3,2,32,2,0,7,7,1.95,Yomiuri Giants,
Takanashi Yuhei,18,0,1,0,5,0,0,.000,56,11,.1,10,0,10,3,3,13,0,1,4,4,3.18,Yomiuri Giants,
Tanaka Eito,30,0,2,0,17,0,0,.000,102,23,.1,26,0,11,6,2,18,0,0,10,9,3.47,Yomiuri Giants,
Tanaka Masahiro,3,1,1,0,0,0,0,.500,55,10,,20,0,7,1,0,4,0,0,10,10,9.00,Yomiuri Giants,
Toda Natsuki,2,0,1,0,0,0,0,.000,12,2,.2,3,0,1,1,0,0,0,0,1,1,3.38,Yomiuri Giants,
Togo Shosei,11,2,6,0,0,0,0,.250,261,55,,74,5,23,1,1,39,0,0,38,32,5.24,Yomiuri Giants,
Yamada Ryusei,2,0,0,0,0,0,0,.000,15,4,,3,1,1,0,1,1,0,0,2,2,4.50,Yomiuri Giants,
Yamasaki Iori,13,7,2,0,0,0,0,.778,335,87,,64,4,13,0,1,76,1,0,16,12,1.24,Yomiuri Giants,
Yokogawa Kai,12,0,0,0,1,0,0,.000,90,21,.2,19,1,6,0,2,16,0,0,6,6,2.49,Yomiuri Giants,
Avila Pedro,6,1,5,0,0,0,0,.167,139,33,.2,26,1,12,1,2,25,1,0,20,17,4.54,Yakult Swallows,
Baumann Mike,16,0,2,0,1,0,0,.000,75,15,,17,3,12,2,0,19,0,0,8,7,4.20,Yakult Swallows,
Hasegawa Hiroki,2,0,0,0,0,0,0,.000,7,1,,1,0,2,0,1,0,0,0,0,0,0.00,Yakult Swallows,
Hoshi Tomoya,18,0,2,0,11,0,0,.000,64,16,.2,10,0,6,1,0,12,0,0,3,3,1.62,Yakult Swallows,
Ishikawa Masanori,4,2,2,0,0,0,0,.500,81,16,.1,26,1,7,1,0,4,0,0,17,14,7.71,Yakult Swallows,
Ishiyama Taichi,25,2,1,13,6,0,0,.667,85,24,.1,9,2,3,1,1,23,0,0,2,2,0.74,Yakult Swallows,
Kanakubo Yuto,12,0,1,0,1,0,0,.000,66,14,,23,4,4,0,0,11,1,0,12,12,7.71,Yakult Swallows,
Kizawa Naofumi,20,2,1,0,9,0,0,.667,83,17,.2,20,0,8,1,2,9,2,1,8,8,4.08,Yakult Swallows,
Kozawa Reiji,19,0,4,0,3,0,0,.000,92,19,.2,19,4,15,2,0,20,0,0,9,8,3.66,Yakult Swallows,
Lambert Peter,11,1,6,0,0,0,0,.143,269,63,,59,3,25,1,3,51,3,0,23,21,3.00,Yakult Swallows,
Maruyama Shota,6,0,0,0,0,0,0,.000,30,7,,6,1,3,0,0,6,1,0,3,3,3.86,Yakult Swallows,
Matsumoto Kengo,2,0,0,0,0,0,0,.000,10,2,.2,1,0,2,0,0,1,0,0,0,0,0.00,Yakult Swallows,
