PlayerNum,enPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
22,Fujikawa Kyuji,Jul. 21 1980,,,Hanshin Tigers
99,Beasley Jeremy,https://npb.jp/bis/eng/players/03905157.html,Nov. 20 1995,191,102,R,R,,Hanshin Tigers
85,Dolis Rafael,https://npb.jp/bis/eng/players/03505132.html,Jan. 10 1988,196,106,R,R,Registered (Jul. 22).,Hanshin Tigers
20,Duplantier Jon,https://npb.jp/bis/eng/players/13715150.html,Jul. 11 1994,193,103,R,L,,Hanshin Tigers
00,Guerra Javy,https://npb.jp/bis/eng/players/33735159.html,Sep. 25 1995,183,85,R,L,,Hanshin Tigers
82,Hartwig Grant,https://npb.jp/bis/eng/players/43045150.html,Dec. 18 1997,196,106,R,R,Registered (Jul. 22).,Hanshin Tigers
36,Hatake Seishu,https://npb.jp/bis/eng/players/31635134.html,May 31 1994,186,82,R,L,,Hanshin Tigers
31,Hayakawa Daiki,https://npb.jp/bis/eng/players/57955159.html,Dec. 18 1999,185,95,R,R,Registered(developmental player ->) (Jul. 13).,Hanshin Tigers
48,Ibaragi Hidetoshi,https://npb.jp/bis/eng/players/81185157.html,Jun. 8 2004,183,87,R,R,,Hanshin Tigers
18,Ihara Takato,https://npb.jp/bis/eng/players/71375150.html,Aug. 7 2000,170,77,L,L,,Hanshin Tigers
63,Ishiguro Yuya,https://npb.jp/bis/eng/players/01105159.html,Jun. 20 2001,180,85,R,R,,Hanshin Tigers
69,Ishii Daichi,https://npb.jp/bis/eng/players/41145153.html,Jul. 29 1997,175,80,R,R,,Hanshin Tigers
27,Itoh Masashi,https://npb.jp/bis/eng/players/71375153.html,May 8 1996,179,88,L,L,,Hanshin Tigers
14,Iwasada Yuta,https://npb.jp/bis/eng/players/51355139.html,Sep. 5 1991,183,87,L,L,,Hanshin Tigers
13,Iwazaki Suguru,https://npb.jp/bis/eng/players/31335139.html,Jun. 19 1991,185,92,L,L,,Hanshin Tigers
92,Kawahara Riku,https://npb.jp/bis/eng/players/11715138.html,Dec. 12 2000,186,92,L,L,,Hanshin Tigers
28,Kesamaru Yuki,https://npb.jp/bis/eng/players/31935150.html,Jun. 2 2006,187,77,R,R,,Hanshin Tigers
54,Kinoshita Rito,https://npb.jp/bis/eng/players/41745150.html,Jan. 27 2001,183,90,R,R,,Hanshin Tigers
47,Kirishiki Takuma,https://npb.jp/bis/eng/players/01705155.html,Jun. 20 1999,179,93,L,L,,Hanshin Tigers
24,Kudo Taisei,https://npb.jp/bis/eng/players/81785150.html,Nov. 19 2001,177,82,R,L,Registered(developmental player ->) (Mar. 7).,Hanshin Tigers
30,Mombetsu Keito,https://npb.jp/bis/eng/players/53355157.html,Jul. 10 2004,183,88,L,L,,Hanshin Tigers
41,Murakami Shoki,https://npb.jp/bis/eng/players/13315153.html,Jun. 25 1998,175,83,R,L,,Hanshin Tigers
42,Nelson Nick,https://npb.jp/bis/eng/players/73775150.html,Dec. 5 1995,185,92,R,R,,Hanshin Tigers
15,Nishi Junya,https://npb.jp/bis/eng/players/91495151.html,Sep. 13 2001,184,98,R,R,,Hanshin Tigers
16,Nishi Yuki,https://npb.jp/bis/eng/players/71275118.html,Nov. 10 1990,181,83,R,R,,Hanshin Tigers
49,Ohtake Koutaro,https://npb.jp/bis/eng/players/41345136.html,Jun. 29 1995,184,86,L,L,,Hanshin Tigers
64,Okadome Hidetaka,https://npb.jp/bis/eng/players/11515155.html,Nov. 7 1999,181,95,R,R,,Hanshin Tigers
37,Oyokawa Masaki,https://npb.jp/bis/eng/players/91795151.html,Apr. 18 2001,184,84,L,L,,Hanshin Tigers
35,Saiki Hiroto,https://npb.jp/bis/eng/players/41745134.html,Nov. 7 1998,189,92,R,R,,Hanshin Tigers
98,Satoh Ren,https://npb.jp/bis/eng/players/81085153.html,Apr. 11 1998,189,105,R,R,,Hanshin Tigers
26,Shiiba Tsuyoshi,https://npb.jp/bis/eng/players/21925159.html,Mar. 18 2002,183,89,R,R,,Hanshin Tigers
46,Shimamoto Hiroya,https://npb.jp/bis/eng/players/51055133.html,Feb. 14 1993,176,73,L,L,,Hanshin Tigers
19,Shimomura Kaito,https://npb.jp/bis/eng/players/61965159.html,Mar. 27 2002,174,69,R,R,,Hanshin Tigers
29,Takahashi Haruto,https://npb.jp/bis/eng/players/91095136.html,Nov. 7 1995,181,81,L,L,,Hanshin Tigers
50,Tomida Ren,https://npb.jp/bis/eng/players/51255157.html,Sep. 6 2001,176,76,L,L,,Hanshin Tigers
66,Tsuda Junya,https://npb.jp/bis/eng/players/11415159.html,Aug. 27 2001,179,81,R,R,,Hanshin Tigers
34,Urushihara Taisei,https://npb.jp/bis/eng/players/11315138.html,Sep. 10 1996,182,84,R,L,,Hanshin Tigers
65,Yuasa Atsuki,https://npb.jp/bis/eng/players/41845138.html,Jul. 17 1999,183,82,R,R,,Hanshin Tigers
59,Fujita Kento,https://npb.jp/bis/eng/players/91695151.html,Oct. 18 2001,173,78,R,R,,Hanshin Tigers
43,Machida Hayato,https://npb.jp/bis/eng/players/41845150.html,Apr. 3 2003,186,88,R,R,,Hanshin Tigers
57,Nagasaka Kenya,https://npb.jp/bis/eng/players/91495134.html,Apr. 28 1994,173,80,R,R,,Hanshin Tigers
68,Nakagawa Hayato,https://npb.jp/bis/eng/players/51455155.html,Jan. 27 2004,172,75,R,R,,Hanshin Tigers
39,Sakaeda Yuki,https://npb.jp/bis/eng/players/51055153.html,May 16 1998,180,86,R,R,,Hanshin Tigers
12,Sakamoto Seishiro,https://npb.jp/bis/eng/players/11915132.html,Nov. 10 1993,176,79,R,R,,Hanshin Tigers
2,Umeno Ryutaro,https://npb.jp/bis/eng/players/21325139.html,Jun. 17 1991,173,77,R,R,,Hanshin Tigers
94,Haraguchi Fumihito,https://npb.jp/bis/eng/players/61065131.html,Mar. 3 1992,182,97,R,R,,Hanshin Tigers
95,Hernandez Ramon,https://npb.jp/bis/eng/players/63765150.html,Mar. 2 1996,193,102,R,R,,Hanshin Tigers
33,Itohara Kento,https://npb.jp/bis/eng/players/81185134.html,Nov. 11 1992,175,81,R,L,,Hanshin Tigers
0,Kinami Seiya,https://npb.jp/bis/eng/players/31735138.html,Jun. 15 1994,179,81,R,L,,Hanshin Tigers
4,Kumagai Takahiro,https://npb.jp/bis/eng/players/81585136.html,Nov. 10 1995,175,68,R,R,,Hanshin Tigers
56,Momosaki Aoi,https://npb.jp/bis/eng/players/23325159.html,Sep. 11 2005,179,74,R,R,,Hanshin Tigers
51,Nakano Takumu,https://npb.jp/bis/eng/players/41445153.html,Jun. 28 1996,172,67,R,L,,Hanshin Tigers
38,Obata Ryuhei,https://npb.jp/bis/eng/players/31535138.html,Sep. 21 2000,184,78,R,L,,Hanshin Tigers
3,Ohyama Yusuke,https://npb.jp/bis/eng/players/21325134.html,Dec. 19 1994,181,95,R,R,,Hanshin Tigers
45,Sano Taiyo,https://npb.jp/bis/eng/players/91095150.html,Feb. 14 2002,178,81,R,R,,Hanshin Tigers
8,Sato Teruaki,https://npb.jp/bis/eng/players/41045153.html,Mar. 13 1999,187,95,R,L,,Hanshin Tigers
67,Takatera Nozomu,https://npb.jp/bis/eng/players/41245153.html,Oct. 17 2002,178,76,R,L,,Hanshin Tigers
44,Toi Reiji,https://npb.jp/bis/eng/players/11215157.html,Jan. 18 2005,181,79,R,R,,Hanshin Tigers
62,Ueda Kai,https://npb.jp/bis/eng/players/01305130.html,Apr. 19 1996,175,70,R,S,,Hanshin Tigers
25,Watanabe Ryo,https://npb.jp/bis/eng/players/81685139.html,Apr. 30 1995,178,86,R,R,,Hanshin Tigers
52,Yamada Shuya,https://npb.jp/bis/eng/players/63365159.html,Aug. 20 2005,177,70,R,R,,Hanshin Tigers
5,Chikamoto Koji,https://npb.jp/bis/eng/players/71075138.html,Nov. 9 1994,171,70,L,L,,Hanshin Tigers
32,Inoue Kouta,https://npb.jp/bis/eng/players/31335151.html,Aug. 12 2001,189,100,R,R,,Hanshin Tigers
40,Itsubo Hinase,https://npb.jp/bis/eng/players/41145157.html,Mar. 17 2005,177,83,R,R,,Hanshin Tigers
55,Kusumoto Taishi,https://npb.jp/bis/eng/players/61565136.html,Jul. 7 1995,180,85,R,L,,Hanshin Tigers
58,Maegawa Ukyo,https://npb.jp/bis/eng/players/21825155.html,May 18 2003,176,86,L,L,,Hanshin Tigers
1,Morishita Shota,https://npb.jp/bis/eng/players/43145157.html,Aug. 14 2000,182,93,R,R,,Hanshin Tigers
97,Noguchi Kyosuke,https://npb.jp/bis/eng/players/01405157.html,Jul. 17 2000,180,87,R,R,,Hanshin Tigers
60,Onodera Dan,https://npb.jp/bis/eng/players/71775151.html,Mar. 17 1998,183,82,R,R,,Hanshin Tigers
53,Shimada Kairi,https://npb.jp/bis/eng/players/91995136.html,Feb. 6 1996,176,74,R,L,,Hanshin Tigers
61,Toyoda Hiroshi,https://npb.jp/bis/eng/players/31435155.html,Apr. 28 1997,178,86,R,R,,Hanshin Tigers
131,Betances Jose,https://npb.jp/bis/eng/players/83085159.html,Oct. 17 1999,185,101,R,R,,Hanshin Tigers
125,Itoh Ryo,https://npb.jp/bis/eng/players/31335155.html,Nov. 8 1999,178,85,L,L,,Hanshin Tigers
132,Martinez Anthony,https://npb.jp/bis/eng/players/13215159.html,Jan. 10 2000,190,94,R,R,,Hanshin Tigers
