Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Suzuki Shohei,27,7,694.0,3.8,7.0,3.2,0.6,,0.0,-6.6,,,HAYATE Ventures,WL
Suzuki Shohei,27,8,8.0,0.2,32.2,0.4,-0.2,,0.0,0.0,,,HAYATE Ventures,WL
Suzuki Shohei,27,DH,51.0,,,,,,,-0.6,,,HAYATE Ventures,WL
Ohsato Kosei,25,3,26.1,1.2,58.7,1.0,,-0.1,0.2,-0.3,,,ORIX Buffaloes,WL
Ohsato Kosei,25,4,220.2,7.7,44.9,5.7,,1.2,0.8,0.6,,,ORIX Buffaloes,WL
Ohsato Kosei,25,5,32.1,-2.8,-111.6,-0.8,,-0.1,-1.9,-0.1,,,ORIX Buffaloes,WL
Ohsato Kosei,25,6,19.0,0.5,33.9,0.3,,0.0,0.2,0.2,,,ORIX Buffaloes,WL
Itsubo Hinase,20,7,52.0,2.4,59.4,1.8,0.5,,0.0,-0.5,,,Hanshin Tigers,WL
Itsubo Hinase,20,8,501.2,7.4,19.0,6.9,0.2,,0.3,1.7,,,Hanshin Tigers,WL
Itsubo Hinase,20,9,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Hanshin Tigers,WL
Tanaka Kosuke,35,3,3.0,-0.1,-42.9,-0.1,,0.0,0.0,0.0,,,Hiroshima Carp,WL
Tanaka Kosuke,35,5,0.2,-0.2,-367.7,-0.2,,0.0,0.0,0.0,,,Hiroshima Carp,WL
Tanaka Kosuke,35,6,343.1,0.5,1.9,-0.2,,-0.5,1.1,2.8,,,Hiroshima Carp,WL
Tanaka Kosuke,35,DH,20.0,,,,,,,-0.2,,,Hiroshima Carp,WL
Imamiya Kenta,33,6,72.0,0.9,16.1,-0.2,,0.3,0.8,0.6,,,SoftBank Hawks,WL
Imamiya Kenta,33,DH,14.0,,,,,,,-0.2,,,SoftBank Hawks,WL
Higuchi Seishu,26,4,80.0,0.8,12.9,0.1,,0.0,0.6,0.2,,,Chunichi Dragons,WL
Higuchi Seishu,26,7,20.0,-0.1,-6.4,-0.4,0.3,,0.0,-0.2,,,Chunichi Dragons,WL
Higuchi Seishu,26,8,50.0,-0.1,-2.6,-0.3,0.2,,0.0,0.2,,,Chunichi Dragons,WL
Ishimi Soma,19,4,61.0,-1.7,-35.9,-0.8,,-0.6,-0.3,0.2,,,SoftBank Hawks,WL
Ishimi Soma,19,5,204.0,3.4,21.4,1.7,,0.9,0.8,-0.8,,,SoftBank Hawks,WL
Ishimi Soma,19,6,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,SoftBank Hawks,WL
Ishimi Soma,19,DH,4.0,,,,,,,0.0,,,SoftBank Hawks,WL
Uemoto Takashi,34,4,17.0,0.0,0.0,-0.2,,0.0,0.1,0.0,,,Hiroshima Carp,WL
Uemoto Takashi,34,6,149.2,-3.1,-26.7,-0.9,,-0.2,-2.0,1.2,,,Hiroshima Carp,WL
Uemoto Takashi,34,7,4.0,-0.2,-64.4,-0.2,0.0,,0.0,0.0,,,Hiroshima Carp,WL
Uemoto Takashi,34,DH,1.0,,,,,,,0.0,,,Hiroshima Carp,WL
Okumura Koichi,25,7,53.0,0.1,2.4,0.2,-0.1,,0.0,-0.5,,,Seibu Lions,EL
Okumura Koichi,25,8,112.1,1.0,11.5,0.9,0.0,,0.0,0.4,,,Seibu Lions,EL
Okumura Koichi,25,9,21.0,-0.9,-55.2,-0.3,-0.6,,0.0,-0.1,,,Seibu Lions,EL
Okumura Koichi,25,DH,5.0,,,,,,,-0.1,,,Seibu Lions,EL
Chinen Taisei,25,8,784.2,3.9,6.4,9.4,-6.0,,0.5,2.6,,,Oisix Albirex,EL
Chinen Taisei,25,9,33.0,-0.8,-31.2,-0.6,-0.2,,0.0,-0.1,,,Oisix Albirex,EL
Myose Ryosuke,19,4,391.1,-5.8,-19.1,-1.6,,-2.0,-2.2,1.1,,,Nipponham Fighters,EL
Myose Ryosuke,19,5,16.0,-0.5,-40.2,-0.5,,0.0,0.0,-0.1,,,Nipponham Fighters,EL
Myose Ryosuke,19,DH,1.0,,,,,,,0.0,,,Nipponham Fighters,EL
Miyazaki Ryusei,24,4,341.0,4.3,16.2,3.8,,0.4,0.1,0.9,,,Lotte Marines,EL
Miyazaki Ryusei,24,5,41.0,-0.1,-3.1,-0.2,,0.3,-0.3,-0.2,,,Lotte Marines,EL
Miyazaki Ryusei,24,6,143.0,-4.2,-37.8,-2.3,,-0.3,-1.6,1.2,,,Lotte Marines,EL
Miyazaki Ryusei,24,DH,7.0,,,,,,,-0.1,,,Lotte Marines,EL
Izuguchi Yuta,26,4,5.0,1.1,283.1,0.8,,0.1,0.1,0.0,,,Yomiuri Giants,EL
Izuguchi Yuta,26,6,42.0,1.9,58.2,0.8,,0.3,0.8,0.3,,,Yomiuri Giants,EL
Yoshino Soshi,21,7,43.1,1.5,44.6,1.6,-0.2,,0.0,-0.4,,,Rakuten Eagles,EL
Yoshino Soshi,21,8,507.2,-1.9,-4.8,0.6,-2.9,,0.3,1.7,,,Rakuten Eagles,EL
Yoshino Soshi,21,9,45.0,0.5,14.3,0.5,-0.1,,0.0,-0.2,,,Rakuten Eagles,EL
Yoshino Soshi,21,DH,26.0,,,,,,,-0.3,,,Rakuten Eagles,EL
Shigenobu Shinnosuke,32,7,43.0,1.5,44.9,2.1,-0.6,,0.1,-0.4,,,Yomiuri Giants,EL
Shigenobu Shinnosuke,32,8,100.0,2.3,29.6,2.7,-0.4,,0.1,0.3,,,Yomiuri Giants,EL
Shigenobu Shinnosuke,32,9,52.2,0.5,12.2,0.7,-0.2,,0.0,-0.2,,,Yomiuri Giants,EL
Shigenobu Shinnosuke,32,DH,3.0,,,,,,,0.0,,,Yomiuri Giants,EL
Kajiwara Kouki,25,8,138.0,-1.0,-9.3,-0.2,-0.8,,0.1,0.5,,,DeNA BayStars,EL
Kajiwara Kouki,25,9,122.0,-0.6,-6.3,-0.8,0.1,,0.1,-0.5,,,DeNA BayStars,EL
Iwata Yukihiro,27,8,53.0,0.3,7.3,0.3,0.0,,0.0,0.2,,,Yakult Swallows,EL
Nakamura Akira,35,DH,5.0,,,,,,,-0.1,,,SoftBank Hawks,WL
Fujiwara Kyota,25,8,14.0,0.2,18.4,0.2,0.0,,0.0,0.0,,,Lotte Marines,EL
Fujiwara Kyota,25,9,5.0,0.0,0.0,-0.4,0.4,,0.0,0.0,,,Lotte Marines,EL
Shinoda Taisei,25,7,37.0,-1.6,-55.7,-2.4,0.8,,0.0,-0.4,,,Oisix Albirex,EL
Shinoda Taisei,25,8,62.0,-0.2,-4.2,0.4,-0.6,,0.0,0.2,,,Oisix Albirex,EL
Shinoda Taisei,25,9,7.0,0.8,147.1,0.7,0.1,,0.0,0.0,,,Oisix Albirex,EL
Shinoda Taisei,25,DH,10.0,,,,,,,-0.1,,,Oisix Albirex,EL
Nakazawa Hideaki,23,2,443.0,-9.3,-27.0,,-9.1,,-0.2,6.2,-9.3,0.9,Oisix Albirex,EL
Moiseev Nikita,18,7,82.0,0.2,3.1,1.1,-0.1,,-0.7,-0.8,,,Yakult Swallows,EL
Moiseev Nikita,18,8,60.1,-0.6,-12.8,-0.5,-0.1,,0.0,0.2,,,Yakult Swallows,EL
Moiseev Nikita,18,9,170.1,0.0,0.0,0.0,-0.1,,0.1,-0.7,,,Yakult Swallows,EL
Moiseev Nikita,18,DH,13.1,,,,,,,-0.2,,,Yakult Swallows,EL
Miyazaki Kazuki,23,7,176.0,4.2,30.7,0.4,3.6,,0.2,-1.7,,,Nipponham Fighters,EL
Miyazaki Kazuki,23,8,154.1,0.6,5.0,1.6,-1.0,,0.1,0.5,,,Nipponham Fighters,EL
Miyazaki Kazuki,23,9,183.0,3.5,24.6,3.0,0.4,,0.1,-0.7,,,Nipponham Fighters,EL
Miyazaki Kazuki,23,DH,3.1,,,,,,,0.0,,,Nipponham Fighters,EL
Sasahara Misaki,21,7,101.0,-0.6,-7.6,-0.9,0.3,,0.1,-1.0,,,Yomiuri Giants,EL
Sasahara Misaki,21,8,107.0,0.2,2.4,0.3,-0.1,,0.1,0.4,,,Yomiuri Giants,EL
Sasahara Misaki,21,9,171.0,-0.4,-3.0,0.0,-0.5,,0.1,-0.7,,,Yomiuri Giants,EL
Sasahara Misaki,21,DH,3.0,,,,,,,0.0,,,Yomiuri Giants,EL
Hama Shonosuke,25,7,68.2,2.2,41.2,2.1,0.1,,0.1,-0.7,,,Chunichi Dragons,WL
Hama Shonosuke,25,8,333.1,3.2,12.4,1.5,1.6,,0.2,1.1,,,Chunichi Dragons,WL
Hama Shonosuke,25,9,245.1,3.9,20.5,2.9,0.8,,0.2,-1.0,,,Chunichi Dragons,WL
Olivares Edward,29,7,37.0,-1.5,-52.2,-1.0,-0.5,,0.0,-0.4,,,ORIX Buffaloes,WL
Olivares Edward,29,9,113.0,-2.0,-22.8,-2.6,0.5,,0.1,-0.4,,,ORIX Buffaloes,WL
Olivares Edward,29,DH,152.1,,,,,,,-1.8,,,ORIX Buffaloes,WL
Yamashita Kyogo,20,3,6.0,0.3,64.4,0.3,,-0.1,0.1,-0.1,,,SoftBank Hawks,WL
Yamashita Kyogo,20,4,35.0,-0.3,-11.0,-0.5,,-0.1,0.2,0.1,,,SoftBank Hawks,WL
Yamashita Kyogo,20,5,44.0,-0.4,-11.7,0.6,,-0.2,-0.8,-0.2,,,SoftBank Hawks,WL
Yamashita Kyogo,20,6,18.0,-0.7,-50.1,-0.8,,0.0,0.1,0.1,,,SoftBank Hawks,WL
Fujino Keio,21,3,25.2,0.0,0.0,0.6,,-0.1,-0.5,-0.3,,,SoftBank Hawks,WL
Fujino Keio,21,5,5.0,-0.2,-51.5,-0.2,,0.0,0.0,0.0,,,SoftBank Hawks,WL
Fujino Keio,21,7,32.0,1.6,64.4,1.8,-0.3,,0.0,-0.3,,,SoftBank Hawks,WL
Fujino Keio,21,8,268.0,3.0,14.4,4.1,-0.4,,-0.7,0.9,,,SoftBank Hawks,WL
Fujino Keio,21,9,62.0,2.7,56.0,2.3,0.3,,0.1,-0.2,,,SoftBank Hawks,WL
Gibo Sho,24,4,165.0,-0.8,-6.2,0.0,,-0.9,0.0,0.4,,,ORIX Buffaloes,WL
Gibo Sho,24,6,21.0,0.7,42.9,0.1,,0.2,0.3,0.2,,,ORIX Buffaloes,WL
Gibo Sho,24,DH,38.0,,,,,,,-0.5,,,ORIX Buffaloes,WL
Sano Taiyo,23,3,8.0,0.0,0.0,-0.1,,0.0,0.0,-0.1,,,Hanshin Tigers,WL
Sano Taiyo,23,4,268.0,-1.6,-7.7,-1.8,,0.2,0.0,0.7,,,Hanshin Tigers,WL
