#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,Team,League
,Sano Taiyo,91,348,308,34,82,11,1,0,95,23,5,1,8,0,48,28,0,4,7,0.266,0.335,0.308,0.643,102,0.042,0.315,21.8%,13.8%,8.0%,0.58,0.4,23,UTL,R,Hanshin Tigers,WL
,Inoue Kento,100,412,371,38,88,16,3,10,140,54,5,6,2,5,72,28,1,6,8,0.237,0.298,0.377,0.675,102,0.140,0.265,26.7%,17.5%,6.8%,0.39,-1.3,25,5,L,DeNA BayStars,EL
,Tima Julian,106,381,357,33,90,23,0,8,137,49,0,0,0,3,81,20,0,1,14,0.252,0.291,0.384,0.675,105,0.132,0.303,28.6%,21.3%,5.2%,0.25,-0.1,20,3,R,Yomiuri Giants,EL
,Nishimura Ruito,100,343,318,32,73,15,0,4,100,25,5,7,0,3,85,22,0,0,8,0.230,0.277,0.314,0.591,80,0.084,0.297,32.4%,24.8%,6.4%,0.26,-1.6,20,5,L,Yakult Swallows,EL
,Hama Shonosuke,93,332,287,37,74,12,8,0,102,24,15,9,4,1,62,39,1,1,6,0.258,0.348,0.355,0.703,107,0.097,0.327,30.4%,18.7%,11.7%,0.63,-0.5,25,8,L,Chunichi Dragons,WL
,Kawakami Rii,102,375,313,46,70,13,3,1,92,36,15,7,1,6,85,48,0,7,6,0.224,0.334,0.294,0.628,86,0.070,0.296,35.7%,22.7%,12.8%,0.56,0.1,24,3,R,Chunichi Dragons,WL
,Oda Gouki,89,363,308,52,95,4,8,0,115,27,25,10,11,1,68,43,0,0,3,0.308,0.392,0.373,0.765,125,0.065,0.394,30.6%,18.7%,11.8%,0.63,0.8,24,8,L,Chunichi Dragons,WL
,Chano Tokumasa,116,396,351,44,101,4,3,0,111,21,28,11,6,3,38,35,0,1,5,0.288,0.351,0.316,0.667,110,0.028,0.320,18.4%,9.6%,8.8%,0.92,1.0,25,7,L,ORIX Buffaloes,WL
,Naito Ho,122,470,423,29,96,14,1,3,121,42,0,0,2,2,79,37,1,6,17,0.227,0.297,0.286,0.583,82,0.059,0.271,25.3%,16.8%,7.9%,0.47,-0.2,20,3,R,ORIX Buffaloes,WL
,Yokoyama Seiya,96,369,341,39,74,11,2,2,95,35,5,2,0,1,91,27,0,0,5,0.217,0.274,0.279,0.553,72,0.062,0.289,32.5%,24.7%,7.3%,0.30,0.1,19,6,L,ORIX Buffaloes,WL
,Acevedo Stiven,95,332,301,30,75,15,0,8,114,43,10,2,0,3,59,24,0,4,11,0.249,0.310,0.379,0.689,101,0.130,0.283,27.4%,17.8%,7.2%,0.41,0.9,22,7,R,Lotte Marines,EL
,Matsuishi Shinya,97,327,293,31,61,6,1,0,69,15,5,5,12,3,61,16,0,3,8,0.208,0.254,0.235,0.489,45,0.027,0.260,23.5%,18.7%,4.9%,0.26,-0.9,19,6,R,Lotte Marines,EL
