#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
,Chikamoto Koji,140,638,573,76,160,25,4,3,202,34,32,9,0,3,88,60,1,2,3,0.279,0.348,0.353,0.701,120,0.074,0.324,13.8%,9.4%,0.68,2.1,9.0%,23.0%,93.3%,43.2%,5.9%,23.7%,30,8,L,Hanshin Tigers,CL
,Morishita Shota,143,620,549,82,151,24,5,23,254,89,5,2,0,5,86,54,4,12,15,0.275,0.350,0.463,0.813,153,0.188,0.288,13.9%,8.7%,0.63,-0.1,20.5%,21.6%,93.8%,39.6%,5.8%,26.3%,24,9,R,Hanshin Tigers,CL
,Nakano Takumu,143,625,531,65,150,18,3,0,174,30,19,7,44,3,77,44,1,3,5,0.282,0.339,0.328,0.667,109,0.046,0.328,12.3%,7.0%,0.57,0.6,5.2%,22.4%,92.7%,40.6%,5.6%,19.4%,29,4,L,Hanshin Tigers,CL
,Ohyama Yusuke,141,587,503,52,133,25,1,13,199,75,6,3,0,4,96,74,7,6,16,0.264,0.363,0.396,0.759,138,0.132,0.302,16.4%,12.6%,0.77,-0.3,16.8%,23.3%,87.9%,43.0%,9.6%,31.2%,30,3,R,Hanshin Tigers,CL
,Sato Teruaki,139,597,537,83,149,34,4,40,311,102,10,2,0,3,163,57,9,0,5,0.277,0.345,0.579,0.924,186,0.302,0.323,27.3%,9.5%,0.35,0.8,18.9%,32.1%,83.3%,50.3%,15.5%,43.6%,26,5,L,Hanshin Tigers,CL
,Fabian Sandro,138,572,539,60,149,30,0,17,230,65,2,3,0,2,84,22,3,9,8,0.276,0.315,0.427,0.742,122,0.151,0.300,14.7%,3.8%,0.26,-0.9,23.9%,38.1%,90.9%,54.7%,9.7%,21.5%,27,7,R,Hiroshima Carp,CL
,Kozono Kaito,138,573,521,51,161,24,4,3,202,47,12,7,3,2,47,42,6,5,9,0.309,0.365,0.388,0.753,127,0.079,0.334,8.2%,7.3%,0.89,-0.6,9.4%,37.3%,90.7%,56.1%,9.1%,16.1%,25,UTL,L,Hiroshima Carp,CL
,Suekane Shota,123,477,437,40,106,18,3,11,163,62,2,3,0,5,97,33,0,2,6,0.243,0.296,0.373,0.669,101,0.130,0.284,20.3%,6.9%,0.34,-0.9,18.6%,36.6%,82.8%,54.8%,16.5%,29.6%,29,9,R,Hiroshima Carp,CL
,Kuwahara Masayuki,106,447,398,48,113,17,2,6,152,27,10,0,10,0,59,30,1,9,5,0.284,0.348,0.382,0.730,120,0.098,0.321,13.2%,6.7%,0.51,1.4,14.9%,26.5%,91.3%,48.0%,8.0%,21.3%,31,8,R,DeNA BayStars,CL
,Sano Keita,138,569,525,47,144,24,0,15,213,70,0,0,0,5,61,34,1,5,13,0.274,0.322,0.406,0.728,119,0.132,0.284,10.7%,6.0%,0.56,-0.3,14.3%,25.7%,91.9%,43.9%,6.2%,19.3%,30,7,L,DeNA BayStars,CL
,Cabbage Trey,123,476,431,50,115,26,1,17,194,51,5,3,1,2,144,37,3,5,4,0.267,0.331,0.450,0.781,140,0.183,0.360,30.3%,7.8%,0.26,-0.4,16.6%,32.9%,83.1%,51.0%,17.1%,41.6%,28,9,L,Yomiuri Giants,CL
,Izuguchi Yuta,133,573,512,67,154,23,3,6,201,39,4,5,7,3,60,47,2,4,8,0.301,0.362,0.393,0.755,134,0.092,0.330,10.5%,8.2%,0.78,-1.3,13.4%,20.8%,92.9%,42.7%,4.9%,19.7%,26,6,L,Yomiuri Giants,CL
,Yoshikawa Naoki,107,455,404,33,112,15,3,3,142,32,8,3,2,3,63,41,0,5,7,0.277,0.349,0.351,0.700,118,0.074,0.320,13.8%,9.0%,0.65,0.1,8.1%,24.9%,91.0%,45.4%,8.3%,23.5%,30,4,L,Yomiuri Giants,CL
,Osuna Jose,141,574,528,38,135,22,0,14,199,67,4,1,0,5,76,40,6,1,13,0.256,0.307,0.377,0.684,101,0.121,0.273,13.2%,7.0%,0.53,0.1,18.2%,26.5%,90.8%,44.0%,7.6%,22.6%,32,3,R,Yakult Swallows,CL
,Uchiyama Souma,116,470,423,50,111,26,1,8,163,48,8,3,1,4,66,41,0,1,10,0.262,0.326,0.385,0.711,109,0.123,0.292,14.0%,8.7%,0.62,0.1,18.2%,19.1%,94.7%,40.6%,5.1%,24.5%,23,7,R,Yakult Swallows,CL
,Okabayashi Yuki,143,637,578,71,168,22,8,5,221,35,17,5,4,3,57,51,10,1,1,0.291,0.348,0.382,0.730,132,0.091,0.314,8.9%,8.0%,0.89,0.9,11.7%,26.7%,95.6%,43.4%,4.0%,17.7%,23,8,L,Chunichi Dragons,CL
,Uebayashi Seiji,134,517,486,52,131,21,4,17,211,52,27,5,6,1,102,20,7,4,3,0.270,0.303,0.434,0.737,132,0.164,0.310,19.7%,3.9%,0.20,2.7,21.0%,42.9%,86.4%,59.2%,14.5%,26.9%,29,9,L,Chunichi Dragons,CL
,Vosler Jason,122,493,452,37,118,33,2,13,194,58,0,1,0,5,101,30,3,6,5,0.261,0.312,0.429,0.741,133,0.168,0.306,20.5%,6.1%,0.30,-0.5,25.3%,32.1%,86.9%,48.3%,11.5%,29.2%,31,3,L,Chunichi Dragons,CL
,Hirooka Taishi,118,453,402,43,102,15,1,7,140,34,9,7,8,4,90,39,0,0,9,0.254,0.317,0.348,0.665,105,0.094,0.307,19.9%,8.6%,0.43,-1.0,15.7%,25.8%,83.3%,46.4%,11.0%,30.0%,28,8,R,ORIX Buffaloes,PL
