Rank,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Age,T,Team,League
,Tsunehiro Hayato,16,3,10,0,0,0,363,80.2,86,2,55,35,0,3,10,52,42,4.69,3.96,4.25,1.50,68,105,110,0.73,0.6%,15.2%,9.6%,5.5%,23,R,Hiroshima Carp,WL
,Matsukihira Yuta,12,4,3,0,0,0,312,76.0,72,5,46,19,0,3,3,29,27,3.20,4.10,3.93,1.20,105,103,102,-0.90,1.6%,14.7%,6.1%,8.7%,22,R,Chunichi Dragons,WL
,Mejia Humberto,14,6,5,0,0,0,309,78.0,62,2,50,19,0,5,5,23,21,2.42,3.56,3.80,1.04,139,90,99,-1.14,0.6%,16.2%,6.1%,10.0%,28,R,Chunichi Dragons,WL
,Bandoh Yugo,17,7,2,0,0,0,355,86.2,85,1,50,18,0,2,0,28,23,2.39,3.27,3.90,1.19,135,86,101,-0.88,0.3%,14.1%,5.1%,9.0%,29,R,SoftBank Hawks,WL
,Wang Yan-Cheng,18,8,4,0,0,0,393,91.0,95,2,68,33,0,7,4,43,38,3.76,3.69,3.91,1.41,85,97,102,0.07,0.5%,17.3%,8.4%,8.9%,24,L,Rakuten Eagles,EL
,Makino Kenshin,26,4,2,0,1,1,381,88.1,96,7,69,27,0,1,2,37,26,2.65,4.00,3.70,1.39,112,114,96,-1.35,1.8%,18.1%,7.1%,11.0%,25,L,Oisix Albirex,EL
,Noto Syuto,19,10,3,0,0,0,471,110.0,102,3,84,44,0,1,4,37,32,2.62,3.64,3.95,1.33,113,104,103,-1.02,0.6%,17.8%,9.3%,8.5%,23,R,Oisix Albirex,EL
,Yabuta Kazuki,18,2,8,0,0,0,444,96.0,124,9,47,38,0,0,5,65,52,4.88,5.01,4.60,1.69,61,143,119,-0.13,2.0%,10.6%,8.6%,2.0%,32,R,Oisix Albirex,EL
,Kasashima Naoki,16,3,5,0,0,0,370,88.1,80,3,62,26,0,5,1,34,24,2.45,3.67,3.83,1.20,140,91,99,-1.22,0.8%,16.8%,7.0%,9.7%,22,R,HAYATE Ventures,WL
,Okuda Kanata,17,2,8,0,0,0,372,85.1,110,1,34,19,0,2,4,39,37,3.90,3.68,4.40,1.51,88,91,114,0.22,0.3%,9.1%,5.1%,4.0%,24,L,HAYATE Ventures,WL
