#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
,Murakami Shoki,26,14,4,0,0,3,3,679,175.1,131,9,144,25,4,7,3,41,41,2.10,2.63,3.05,0.89,137,81,85,-0.53,1.3%,21.2%,3.7%,17.5%,38.2%,31.8%,77.9%,10.7%,28.0%,90.8,Hanshin Tigers,27,R,CL
,Saiki Hiroto,24,12,6,0,0,3,2,636,157.0,123,6,122,44,3,1,1,29,27,1.55,2.86,3.57,1.06,186,88,100,-1.31,0.9%,19.2%,6.9%,12.3%,41.5%,25.9%,79.0%,9.8%,27.2%,93.3,Hanshin Tigers,26,R,CL
,Morishita Masato,22,6,14,0,0,3,0,622,152.1,140,6,92,37,3,5,1,53,42,2.48,3.18,3.92,1.16,125,92,110,-0.70,1.0%,14.8%,5.9%,8.8%,52.0%,26.0%,82.2%,8.7%,25.7%,91.1,Hiroshima Carp,27,R,CL
,Tokoda Hiroki,26,9,12,0,0,6,3,705,171.1,158,13,102,42,3,1,5,64,60,3.15,3.60,3.95,1.17,98,104,111,-0.45,1.8%,14.5%,6.0%,8.5%,47.2%,27.0%,82.4%,8.2%,27.7%,88.9,Hiroshima Carp,30,L,CL
,Azuma Katsuki,24,14,8,0,0,2,0,648,160.1,142,15,123,26,0,5,0,50,39,2.19,3.31,3.30,1.05,141,96,93,-1.12,2.3%,19.0%,4.0%,15.0%,46.3%,32.2%,79.8%,9.9%,30.7%,88.7,DeNA BayStars,29,L,CL
,Jackson Andre,25,10,7,0,0,0,0,636,150.2,134,9,109,55,4,9,7,46,39,2.33,3.66,3.95,1.25,132,106,111,-1.33,1.4%,17.1%,8.6%,8.5%,52.2%,26.0%,79.3%,9.7%,27.1%,94.2,DeNA BayStars,29,R,CL
,Kay Anthony,24,9,6,0,0,1,1,604,155.0,111,8,130,41,2,3,1,31,30,1.74,2.90,3.33,0.98,177,84,93,-1.16,1.3%,21.5%,6.8%,14.7%,57.8%,31.5%,75.6%,11.7%,29.1%,94.5,DeNA BayStars,30,L,CL
,Yamasaki Iori,25,11,4,0,0,1,0,625,156.1,124,9,131,36,6,6,4,40,36,2.07,2.93,3.28,1.02,142,89,92,-0.86,1.4%,21.0%,5.8%,15.2%,54.7%,30.9%,77.5%,10.6%,28.2%,91.8,Yomiuri Giants,26,R,CL
,Matsuba Takahiro,23,7,11,0,0,1,0,595,145.2,136,9,61,37,1,7,1,45,44,2.72,3.92,4.40,1.19,103,125,123,-1.20,1.5%,10.3%,6.2%,4.0%,50.4%,25.7%,85.5%,6.5%,26.1%,84.3,Chunichi Dragons,34,L,CL
,Takahashi Hiroto,26,8,10,0,0,3,2,690,171.2,145,11,138,50,2,5,9,57,54,2.83,3.24,3.52,1.14,99,103,99,-0.41,1.6%,20.0%,7.2%,12.8%,56.1%,30.4%,73.9%,12.7%,26.9%,94.5,Chunichi Dragons,22,R,CL
,Kuri Allen,25,11,8,0,0,2,1,678,164.1,155,7,114,48,0,6,1,49,44,2.41,3.21,3.83,1.24,123,97,107,-0.80,1.0%,16.8%,7.1%,9.7%,51.9%,28.0%,77.8%,9.5%,27.4%,88.3,ORIX Buffaloes,33,R,PL
,Miyagi Hiroya,23,7,3,0,0,0,0,615,150.1,135,6,165,30,0,6,3,41,40,2.39,2.10,2.60,1.10,124,63,73,0.29,1.0%,26.8%,4.9%,22.0%,51.9%,34.1%,73.6%,12.8%,32.2%,90.8,ORIX Buffaloes,23,L,PL
