Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,Team,League
Arnaez Jean,65,203,183,14,37,6,0,1,46,18,1,0,3,1,25,14,0,2,4,0.202,0.265,0.251,0.516,60,0.049,0.228,19.7%,12.3%,6.9%,0.56,0.1,22,UTL,R,Hanshin Tigers,WL
Beasley Jeremy,12,9,8,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0.125,0.125,0.125,0.250,-27,0.000,0.200,33.3%,33.3%,0.0%,0.00,-0.0,29,1,R,Hanshin Tigers,WL
Consuegra Stanley,22,52,49,3,8,1,0,0,9,5,0,0,0,1,16,2,0,0,0,0.163,0.192,0.184,0.376,14,0.021,0.235,34.6%,30.8%,3.8%,0.12,-0.0,24,9,R,Hanshin Tigers,WL
Duplantier Jon,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,,100.0%,100.0%,0.0%,0.00,0.0,30,1,L,Hanshin Tigers,WL
Fujita Kento,38,67,62,7,12,0,2,0,16,6,1,0,1,0,15,4,0,0,1,0.194,0.242,0.258,0.500,54,0.064,0.255,28.4%,22.4%,6.0%,0.27,0.1,23,2,R,Hanshin Tigers,WL
Fukushima Kein,96,221,183,36,40,3,2,2,53,17,26,5,5,2,20,27,0,4,8,0.219,0.329,0.290,0.619,93,0.071,0.233,22.2%,9.0%,12.2%,1.35,2.7,23,8,L,Hanshin Tigers,WL
Haraguchi Fumihito,56,132,119,12,32,7,1,3,50,23,1,0,0,1,23,8,1,4,4,0.269,0.333,0.420,0.753,136,0.151,0.309,25.8%,17.4%,6.1%,0.35,0.1,33,DH,R,Hanshin Tigers,WL
Hernandez Ramon,42,155,136,17,34,12,0,6,64,23,2,0,0,0,21,14,0,5,1,0.250,0.342,0.471,0.813,155,0.221,0.257,26.5%,13.5%,9.0%,0.67,0.3,29,3,R,Hanshin Tigers,WL
Inoue Kouta,79,278,241,34,57,8,3,8,95,31,1,2,0,2,83,26,1,9,2,0.237,0.331,0.394,0.725,127,0.157,0.322,42.1%,29.9%,9.4%,0.31,-0.6,23,UTL,R,Hanshin Tigers,WL
Itoh Masashi,8,6,4,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0.250,0.400,0.250,0.650,105,0.000,0.500,50.0%,33.3%,16.7%,0.50,-0.0,29,1,L,Hanshin Tigers,WL
