Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,AIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
Beasley Jeremy,8,12,9,0,1,0,0,0,1,1,0,0,3,0,5,0,0,0,0,0.111,0.111,0.111,0.222,-33,0.000,0.250,41.7%,0.0%,0.00,-0.0,14.3%,41.2%,63.6%,42.9%,16.7%,41.7%,29,1,R,Hanshin Tigers,CL
Chikamoto Koji,140,638,573,76,160,25,4,3,202,34,32,9,0,3,88,60,1,2,3,0.279,0.348,0.353,0.701,120,0.074,0.324,13.8%,9.4%,0.68,2.1,45.4%,23.0%,93.3%,43.2%,5.9%,23.7%,30,8,L,Hanshin Tigers,CL
Duplantier Jon,15,28,26,0,1,0,0,0,1,0,0,0,2,0,16,0,0,0,0,0.038,0.038,0.038,0.076,-80,0.000,0.100,57.1%,0.0%,0.00,-0.0,9.1%,28.9%,69.2%,35.9%,14.6%,57.1%,30,1,L,Hanshin Tigers,CL
Haraguchi Fumihito,16,17,16,1,1,0,0,0,1,2,0,0,0,0,5,1,1,0,2,0.063,0.118,0.063,0.181,-45,0.000,0.091,29.4%,5.9%,0.20,-0.0,27.3%,37.5%,77.3%,54.4%,14.0%,35.3%,33,3,R,Hanshin Tigers,CL
Hayakawa Daiki,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,50.0%,100.0%,57.1%,0.0%,0.0%,25,1,R,Hanshin Tigers,CL
Hernandez Ramon,47,101,96,3,22,3,0,1,28,8,0,0,0,1,26,4,0,0,6,0.229,0.257,0.292,0.549,70,0.063,0.300,25.7%,4.0%,0.15,-0.0,51.4%,36.8%,91.2%,52.9%,11.8%,30.7%,29,5,R,Hanshin Tigers,CL
Ihara Takato,28,27,25,0,4,0,0,0,4,0,0,0,2,0,5,0,0,0,1,0.160,0.160,0.160,0.320,-2,0.000,0.200,18.5%,0.0%,0.00,-0.0,36.4%,27.3%,95.8%,36.3%,4.4%,18.5%,24,1,L,Hanshin Tigers,CL
Inoue Kouta,1,3,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,0.000,66.7%,0.0%,0.00,0.2,100.0%,75.0%,50.0%,55.6%,22.2%,66.7%,23,7,R,Hanshin Tigers,CL
Ishii Daichi,53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,33.3%,0.0%,0.0%,27,1,R,Hanshin Tigers,CL
Itoh Masashi,14,31,27,1,2,0,0,0,2,1,0,0,4,0,14,0,0,0,3,0.074,0.074,0.074,0.148,-57,0.000,0.154,45.2%,0.0%,0.00,-0.0,23.5%,23.3%,73.1%,31.3%,7.8%,45.2%,29,1,L,Hanshin Tigers,CL
Itohara Kento,61,75,69,0,14,0,0,0,14,4,1,0,0,1,16,5,1,0,1,0.203,0.253,0.203,0.456,43,0.000,0.259,21.3%,6.7%,0.31,0.1,37.7%,25.9%,94.9%,43.2%,8.1%,28.0%,32,5,L,Hanshin Tigers,CL
Itsubo Hinase,6,18,18,1,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0.167,0.167,0.167,0.334,3,0.000,0.214,22.2%,0.0%,0.00,-0.0,28.6%,40.9%,100.0%,53.8%,9.6%,22.2%,20,8,R,Hanshin Tigers,CL
Kinami Seiya,72,203,181,12,35,8,2,0,47,15,1,1,7,0,48,12,2,3,1,0.193,0.255,0.260,0.515,60,0.067,0.263,23.6%,5.9%,0.25,-0.2,37.0%,30.5%,88.8%,48.2%,10.1%,29.6%,31,6,L,Hanshin Tigers,CL
Kumagai Takahiro,85,170,156,22,35,2,3,1,46,18,6,4,8,0,33,5,0,1,5,0.224,0.253,0.295,0.548,70,0.071,0.279,19.4%,2.9%,0.15,-0.4,48.4%,23.4%,91.3%,42.0%,6.7%,22.9%,29,6,R,Hanshin Tigers,CL
Kusumoto Taishi,16,16,15,0,2,1,0,0,3,1,0,0,0,0,6,1,0,0,0,0.133,0.188,0.200,0.388,20,0.067,0.222,37.5%,6.2%,0.17,-0.0,33.3%,45.9%,77.8%,58.7%,18.7%,43.8%,29,7,L,Hanshin Tigers,CL
Maegawa Ukyo,69,209,195,11,48,10,1,1,63,15,0,1,0,0,30,8,2,6,2,0.246,0.297,0.323,0.620,93,0.077,0.287,14.4%,3.8%,0.27,-0.4,50.9%,28.5%,91.1%,47.8%,8.9%,18.7%,22,7,L,Hanshin Tigers,CL
Mombetsu Keito,12,13,11,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,0.000,30.8%,0.0%,0.00,0.0,11.1%,26.7%,90.9%,34.9%,9.3%,30.8%,20,1,L,Hanshin Tigers,CL
Morishita Shota,143,620,549,82,151,24,5,23,254,89,5,2,0,5,86,54,4,12,15,0.275,0.350,0.463,0.813,153,0.188,0.288,13.9%,8.7%,0.63,-0.1,59.2%,21.6%,93.8%,39.6%,5.8%,26.3%,24,9,R,Hanshin Tigers,CL
Murakami Shoki,26,61,53,0,4,0,0,0,4,0,0,0,7,0,31,1,0,0,1,0.075,0.093,0.075,0.168,-50,0.000,0.182,50.8%,1.6%,0.03,-0.0,27.6%,17.9%,81.9%,36.0%,7.9%,52.5%,27,1,L,Hanshin Tigers,CL
Nagasaka Kenya,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,50.0%,0.0%,0.0%,31,2,R,Hanshin Tigers,CL
