Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Kay Anthony,2,1,1,0,0,0,49,11.2,7,2,12,6,2,2,0,6,6,4.63,5.28,3.58,1.11,62,152,117,-0.65,4.1%,24.5%,12.2%,12.2%,DeNA BayStars,CL
Baldonado Alberto,2,0,0,0,0,0,5,1.1,0,0,1,1,0,0,0,0,0,0.00,3.80,4.80,0.75,999,115,157,-3.80,0.0%,20.0%,20.0%,0.0%,Yomiuri Giants,CL
Hernandez Darwinzon,1,0,0,0,0,0,4,1.0,1,0,1,0,0,0,0,0,0,0.00,1.05,2.30,1.00,999,31,75,-1.05,0.0%,25.0%,0.0%,25.0%,SoftBank Hawks,PL
Moinelo Livan,1,0,0,0,0,0,28,7.0,5,0,7,2,0,1,0,0,0,0.00,2.34,3.01,1.00,999,68,98,-2.34,0.0%,25.0%,7.1%,17.9%,SoftBank Hawks,PL
Uehara Kenta,3,1,0,0,0,0,13,3.1,2,1,0,1,0,0,0,1,1,2.70,7.85,5.57,0.90,109,220,182,-5.15,7.7%,0.0%,7.7%,-7.7%,Nipponham Fighters,PL
Nakagawa Kota,2,0,0,0,0,0,5,0.1,2,0,1,2,0,0,0,2,2,54.00,15.05,6.80,12.00,5,457,222,38.95,0.0%,20.0%,40.0%,-20.0%,Yomiuri Giants,CL
Oyokawa Masaki,2,2,0,0,0,0,10,2.2,2,0,6,0,0,0,0,0,0,0.00,-1.45,-1.20,0.75,999,-45,-39,1.45,0.0%,60.0%,0.0%,60.0%,Hanshin Tigers,CL
Sakamoto Yuya,2,1,0,0,0,0,6,1.0,1,0,1,2,0,0,0,0,0,0.00,7.05,6.47,3.00,999,204,211,-7.05,0.0%,16.7%,33.3%,-16.7%,DeNA BayStars,CL
Ohe Ryusei,1,0,0,0,0,0,3,1.0,1,0,0,0,0,0,0,0,0,0.00,3.05,4.80,1.00,999,89,157,-3.05,0.0%,0.0%,0.0%,0.0%,SoftBank Hawks,PL
Miyagi Hiroya,1,0,0,0,0,0,16,3.0,5,0,5,1,0,1,0,3,3,9.00,1.72,2.30,2.00,31,52,75,7.28,0.0%,31.2%,6.2%,25.0%,ORIX Buffaloes,PL
Yamasaki Sachiya,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.05,1.47,0.00,999,30,48,-1.05,0.0%,33.3%,0.0%,33.3%,Nipponham Fighters,PL
Iwazaki Suguru,2,0,0,1,0,0,6,2.0,0,0,3,0,0,0,0,0,0,0.00,0.05,-0.20,0.00,999,2,-7,-0.05,0.0%,50.0%,0.0%,50.0%,Hanshin Tigers,CL
Iwasada Yuta,1,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,0.00,-2.95,-5.20,0.00,999,-91,-170,2.95,0.0%,100.0%,0.0%,100.0%,Hanshin Tigers,CL
Azuma Katsuki,1,0,1,0,0,0,24,5.2,6,0,5,0,0,0,0,2,2,3.18,1.29,2.72,1.06,90,37,89,1.89,0.0%,20.8%,0.0%,20.8%,DeNA BayStars,CL
Takahashi Haruto,1,1,0,0,0,0,27,7.2,3,0,7,0,0,0,0,0,0,0.00,1.23,2.21,0.39,999,38,72,-1.23,0.0%,25.9%,0.0%,25.9%,Hanshin Tigers,CL
Jackson Andre,1,0,0,0,0,0,11,1.0,6,2,0,1,0,0,0,5,4,36.00,32.05,5.71,7.00,8,925,186,3.95,18.2%,0.0%,9.1%,-9.1%,DeNA BayStars,CL
Martinez Raidel,1,0,0,0,0,0,6,1.2,0,0,2,0,0,1,0,0,0,0.00,2.45,1.47,0.00,999,74,48,-2.45,0.0%,33.3%,0.0%,33.3%,Yomiuri Giants,CL
Uwasawa Naoyuki,1,0,1,0,0,0,30,6.2,7,2,10,3,0,0,0,6,5,6.75,5.30,2.47,1.50,42,154,81,1.45,6.7%,33.3%,10.0%,23.3%,SoftBank Hawks,PL
