Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Age,T,Team,League
Beasley Jeremy,8,1,3,0,0,0,0,132,29.1,35,0,25,12,2,3,1,16,15,4.60,2.79,3.82,1.60,63,88,107,1.81,0.0%,18.9%,9.1%,9.8%,42.4%,14.1%,77.7%,10.0%,27.1%,93.1,29,R,Hanshin Tigers,CL
Dolis Rafael,15,2,1,0,5,0,0,55,13.2,11,0,12,4,0,0,0,3,3,1.98,2.09,3.35,1.10,146,66,94,-0.11,0.0%,21.8%,7.3%,14.5%,61.5%,18.4%,65.3%,17.4%,30.0%,93.6,27,R,Hanshin Tigers,CL
Duplantier Jon,15,6,3,0,0,2,2,349,90.2,53,1,113,20,1,6,2,19,14,1.39,1.48,2.14,0.81,207,47,60,-0.09,0.3%,32.4%,5.7%,26.6%,49.0%,13.7%,71.7%,12.6%,33.2%,93.4,30,R,Hanshin Tigers,CL
Guerra Javy,6,0,1,0,1,0,0,29,4.2,10,0,4,5,0,0,0,7,7,13.50,4.46,5.14,3.21,21,141,144,9.04,0.0%,13.8%,17.2%,-3.4%,55.0%,10.3%,86.5%,6.5%,20.6%,96.5,29,R,Hanshin Tigers,CL
Hartwig Grant,14,2,0,0,4,0,0,51,11.2,9,1,8,7,0,1,1,5,5,3.86,4.76,4.60,1.37,75,151,129,-0.90,2.0%,15.7%,13.7%,2.0%,48.6%,8.9%,75.9%,9.9%,29.6%,93.0,28,R,Hanshin Tigers,CL
Hatake Seishu,5,0,0,0,1,0,0,22,6.0,4,0,2,3,0,0,0,0,0,0.00,3.80,5.25,1.17,999,120,147,-3.80,0.0%,9.1%,13.6%,-4.5%,52.9%,14.1%,81.6%,9.0%,25.6%,91.0,31,R,Hanshin Tigers,CL
Hayakawa Daiki,2,1,0,0,0,0,0,20,5.1,2,0,2,2,0,0,0,0,0,0.00,3.34,4.80,0.75,999,106,134,-3.34,0.0%,10.0%,10.0%,0.0%,50.0%,12.2%,94.4%,2.4%,22.0%,89.1,25,R,Hanshin Tigers,CL
Ihara Takato,24,5,7,0,1,0,0,405,99.0,86,3,71,23,2,2,1,32,24,2.18,2.68,3.61,1.10,132,85,101,-0.50,0.7%,17.5%,5.7%,11.9%,46.2%,13.1%,82.5%,8.2%,26.6%,88.5,24,L,Hanshin Tigers,CL
Ishiguro Yuya,8,0,0,0,1,0,0,33,8.0,9,1,7,2,0,0,0,4,4,4.50,3.59,3.28,1.38,64,114,92,0.91,3.0%,21.2%,6.1%,15.2%,36.4%,13.8%,72.2%,16.3%,24.4%,92.1,24,R,Hanshin Tigers,CL
Ishii Daichi,51,1,0,9,35,0,0,192,51.0,35,0,40,7,2,1,2,1,1,0.18,1.87,3.08,0.82,1601,59,86,-1.69,0.0%,20.8%,3.6%,17.2%,42.0%,12.7%,76.7%,12.8%,27.5%,92.8,27,R,Hanshin Tigers,CL
Itoh Masashi,13,4,2,0,0,1,1,319,83.1,64,7,48,11,3,0,0,23,22,2.38,3.30,3.64,0.90,121,104,102,-0.92,2.2%,15.0%,3.4%,11.6%,52.7%,12.9%,85.5%,6.5%,27.4%,87.4,29,L,Hanshin Tigers,CL
Iwasada Yuta,23,3,1,0,3,0,0,101,24.2,24,1,16,5,0,0,1,6,6,2.19,2.80,3.71,1.18,132,89,104,-0.61,1.0%,15.8%,5.0%,10.9%,33.8%,10.3%,81.0%,8.3%,29.0%,88.6,33,L,Hanshin Tigers,CL
Iwazaki Suguru,49,1,2,31,7,0,0,195,48.0,46,1,38,11,1,0,0,12,9,1.69,2.34,3.42,1.19,171,74,96,-0.65,0.5%,19.5%,5.6%,13.8%,45.9%,12.7%,78.0%,10.5%,30.2%,87.9,34,L,Hanshin Tigers,CL
Kinoshita Rito,11,0,0,0,1,0,0,59,13.2,18,0,12,2,1,0,1,7,5,3.29,1.65,3.11,1.46,88,52,87,1.64,0.0%,20.3%,3.4%,16.9%,64.4%,12.5%,78.3%,11.6%,24.6%,95.7,24,R,Hanshin Tigers,CL
Kirishiki Takuma,43,2,1,1,13,0,0,166,38.0,45,0,35,7,2,2,0,13,12,2.84,1.83,3.11,1.37,101,58,87,1.01,0.0%,21.1%,4.2%,16.9%,64.5%,14.3%,79.1%,10.5%,26.3%,91.3,26,L,Hanshin Tigers,CL
