Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,League
Hanshin Tigers,4470,3875,459,958,177,21,36,1285,424,91,39,69,28,730,425,7,73,95,0.247,0.331,0.332,0.662,107,0.084,0.294,26.6%,16.3%,9.5%,0.58,0.8,WL
Hiroshima Carp,4293,3802,376,915,149,17,39,1215,335,48,31,56,31,817,355,2,49,122,0.241,0.311,0.320,0.631,92,0.079,0.294,28.2%,19.0%,8.3%,0.43,-3.7,WL
DeNA BayStars,4464,3978,465,1032,181,24,59,1438,434,93,42,56,35,756,354,4,40,103,0.259,0.324,0.361,0.685,106,0.102,0.304,26.2%,16.9%,7.9%,0.47,0.2,EL
Yomiuri Giants,4245,3746,524,998,169,15,66,1395,492,124,37,75,31,772,346,2,47,77,0.266,0.334,0.372,0.706,112,0.106,0.317,27.9%,18.2%,8.2%,0.45,7.2,EL
Yakult Swallows,3927,3503,305,758,128,18,40,1042,279,58,44,35,15,833,332,2,42,80,0.216,0.291,0.297,0.588,79,0.081,0.271,30.7%,21.2%,8.5%,0.40,-6.1,EL
Chunichi Dragons,4178,3666,472,952,170,41,47,1345,437,105,52,38,36,816,394,2,44,84,0.260,0.336,0.367,0.703,108,0.107,0.319,30.1%,19.5%,9.4%,0.48,-1.0,WL
ORIX Buffaloes,4612,4003,478,1009,135,34,28,1296,435,112,41,52,36,776,480,4,41,101,0.252,0.336,0.324,0.659,107,0.072,0.303,27.8%,16.8%,10.4%,0.62,3.5,WL
Lotte Marines,4119,3631,447,944,166,22,59,1331,423,55,26,47,28,738,356,4,57,96,0.260,0.333,0.367,0.700,104,0.107,0.309,28.0%,17.9%,8.6%,0.48,-0.9,EL
SoftBank Hawks,4462,3886,522,1026,174,31,47,1403,488,94,51,29,36,826,437,1,73,75,0.264,0.347,0.361,0.708,114,0.097,0.321,29.4%,18.5%,9.8%,0.53,-2.8,WL
Rakuten Eagles,4295,3859,437,982,174,31,39,1335,390,113,35,29,33,778,333,4,41,98,0.254,0.318,0.346,0.664,101,0.091,0.307,26.8%,18.1%,7.8%,0.43,6.0,EL
Seibu Lions,4059,3607,438,927,175,26,59,1331,410,81,22,44,27,744,338,1,43,91,0.257,0.326,0.369,0.695,103,0.112,0.307,28.1%,18.3%,8.3%,0.45,4.9,EL
Nipponham Fighters,3819,3397,407,859,154,26,69,1272,381,57,25,54,32,710,310,2,26,97,0.253,0.317,0.374,0.692,100,0.122,0.298,28.5%,18.6%,8.1%,0.44,0.0,EL
Oisix Albirex,4062,3608,373,894,142,21,29,1165,342,36,25,82,32,708,305,0,35,74,0.248,0.310,0.323,0.633,100,0.075,0.298,25.7%,17.4%,7.5%,0.43,-3.7,EL
HAYATE Ventures,3986,3612,260,829,114,16,8,999,237,37,28,51,24,695,253,2,46,87,0.230,0.287,0.277,0.563,67,0.047,0.280,24.0%,17.4%,6.3%,0.36,-4.4,WL
League Average,4214,3727,426,934,158,24,45,1275,393,79,36,51,30,764,358,3,47,91,0.251,0.322,0.342,0.664,100,0.091,0.302,27.7%,18.1%,8.5%,0.47,-0.0,
