Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,League
Hanshin Tigers,5112,4495,473,1100,180,24,87,1589,438,97,39,131,23,1027,424,43,39,84,0.245,0.314,0.354,0.667,108,0.109,0.298,30.1%,20.1%,8.3%,0.41,0.8,CL
Hiroshima Carp,5022,4566,427,1132,201,21,69,1582,402,55,39,85,20,957,310,29,41,75,0.248,0.300,0.346,0.647,95,0.099,0.299,26.6%,19.1%,6.2%,0.32,-6.2,CL
DeNA BayStars,4957,4483,461,1082,209,14,100,1619,446,61,29,74,35,905,315,34,50,93,0.241,0.296,0.361,0.657,99,0.120,0.280,26.6%,18.3%,6.4%,0.35,-1.7,CL
Yomiuri Giants,5044,4516,432,1119,192,15,92,1617,418,50,37,82,27,1020,378,27,41,79,0.248,0.310,0.358,0.668,106,0.110,0.299,29.5%,20.2%,7.5%,0.37,-6.5,CL
Yakult Swallows,4874,4331,392,1003,180,14,81,1454,371,57,25,120,24,914,350,25,49,81,0.232,0.295,0.336,0.631,86,0.104,0.274,27.6%,18.8%,7.2%,0.38,-1.1,CL
Chunichi Dragons,4964,4460,377,1029,182,22,75,1480,356,79,28,122,23,1024,322,38,37,61,0.231,0.287,0.332,0.618,95,0.101,0.282,28.6%,20.6%,6.5%,0.31,1.8,CL
ORIX Buffaloes,5015,4522,454,1156,180,18,89,1639,442,56,25,61,31,866,354,13,47,82,0.256,0.314,0.362,0.677,109,0.107,0.297,26.1%,17.3%,7.1%,0.41,-1.6,PL
Lotte Marines,4877,4397,409,1054,183,17,70,1481,395,66,23,73,31,977,318,11,58,78,0.240,0.298,0.337,0.634,92,0.097,0.291,28.0%,20.0%,6.5%,0.33,1.0,PL
SoftBank Hawks,4924,4367,504,1114,166,26,90,1602,486,95,21,84,31,1013,399,18,43,84,0.255,0.321,0.367,0.688,108,0.112,0.311,30.5%,20.6%,8.1%,0.39,6.4,PL
Rakuten Eagles,4939,4397,411,1083,132,26,67,1468,399,104,21,66,43,962,382,17,51,91,0.246,0.311,0.334,0.645,104,0.088,0.298,28.6%,19.5%,7.7%,0.40,7.9,PL
Seibu Lions,4790,4323,368,1008,158,18,73,1421,341,86,38,84,30,830,309,16,44,85,0.233,0.289,0.329,0.618,88,0.096,0.271,25.3%,17.3%,6.5%,0.37,-0.4,PL
Nipponham Fighters,5033,4540,513,1136,183,28,122,1741,494,68,28,52,24,1059,373,13,44,78,0.250,0.312,0.383,0.695,107,0.133,0.300,30.9%,21.0%,7.4%,0.35,-0.4,PL
League Average,4963,4450,435,1085,179,20,85,1558,416,73,29,86,28,963,353,24,45,81,0.244,0.304,0.350,0.654,100,0.106,0.291,28.2%,19.4%,7.1%,0.37,0.0,
