Team,TZR,TZR/143,RngR,ARM,DPR,ErrR,Framing,Blocking,League
HAYATE Ventures,-29.9,-6.4,-35.5,3.8,0.8,0.3,-11.3,0.0,WL
ORIX Buffaloes,34.7,6.6,24.8,11.7,-0.8,-1.6,3.3,1.7,WL
Hanshin Tigers,16.3,3.1,8.5,4.8,-1.9,4.2,-7.7,-3.4,WL
Hiroshima Carp,-29.6,-5.8,-12.2,-2.0,-5.9,-10.4,0.6,-2.9,WL
SoftBank Hawks,20.8,4.2,18.1,0.7,1.5,0.6,5.5,0.8,WL
Chunichi Dragons,23.8,5.1,19.5,-3.4,1.1,7.0,-1.2,0.5,WL
Seibu Lions,34.4,7.3,25.8,0.8,6.7,0.2,0.2,1.1,EL
Oisix Albirex,-74.5,-15.9,-49.4,-12.0,-2.1,-11.1,-7.3,1.1,EL
Nipponham Fighters,-7.4,-1.6,-6.0,4.0,-5.4,-0.3,6.2,0.2,EL
Lotte Marines,-2.1,-0.4,2.7,-6.7,1.3,0.6,-4.4,0.4,EL
Yomiuri Giants,28.8,6.0,20.4,1.6,0.9,4.9,11.4,1.0,EL
Rakuten Eagles,9.9,1.9,-8.1,2.7,3.4,11.7,2.7,1.5,EL
DeNA BayStars,-22.2,-4.3,-7.6,-2.7,-5.0,-6.0,1.1,1.1,EL
Yakult Swallows,-2.4,-0.5,-2.6,-4.1,4.2,-0.4,0.8,-3.2,EL
