Team,TZR,TZR/143,RngR,ARM,DPR,ErrR,Framing,Blocking,League
Yomiuri Giants,-2.2,-0.5,-8.0,-3.5,4.6,4.6,13.8,1.0,CL
Yakult Swallows,-21.6,-4.8,-18.3,-1.7,-1.0,-0.6,-7.0,-1.3,CL
DeNA BayStars,-8.1,-1.7,-7.3,-1.5,-1.0,1.4,4.1,0.6,CL
Chunichi Dragons,6.1,1.3,-0.1,-4.8,4.1,7.3,-3.1,-1.0,CL
Hiroshima Carp,-7.1,-1.5,-7.3,-3.1,-2.4,5.2,-3.3,-0.7,CL
Hanshin Tigers,17.0,3.5,8.2,7.9,-0.8,1.8,16.9,-0.1,CL
Seibu Lions,23.8,4.7,26.1,-1.5,-0.8,0.1,-5.6,0.5,PL
Nipponham Fighters,12.9,2.5,13.2,4.7,-0.5,-4.0,-1.2,-1.0,PL
ORIX Buffaloes,-32.4,-6.4,-30.1,1.2,-2.4,-1.4,-1.4,1.1,PL
Rakuten Eagles,8.4,1.7,13.3,4.9,-2.1,-7.9,-6.4,0.7,PL
SoftBank Hawks,4.3,0.8,3.0,6.7,1.9,-7.1,-5.6,1.1,PL
Lotte Marines,-1.3,-0.3,8.2,-9.1,0.1,-0.9,-1.2,-0.6,PL
