Team,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
Hanshin Tigers,60,47,27,0,0,4490,1062.2,920,39,869,428,2,56,78,427,355,3.01,3.79,3.82,1.27,100,106,99.6,-0.79,0.9%,19.4%,9.5%,9.8%,WL
Hiroshima Carp,45,65,21,1,1,4630,1048.0,1060,37,814,429,3,67,78,535,446,3.83,3.91,3.97,1.42,83,104,103.6,-0.08,0.8%,17.6%,9.3%,8.3%,WL
DeNA BayStars,54,67,24,1,1,4706,1085.1,1026,65,923,411,4,67,35,520,412,3.42,3.98,3.71,1.32,95,103,96.9,-0.57,1.4%,19.6%,8.7%,10.9%,EL
Yomiuri Giants,77,39,36,3,1,4232,1044.1,881,47,818,276,1,41,32,324,278,2.40,3.51,3.52,1.11,135,91,91.8,-1.12,1.1%,19.3%,6.5%,12.8%,EL
Yakult Swallows,41,72,33,0,0,4335,1011.1,983,64,743,378,3,48,74,464,398,3.54,4.20,3.96,1.35,89,112,103.3,-0.66,1.5%,17.1%,8.7%,8.4%,EL
Chunichi Dragons,61,46,36,0,0,4190,999.1,878,32,721,351,1,48,49,374,312,2.81,3.76,3.92,1.23,119,95,102.2,-0.95,0.8%,17.2%,8.4%,8.8%,WL
ORIX Buffaloes,63,47,29,1,1,4666,1112.0,1001,40,868,371,4,55,46,401,334,2.70,3.64,3.73,1.23,110,103,97.5,-0.94,0.9%,18.6%,8.0%,10.7%,WL
Lotte Marines,61,50,26,1,0,4186,994.2,951,46,740,307,2,35,44,405,344,3.11,3.73,3.77,1.26,110,91,98.3,-0.62,1.1%,17.7%,7.3%,10.3%,EL
SoftBank Hawks,69,45,26,1,1,4396,1059.2,927,28,856,356,5,45,41,391,322,2.73,3.45,3.66,1.21,117,90,95.6,-0.71,0.6%,19.5%,8.1%,11.4%,WL
Rakuten Eagles,57,61,35,2,0,4549,1060.1,1061,52,823,381,0,47,37,500,444,3.77,3.88,3.83,1.36,85,102,99.9,-0.11,1.1%,18.1%,8.4%,9.7%,EL
Seibu Lions,63,48,37,0,0,4126,1000.0,893,53,779,296,6,37,27,358,296,2.66,3.71,3.63,1.19,128,91,94.7,-1.05,1.3%,18.9%,7.2%,11.7%,EL
Nipponham Fighters,57,51,32,1,0,4104,965.1,854,46,894,377,3,48,45,403,336,3.13,3.67,3.54,1.28,112,88,92.4,-0.54,1.1%,21.8%,9.2%,12.6%,EL
Oisix Albirex,45,69,28,2,1,4428,993.0,1129,64,678,377,1,29,47,562,456,4.13,4.28,4.12,1.52,71,122,107.5,-0.15,1.4%,15.3%,8.5%,6.8%,EL
HAYATE Ventures,34,80,27,2,0,4435,991.1,1061,38,649,487,2,57,51,542,468,4.25,4.42,4.43,1.56,80,109,115.7,-0.17,0.9%,14.6%,11.0%,3.7%,WL
League Average,56,56,30,1,0,4391,1030.2,973,46,798,373,3,49,49,443,372,3.24,3.85,3.83,1.31,103,101,99.9,-0.60,1.1%,18.2%,8.5%,9.7%,
