Team,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
Hanshin Tigers,64,40,31,115,8,7,3899,970.2,789,26,759,235,30,27,18,246,221,2.05,2.52,3.46,1.05,136,82,96.5,-0.47,0.7%,19.5%,6.0%,13.4%,CL
Hiroshima Carp,45,54,24,101,9,4,3877,936.0,833,50,725,266,27,29,22,335,305,2.93,3.02,3.62,1.17,102,92,100.9,-0.08,1.3%,18.7%,6.9%,11.8%,CL
DeNA BayStars,47,52,26,63,5,3,3828,927.0,817,72,780,278,29,31,15,325,297,2.88,3.25,3.49,1.18,101,101,97.4,-0.37,1.9%,20.4%,7.3%,13.1%,CL
Yomiuri Giants,51,51,34,127,1,1,3904,948.0,832,67,811,257,40,35,12,309,278,2.64,3.06,3.38,1.15,107,98,94.4,-0.42,1.7%,20.8%,6.6%,14.2%,CL
Yakult Swallows,37,58,24,83,1,1,3858,901.0,891,81,701,307,24,37,27,395,357,3.57,3.68,3.78,1.33,88,107,105.5,-0.12,2.1%,18.2%,8.0%,10.2%,CL
Chunichi Dragons,47,56,37,95,5,2,3867,938.1,825,54,702,297,17,34,25,316,293,2.81,3.24,3.75,1.20,95,110,104.7,-0.42,1.4%,18.2%,7.7%,10.5%,CL
ORIX Buffaloes,51,48,21,75,5,2,3932,921.1,929,47,744,287,14,37,19,382,356,3.48,3.03,3.64,1.32,81,97,101.5,0.45,1.2%,18.9%,7.3%,11.6%,PL
Lotte Marines,37,61,17,68,1,0,3842,896.1,838,84,718,319,6,43,36,404,372,3.74,3.75,3.76,1.29,79,115,105.0,-0.02,2.2%,18.7%,8.3%,10.4%,PL
SoftBank Hawks,64,37,30,79,5,3,3839,943.2,786,58,825,246,15,50,15,280,246,2.35,2.92,3.29,1.09,126,90,91.9,-0.57,1.5%,21.5%,6.4%,15.1%,PL
Rakuten Eagles,50,51,29,98,2,2,3944,922.1,886,71,673,330,14,36,15,349,327,3.19,3.66,3.93,1.32,85,122,109.7,-0.47,1.8%,17.1%,8.4%,8.7%,PL
Seibu Lions,48,54,24,76,4,2,3851,933.1,807,58,767,284,7,43,21,311,289,2.79,3.14,3.55,1.17,103,99,99.0,-0.35,1.5%,19.9%,7.4%,12.5%,PL
Nipponham Fighters,62,41,23,88,21,6,3821,950.1,789,66,769,212,12,28,20,272,242,2.29,2.97,3.34,1.05,132,89,93.3,-0.68,1.7%,20.1%,5.5%,14.6%,PL
League Average,50,50,27,89,6,3,3872,932.1,835,61,748,276,20,36,20,327,299,2.88,3.19,3.58,1.19,103,100,100.0,-0.29,1.6%,19.3%,7.1%,12.2%,
