                  Team   PA   AB   R   H 2B 3B HR  TB RBI SB CS SH SF  SO  BB IBB HP GDP    AVG    OBP    SLG    OPS OPS+    ISO  BABIP   TTO%     K%    BB%  BB/K   wSB League
0       Hanshin Tigers  116   95  15  24  6  1  1  35  15  3  1  3  2  20  13   0  3   5  0.253  0.354  0.368  0.722  116  0.116  0.303  29.3%  17.2%  11.2%  0.65   0.1     CL
1       Hiroshima Carp  108   95   9  21  4  1  0  27   8  0  1  4  0  25   9   2  0   0  0.221  0.288  0.284  0.573   66  0.063  0.300  31.5%  23.1%   8.3%  0.36  -0.4     CL
2        DeNA BayStars  113  103   7  26  3  0  2  35   7  2  1  1  1  25   7   0  1   1  0.252  0.304  0.340  0.643   86  0.087  0.312  30.1%  22.1%   6.2%  0.28  -0.0     CL
3       Yomiuri Giants  101   93   9  21  4  0  4  37   8  0  1  0  1  20   7   0  0   3  0.226  0.277  0.398  0.675   97  0.172  0.243  30.7%  19.8%   6.9%  0.35  -0.4     CL
4      Yakult Swallows  117  106  13  25  4  0  2  35  12  1  0  0  1  30  10   0  0   2  0.236  0.299  0.330  0.629   78  0.094  0.307  35.9%  25.6%   8.5%  0.33   0.1     CL
5     Chunichi Dragons  113  105   6  25  2  1  0  29   6  3  0  3  0  28   4   1  1   0  0.238  0.273  0.276  0.549   65  0.038  0.325  28.3%  24.8%   3.5%  0.14   0.5     CL
6       ORIX Buffaloes  112   95  11  27  7  0  2  40  10  2  1  2  0  24  13   0  2   2  0.284  0.382  0.421  0.803  137  0.137  0.362  34.8%  21.4%  11.6%  0.54  -0.0     PL
7        Lotte Marines  109  101  14  28  5  0  2  39  13  3  0  0  2  18   5   0  1   1  0.277  0.312  0.386  0.698  101  0.109  0.313  22.9%  16.5%   4.6%  0.28   0.5     PL
8       SoftBank Hawks  114   99  20  32  7  0  4  51  18  0  1  2  2  18   9   0  2   0  0.323  0.384  0.515  0.899  157  0.192  0.354  27.2%  15.8%   7.9%  0.50  -0.4     PL
9       Rakuten Eagles  113  105  14  28  7  2  1  42  14  0  1  1  2  28   4   0  1   1  0.267  0.295  0.400  0.695  107  0.133  0.346  29.2%  24.8%   3.5%  0.14  -0.4     PL
10         Seibu Lions  111  101   5  23  5  0  0  28   5  2  0  0  2  18   4   0  4   1  0.228  0.279  0.277  0.557   64  0.050  0.271  19.8%  16.2%   3.6%  0.22   0.3     PL
11  Nipponham Fighters  118  109  13  28  1  0  8  53  12  1  0  1  0  29   4   0  4   2  0.257  0.308  0.486  0.794  122  0.229  0.278  34.7%  24.6%   3.4%  0.14   0.1     PL
12      League Average  112  101  11  26  5  0  2  38  11  1  1  1  1  24   7   0  2   2  0.255  0.313  0.374  0.687  100  0.118  0.310  29.5%  21.0%   6.6%  0.31  -0.0    NaN
