#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/41345136.html>Ohtake Koutaro</a>,3,1,2,0,0,0,73,17.0,21,2,11,0,0,3,0,11,9,4.76,4.39,3.29,1.24,59,122,87,0.37,2.7%,15.1%,0.0%,15.1%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,31,L,W
,<a href=https://npb.jp/bis/eng/players/41245151.html>Tamamura Shogo</a>,2,2,0,0,1,0,43,12.0,9,0,6,2,0,0,0,2,2,1.50,3.12,3.87,0.92,197,82,103,-1.62,0.0%,14.0%,4.7%,9.3%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,25,L,W
,<a href=https://npb.jp/bis/eng/players/51355151.html>Inoue Haruto</a>,3,2,0,0,0,0,68,17.0,14,1,26,4,0,0,0,2,1,0.53,2.03,1.56,1.06,557,53,42,-1.50,1.5%,38.2%,5.9%,32.4%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,25,L,C
,<a href=https://npb.jp/bis/eng/players/33135159.html>Mataki Teppei</a>,2,2,0,0,0,0,45,12.0,10,1,10,2,0,0,1,3,3,2.25,3.54,3.02,1.00,131,93,80,-1.29,2.2%,22.2%,4.4%,17.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,27,L,C
,<a href=https://npb.jp/bis/eng/players/01805152.html>Masui Shohta</a>,2,0,0,0,0,0,41,10.0,8,0,5,3,0,0,0,2,2,1.80,3.52,4.31,1.10,164,93,114,-1.72,0.0%,12.2%,7.3%,4.9%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,26,L,E
,<a href=https://npb.jp/bis/eng/players/77575159.html>Shimokawa Shunsuke</a>,3,1,1,0,0,0,51,12.2,9,1,9,5,0,1,0,3,3,2.13,4.65,4.02,1.11,139,122,107,-2.52,2.0%,17.6%,9.8%,7.8%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,26,R,E
,<a href=https://npb.jp/bis/eng/players/73175153.html>Matsukihira Yuta</a>,3,0,1,0,0,0,53,11.0,17,3,4,5,0,0,0,12,10,8.18,7.80,4.99,2.00,39,191,132,0.38,5.7%,7.5%,9.4%,-1.9%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,23,R,C
,<a href=https://npb.jp/bis/eng/players/33335157.html>Moriyama Akio</a>,2,1,0,0,0,0,47,12.0,12,1,7,0,0,0,0,6,6,4.50,3.54,3.31,1.00,70,87,88,0.96,2.1%,14.9%,0.0%,14.9%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,21,L,C
,<a href=https://npb.jp/bis/eng/players/41245157.html>Nakachi Reia</a>,2,2,0,0,0,0,47,11.2,8,1,7,7,0,0,0,1,1,0.77,5.34,4.80,1.29,411,131,127,-4.57,2.1%,14.9%,14.9%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,25,R,C
,<a href=https://npb.jp/bis/eng/players/31635110.html>Wakui Hideaki</a>,2,0,2,0,0,0,46,11.0,13,0,2,3,0,0,0,7,6,4.91,4.08,5.02,1.45,64,100,133,0.83,0.0%,4.3%,6.5%,-2.2%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,40,R,C
,<a href=https://npb.jp/bis/eng/players/63165159.html>Miyaguni Riku</a>,3,1,1,0,0,0,68,16.2,15,0,7,6,0,0,0,8,6,3.24,3.86,4.65,1.26,86,107,123,-0.62,0.0%,10.3%,8.8%,1.5%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,20,R,W
,<a href=https://npb.jp/bis/eng/players/61765153.html>Kawamura Tokito</a>,3,1,1,0,0,0,70,15.2,19,2,9,7,0,0,1,7,6,3.45,5.47,4.51,1.66,93,132,120,-2.02,2.9%,12.9%,10.0%,2.9%,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,29,R,E
