#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,<a href=https://npb.jp/bis/eng/players/81185157.html>Ibaragi Hidetoshi</a>,2,0,0,0,0,0,34,9.1,5,0,6,2,0,0,0,1,1,0.96,2.98,3.62,0.75,292,83,96,-2.02,0.0%,17.6%,5.9%,11.8%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,22,R,W
,<a href=https://npb.jp/bis/eng/players/71375150.html>Ihara Takato</a>,1,1,0,0,0,0,25,6.0,6,0,7,1,0,0,0,0,0,0.00,1.79,2.40,1.17,999,50,64,-1.79,0.0%,28.0%,4.0%,24.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,25,L,W
,<a href=https://npb.jp/bis/eng/players/01105159.html>Ishiguro Yuya</a>,1,0,0,0,0,0,6,2.0,0,0,3,0,0,0,0,0,0,0.00,0.62,-0.20,0.00,999,17,-5,-0.62,0.0%,50.0%,0.0%,50.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,25,R,W
,<a href=https://npb.jp/bis/eng/players/71375153.html>Itoh Masashi</a>,1,1,0,0,1,0,18,5.0,2,0,4,2,0,0,1,1,1,1.80,3.22,3.69,0.80,156,89,98,-1.42,0.0%,22.2%,11.1%,11.1%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,30,L,W
,<a href=https://npb.jp/bis/eng/players/51355139.html>Iwasada Yuta</a>,5,0,1,0,0,0,17,4.2,5,0,3,1,0,0,0,2,2,3.86,2.98,3.62,1.29,73,83,96,0.88,0.0%,17.6%,5.9%,11.8%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,34,L,W
,<a href=https://npb.jp/bis/eng/players/31935150.html>Kesamaru Yuki</a>,2,1,0,0,0,0,21,6.1,2,0,4,0,0,0,0,0,0,0.00,2.36,2.90,0.32,999,65,77,-2.36,0.0%,19.0%,0.0%,19.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,20,R,W
,<a href=https://npb.jp/bis/eng/players/81785150.html>Kudo Taisei</a>,3,1,0,0,0,0,14,4.0,1,0,6,2,0,0,0,0,0,0.00,2.12,1.94,0.75,999,59,52,-2.12,0.0%,42.9%,14.3%,28.6%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,24,R,W
,<a href=https://npb.jp/bis/eng/players/73975152.html>Lucas Easton</a>,1,0,1,0,0,0,21,3.2,6,0,4,3,0,1,0,4,3,7.36,4.71,4.32,2.45,38,131,115,2.65,0.0%,19.0%,14.3%,4.8%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,29,L,W
,<a href=https://npb.jp/bis/eng/players/13215159.html>Martinez Anthony</a>,3,0,0,0,0,0,14,4.0,1,0,0,2,0,0,0,1,1,2.25,5.12,6.23,0.75,124,142,165,-2.87,0.0%,0.0%,14.3%,-14.3%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,26,R,W
,<a href=https://npb.jp/bis/eng/players/93195159.html>Matsubara Kai</a>,2,0,0,0,0,0,11,2.0,1,0,1,1,0,2,0,2,0,0.00,7.12,4.80,1.00,999,197,127,-7.12,0.0%,9.1%,9.1%,0.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,26,R,W
,<a href=https://npb.jp/bis/eng/players/53355157.html>Mombetsu Keito</a>,2,1,0,0,0,0,18,5.0,3,1,6,0,0,0,0,1,1,1.80,3.82,1.47,0.60,156,106,39,-2.02,5.6%,33.3%,0.0%,33.3%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,21,L,W
