#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/71075138.html>Chikamoto Koji</a>,3,14,13,0,1,0,0,0,1,0,0,1,0,0,4,1,0,0,0,0.077,0.143,0.077,0.220,-35,0.000,0.111,28.6%,7.1%,0.25,-0.3,0.0%,28.6%,94.7%,43.3%,9.0%,35.7%,31,8,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/61065137.html>Fushimi Torai</a>,2,7,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.000,0.286,0.000,0.286,-9,0.000,0.000,0.0%,14.3%,1.00,-0.0,0.0%,0.0%,88.9%,37.5%,4.2%,14.3%,36,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91495138.html>Hamada Taiki</a>,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,100.0%,0.0%,0.00,0.0,,44.4%,60.0%,64.3%,42.9%,100.0%,25,,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/57955159.html>Hayakawa Daiki</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,20.0%,0.0%,0.0%,26,1,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71375153.html>Itoh Masashi</a>,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,786,1.000,1.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,16.7%,0.0%,0.0%,30,1,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/81185134.html>Itohara Kento</a>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,50.0%,100.0%,66.7%,33.3%,0.0%,33,,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31735138.html>Kinami Seiya</a>,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,507,0.000,1.000,0.0%,0.0%,,-0.0,0.0%,25.0%,100.0%,50.0%,0.0%,0.0%,32,,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/81585136.html>Kumagai Takahiro</a>,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,,100.0%,50.0%,0.0%,0.0%,30,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/43145157.html>Morishita Shota</a>,3,14,11,2,5,0,0,1,8,2,0,0,0,1,0,2,0,0,1,0.455,0.500,0.727,1.227,265,0.272,0.364,0.0%,14.3%,1.00,-0.0,33.3%,3.8%,100.0%,29.8%,0.0%,21.4%,25,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/13315153.html>Murakami Shoki</a>,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,50.0%,0.0%,0.0%,28,1,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/51455155.html>Nakagawa Hayato</a>,3,10,8,1,1,1,0,0,2,2,0,0,1,0,1,1,0,0,0,0.125,0.222,0.250,0.472,39,0.125,0.143,10.0%,10.0%,1.00,-0.0,0.0%,28.6%,60.0%,50.0%,12.5%,20.0%,22,7,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41445153.html>Nakano Takumu</a>,3,14,12,4,4,2,0,0,6,0,1,0,0,0,2,2,0,0,0,0.333,0.429,0.500,0.929,178,0.167,0.400,14.3%,14.3%,1.00,0.2,10.0%,15.2%,92.9%,31.1%,3.3%,28.6%,30,4,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31535138.html>Obata Ryuhei</a>,3,12,11,0,2,0,0,0,2,1,0,0,0,0,4,0,0,1,0,0.182,0.250,0.182,0.432,30,0.000,0.286,33.3%,0.0%,0.00,-0.0,14.3%,30.0%,64.7%,50.0%,21.7%,33.3%,25,6,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325134.html>Ohyama Yusuke</a>,3,12,7,0,1,0,0,0,1,1,0,0,0,1,0,3,0,1,0,0.143,0.417,0.143,0.560,74,0.000,0.125,0.0%,25.0%,1.00,-0.0,12.5%,8.7%,100.0%,31.0%,4.8%,25.0%,31,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/11915132.html>Sakamoto Seishiro</a>,2,5,4,2,3,0,1,0,5,3,1,0,0,0,0,1,0,0,0,0.750,0.800,1.250,2.050,510,0.500,0.750,0.0%,20.0%,1.00,0.2,25.0%,35.7%,80.0%,50.0%,10.0%,20.0%,32,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41045153.html>Sato Teruaki</a>,3,13,12,3,4,2,0,0,6,1,0,0,0,0,4,1,0,0,2,0.333,0.385,0.500,0.885,163,0.167,0.500,30.8%,7.7%,0.25,-0.0,37.5%,34.5%,72.2%,53.8%,23.1%,38.5%,27,5,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91095136.html>Takahashi Haruto</a>,1,4,3,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0.333,0.333,0.333,0.666,99,0.000,1.000,50.0%,0.0%,0.00,-0.0,0.0%,0.0%,100.0%,8.3%,0.0%,50.0%,30,1,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41245153.html>Takatera Nozomu</a>,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.000,1.000,0.000,1.000,228,0.000,,0.0%,100.0%,1.00,0.2,,20.0%,50.0%,42.9%,14.3%,100.0%,23,7,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31135133.html>Akiyama Shogo</a>,2,2,2,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,448,1.000,0.500,0.0%,0.0%,,0.0,0.0%,42.9%,100.0%,45.5%,9.1%,0.0%,38,,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/43745150.html>Fabian Sandro</a>,3,12,12,1,6,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0.500,0.500,0.500,1.000,188,0.000,0.600,16.7%,0.0%,0.00,-0.0,20.0%,47.8%,100.0%,51.2%,12.2%,16.7%,28,7,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
