Player,Team,Pos,Inn,TZR,POS Adj,RngR,DPR,ARM,ErrR,FRM,BLK
"東妻 純平",デ,LF,58.0,4.4,-0.6,4.1,,0.3,0.1,,
"皆川 岳飛",巨,RF,43.3,3.3,-0.2,0.8,,2.4,0.0,,
"アセベド",ロ,LF,25.7,3.0,-0.2,1.8,,1.2,0.0,,
"髙橋 隆慶",ソ,3B,65.3,2.9,-0.3,2.1,0.4,,0.4,,
"中島 卓也",日,2B,18.0,2.8,0.1,3.4,-0.2,,-0.4,,
"平沼 翔太",オ,RF,9.0,2.4,-0.0,2.0,,0.4,0.0,,
"モンテル",ヤ,CF,28.0,2.4,0.1,1.8,,0.5,0.0,,
"杉山 諒",ロ,CF,41.7,2.4,0.1,2.3,,0.0,0.0,,
"上原 裕樹",O,CF,66.3,2.3,0.2,2.7,,-0.4,0.0,,
"田内 真翔",デ,SS,27.0,2.1,0.2,1.4,0.1,,0.6,,
"森 敬斗",デ,CF,77.0,2.1,0.3,2.9,,-0.8,0.0,,
"仲村 来唯也",ハ,SS,61.0,2.0,0.5,0.8,0.6,,0.7,,
"矢野 雅哉",広,SS,41.0,2.0,0.3,0.9,0.3,,0.8,,
"宮下 朝陽",デ,2B,27.0,1.9,0.1,1.8,-0.1,,0.3,,
"繁永 晟",楽,2B,49.7,1.9,0.1,1.8,-0.3,,0.4,,
"岸川 和広",O,SS,40.0,1.8,0.3,0.9,0.0,,0.9,,
"平沢 大河",西,RF,26.3,1.8,-0.1,1.8,,-0.0,0.0,,
"園部 佳太",O,3B,32.0,1.7,-0.1,1.0,0.1,,0.6,,
"前田 銀治",楽,RF,6.7,1.7,-0.0,1.2,,0.5,0.0,,
"ロドリゲス",中,SS,9.0,1.7,0.1,0.8,0.5,,0.3,,
"末包 昇大",広,RF,40.7,1.6,-0.2,1.0,,0.6,0.0,,
"茶野 篤政",西,RF,18.0,1.6,-0.1,1.0,,0.6,0.0,,
"陽 岱鋼",O,RF,16.0,1.5,-0.1,1.5,,0.0,0.0,,
"和辻 大輝",ハ,2B,59.0,1.5,0.2,0.3,0.8,,0.4,,
"幌村 黛汰",楽,RF,13.0,1.5,-0.1,1.1,,0.4,0.0,,
"重松 凱人",ソ,CF,9.0,1.4,0.0,1.4,,0.0,0.0,,
"林 冠臣",西,LF,33.0,1.4,-0.3,1.3,,0.1,0.0,,
"平沢 大河",西,2B,27.0,1.4,0.1,1.5,-0.5,,0.3,,
"青野 拓海",楽,1B,34.0,1.4,-0.4,0.9,0.2,,0.2,,
"川田 悠慎",西,LF,9.0,1.4,-0.1,1.4,,0.0,0.0,,
"小針 大輝",デ,LF,8.0,1.4,-0.1,1.4,,0.0,0.0,,
"有薗 直輝",日,3B,81.0,1.3,-0.3,1.2,-0.3,,0.4,,
"並木 秀尊",ヤ,CF,34.3,1.3,0.1,1.5,,-0.2,0.0,,
"石見 颯真",ソ,2B,18.0,1.3,0.1,1.1,-0.0,,0.1,,
"西村 瑠伊斗",ヤ,LF,26.0,1.3,-0.3,1.2,,0.0,0.0,,
"山瀬 慎之助",巨,C,18.0,1.3,0.3,,,1.2,0.0,0.8,-0.1
"大塚 瑠晏",日,SS,48.0,1.2,0.4,0.4,-0.1,,0.9,,
"川原田 純平",巨,2B,16.3,1.2,0.0,1.0,0.1,,0.2,,
"上田 希由翔",ロ,2B,8.0,1.2,0.0,1.0,0.1,,0.1,,
"平尾 柊翔",ハ,RF,29.0,1.2,-0.1,1.5,,-0.3,0.0,,
"渡部 遼人",オ,LF,7.0,1.2,-0.1,1.2,,0.0,0.0,,
"鈴木 将平",ハ,CF,68.0,1.1,0.2,0.3,,0.8,0.0,,
"岡田 悠希",巨,LF,22.0,1.1,-0.2,0.7,,0.4,0.0,,
"漆原 幻汰",O,2B,41.0,1.1,0.1,0.6,0.2,,0.3,,
"山村 崇嘉",西,3B,12.0,1.1,-0.1,0.8,0.0,,0.3,,
"中村 貴浩",広,LF,12.7,1.1,-0.1,1.2,,-0.1,0.0,,
"中村 貴浩",広,RF,8.0,1.1,-0.0,1.0,,0.1,0.0,,
"岡田 悠希",巨,RF,10.0,1.1,-0.0,1.3,,-0.3,0.0,,
"荒巻 悠",巨,3B,16.7,1.1,-0.1,0.8,-0.0,,0.2,,
"花田 旭",中,CF,63.0,1.1,0.2,1.1,,-0.0,0.0,,
"増田 大輝",巨,2B,10.0,1.0,0.0,0.6,0.3,,0.1,,
"會澤 翼",広,C,26.0,1.0,0.4,,,1.2,-0.2,-1.1,0.1
"コンスエグラ",神,RF,27.0,1.0,-0.1,0.6,,0.4,0.0,,
"杉澤 龍",オ,CF,25.0,1.0,0.1,0.9,,0.1,0.0,,
"橋本 星哉",ヤ,RF,9.0,0.9,-0.0,0.9,,0.0,0.0,,
"関根 大気",デ,LF,18.0,0.9,-0.2,0.5,,0.4,0.0,,
"ラミレス",広,3B,59.7,0.9,-0.2,0.2,0.0,,0.7,,
"児玉 亮涼",西,3B,24.3,0.9,-0.1,0.6,0.0,,0.3,,
"石塚 綜一郎",ソ,1B,40.3,0.9,-0.5,1.2,0.2,,-0.4,,
"広瀬 結煌",ソ,SS,20.0,0.9,0.2,0.6,0.4,,-0.1,,
"田村 俊介",広,RF,18.0,0.9,-0.1,1.4,,-0.5,0.0,,
"武藤 敦貴",楽,RF,23.0,0.9,-0.1,0.8,,0.1,0.0,,
"小野寺 暖",神,CF,25.0,0.9,0.1,1.1,,-0.2,0.0,,
"寺本 聖一",オ,CF,12.0,0.9,0.0,0.1,,0.7,0.0,,
"西 純矢",神,RF,69.0,0.9,-0.3,0.1,,0.7,0.0,,
