Player,Team,Pos,Inn,TZR,POS Adj,RngR,DPR,ARM,ErrR,FRM,BLK
"周東 佑京",ソ,CF,27.0,2.3,0.1,2.2,,0.1,0.0,,
"藤原 恭大",ロ,RF,27.0,2.0,-0.1,2.1,,-0.1,0.0,,
"中野 拓夢",神,2B,26.0,1.9,0.1,1.6,0.1,,0.1,,
"平川 蓮",広,CF,25.0,1.6,0.1,0.1,,1.6,0.0,,
"サンタナ",ヤ,LF,19.0,1.6,-0.2,1.6,,0.0,0.0,,
"泉口 友汰",巨,SS,27.0,1.5,0.2,0.8,0.7,,0.1,,
"武岡 龍世",ヤ,3B,21.0,1.5,-0.1,1.2,-0.1,,0.4,,
"キャベッジ",巨,LF,26.0,1.2,-0.3,1.5,,-0.3,0.0,,
"坂本 勇人",巨,3B,27.0,1.1,-0.1,0.7,0.0,,0.4,,
"森下 翔太",神,RF,26.0,1.1,-0.1,1.3,,-0.2,0.0,,
"小幡 竜平",神,SS,26.0,1.1,0.2,0.7,0.3,,0.0,,
"カナリオ",西,RF,17.0,1.0,-0.1,1.0,,0.0,0.0,,
"友杉 篤輝",ロ,SS,15.0,1.0,0.1,0.9,0.0,,0.1,,
"増田 珠",ヤ,RF,8.0,1.0,-0.0,1.0,,0.0,0.0,,
"中島 大輔",楽,CF,8.0,0.9,0.0,0.2,,0.8,0.0,,
"近本 光司",神,CF,26.0,0.9,0.1,0.6,,0.3,0.0,,
"佐野 恵太",デ,LF,18.0,0.9,-0.2,0.6,,0.3,0.0,,
"小深田 大翔",楽,2B,14.0,0.8,0.0,0.8,0.0,,0.1,,
"西川 史礁",ロ,LF,24.0,0.8,-0.2,0.7,,0.1,0.0,,
"辰己 涼介",楽,CF,17.0,0.8,0.1,-0.3,,1.1,0.0,,
"栗原 陵矢",ソ,3B,27.0,0.8,-0.1,1.2,0.3,,-0.7,,
"小川 龍成",ロ,SS,12.0,0.7,0.1,0.7,0.0,,0.1,,
"柳町 達",ソ,RF,8.0,0.7,-0.0,0.7,,0.0,0.0,,
"ファビアン",広,LF,26.0,0.6,-0.3,0.9,,-0.3,0.0,,
"西野 真弘",オ,2B,6.0,0.6,0.0,0.6,0.0,,0.0,,
"山本 大斗",ロ,LF,3.0,0.6,-0.0,0.6,,0.0,0.0,,
"蝦名 達夫",デ,CF,27.0,0.6,0.1,0.7,,-0.1,0.0,,
"野村 佑希",日,LF,7.0,0.6,-0.1,0.9,,-0.3,0.0,,
"ダルベック",巨,1B,27.0,0.6,-0.3,0.6,0.0,,0.0,,
"サノー",中,1B,24.0,0.6,-0.3,0.6,0.0,,0.0,,
"紅林 弘太郎",オ,SS,24.0,0.5,0.2,0.4,0.0,,0.1,,
"浦田 俊輔",巨,2B,18.0,0.5,0.1,0.0,0.3,,0.1,,
"古賀 優大",ヤ,C,18.0,0.5,0.3,,,0.4,0.1,-0.3,0.1
"大山 悠輔",神,1B,24.0,0.5,-0.3,0.5,0.0,,0.0,,
"浅村 栄斗",楽,1B,23.0,0.4,-0.3,0.3,0.1,,0.0,,
"坂本 誠志郎",神,C,11.0,0.4,0.2,,,0.4,0.0,0.3,0.0
"福永 裕基",中,3B,25.7,0.4,-0.1,0.2,0.0,,0.2,,
"森 友哉",オ,C,9.0,0.4,0.1,,,0.4,0.0,-0.3,0.1
"滝澤 夏央",西,2B,9.0,0.4,0.0,0.2,0.1,,0.1,,
"中川 勇斗",神,LF,20.0,0.4,-0.2,0.6,,-0.2,0.0,,
"筒香 嘉智",デ,3B,7.0,0.4,-0.0,0.2,0.0,,0.2,,
"黒川 史陽",楽,3B,18.0,0.4,-0.1,0.2,0.0,,0.2,,
"大盛 穂",広,CF,3.0,0.4,0.0,0.4,,0.0,0.0,,
"川村 友斗",ソ,RF,1.0,0.3,0.0,0.3,,0.0,0.0,,
