Batter,Team,Bats,PA,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Mizutani Shun,Nipponham,R,15,33.33333333,0.0,33.33333333,50.84745763,70.96774194,28.57142857,70.0,81.81818182,37.5,15.25423729,30.0,30.50847458,55.93220339,44.44444444,33.33333333,22.22222222,33.33333333,0.0,55.55555556,6.666666667,33.33333333,33.33333333,33.33333333,33.33333333,0.0
Nagaoka Hideki,Yakult,L,15,20.0,20.0,0.0,33.89830508,46.15384615,24.24242424,80.0,100.0,50.0,6.779661017,20.0,30.50847458,52.54237288,33.33333333,55.55555556,11.11111111,55.55555556,0.0,66.66666667,0.0,0.0,33.33333333,44.44444444,22.22222222,11.11111111
Kondoh Kensuke,SoftBank,L,14,14.28571429,28.57142857,-14.28571429,32.72727273,60.71428571,3.703703704,88.88888889,88.23529412,100.0,3.636363636,11.11111111,23.63636364,43.63636364,25.0,75.0,0.0,62.5,12.5,75.0,7.142857143,16.66666667,50.0,25.0,25.0,37.5
Morishita Shota,Hanshin,R,14,0.0,14.28571429,-14.28571429,29.78723404,61.9047619,3.846153846,100.0,100.0,100.0,0.0,0.0,14.89361702,36.17021277,41.66666667,41.66666667,16.66666667,33.33333333,8.333333333,58.33333333,7.142857143,20.0,50.0,41.66666667,8.333333333,33.33333333
Nakano Takumu,Hanshin,L,14,14.28571429,14.28571429,0.0,31.14754098,50.0,15.15151515,89.47368421,92.85714286,80.0,3.278688525,10.52631579,26.2295082,47.54098361,70.0,0.0,30.0,0.0,0.0,30.0,0.0,,20.0,50.0,30.0,10.0
McCusker Carson,Rakuten,R,14,50.0,0.0,50.0,41.66666667,48.0,37.14285714,52.0,75.0,30.76923077,20.0,48.0,40.0,60.0,50.0,33.33333333,16.66666667,33.33333333,0.0,50.0,0.0,0.0,66.66666667,33.33333333,0.0,33.33333333
Chikamoto Koji,Hanshin,L,14,28.57142857,7.142857143,21.42857143,43.28358209,59.375,28.57142857,79.31034483,94.73684211,50.0,8.955223881,20.68965517,28.35820896,61.19402985,66.66666667,33.33333333,0.0,22.22222222,11.11111111,33.33333333,0.0,0.0,55.55555556,33.33333333,11.11111111,0.0
Shuto Ukyo,SoftBank,L,14,14.28571429,14.28571429,0.0,34.0,56.52173913,14.81481481,94.11764706,100.0,75.0,2.0,5.882352941,22.0,52.0,44.44444444,55.55555556,0.0,33.33333333,22.22222222,55.55555556,0.0,0.0,44.44444444,22.22222222,33.33333333,11.11111111
Yanagimachi Tatsuru,SoftBank,L,14,0.0,7.142857143,-7.142857143,38.59649123,58.62068966,17.85714286,86.36363636,88.23529412,80.0,5.263157895,13.63636364,22.80701754,52.63157895,41.66666667,50.0,8.333333333,50.0,0.0,58.33333333,0.0,0.0,41.66666667,50.0,8.333333333,15.38461538
Reyes Franmil,Nipponham,R,14,14.28571429,7.142857143,7.142857143,64.1509434,95.0,45.45454545,50.0,57.89473684,40.0,32.0754717,50.0,33.96226415,60.37735849,40.0,50.0,10.0,40.0,10.0,60.0,0.0,0.0,40.0,50.0,10.0,10.0
Mune Yuma,ORIX,L,14,21.42857143,21.42857143,0.0,41.93548387,60.71428571,26.47058824,73.07692308,88.23529412,44.44444444,11.29032258,26.92307692,29.03225806,56.4516129,33.33333333,33.33333333,33.33333333,33.33333333,0.0,66.66666667,0.0,0.0,16.66666667,66.66666667,16.66666667,0.0
Osuna Jose,Yakult,R,14,7.142857143,14.28571429,-7.142857143,37.5,65.38461538,13.33333333,90.47619048,94.11764706,75.0,3.571428571,9.523809524,19.64285714,51.78571429,63.63636364,27.27272727,9.090909091,9.090909091,18.18181818,36.36363636,0.0,0.0,45.45454545,27.27272727,27.27272727,9.090909091
Kiyomiya Kotaro,Nipponham,L,14,28.57142857,0.0,28.57142857,53.48837209,73.91304348,30.0,56.52173913,64.70588235,33.33333333,23.25581395,43.47826087,37.20930233,55.81395349,44.44444444,55.55555556,0.0,55.55555556,0.0,55.55555556,14.28571429,40.0,66.66666667,11.11111111,22.22222222,33.33333333
Hirakawa Ren,Hiroshima,R,13,30.76923077,7.692307692,23.07692308,56.25,81.25,43.75,66.66666667,92.30769231,42.85714286,18.75,33.33333333,25.0,58.33333333,62.5,37.5,0.0,0.0,37.5,37.5,0.0,0.0,50.0,25.0,25.0,12.5
Sano Keita,DeNA,L,13,15.38461538,7.692307692,7.692307692,40.32258065,55.17241379,27.27272727,84.0,93.75,66.66666667,6.451612903,16.0,27.41935484,56.4516129,40.0,60.0,0.0,40.0,20.0,60.0,0.0,0.0,50.0,50.0,0.0,10.0
Maki Shugo,DeNA,R,13,7.692307692,0.0,7.692307692,44.18604651,54.16666667,31.57894737,89.47368421,100.0,66.66666667,4.651162791,10.52631579,30.23255814,55.81395349,41.66666667,41.66666667,16.66666667,25.0,16.66666667,58.33333333,7.692307692,20.0,33.33333333,66.66666667,0.0,25.0
Takabe Akito,Lotte,L,13,23.07692308,7.692307692,15.38461538,50.0,63.63636364,37.5,82.60869565,78.57142857,88.88888889,8.695652174,17.39130435,26.08695652,58.69565217,55.55555556,44.44444444,0.0,33.33333333,11.11111111,44.44444444,0.0,0.0,44.44444444,22.22222222,33.33333333,11.11111111
Hirooka Taishi,ORIX,R,13,46.15384615,7.692307692,38.46153846,44.44444444,60.0,30.0,58.33333333,80.0,22.22222222,18.51851852,41.66666667,37.03703704,55.55555556,50.0,50.0,0.0,33.33333333,16.66666667,50.0,0.0,0.0,33.33333333,16.66666667,50.0,16.66666667
Yanagita Yuki,SoftBank,L,13,30.76923077,0.0,30.76923077,58.0,80.0,25.0,75.86206897,83.33333333,40.0,14.0,24.13793103,26.0,62.0,55.55555556,44.44444444,0.0,33.33333333,11.11111111,44.44444444,0.0,0.0,44.44444444,55.55555556,0.0,22.22222222
Hummel Cooper,DeNA,R,13,38.46153846,30.76923077,7.692307692,29.41176471,50.0,20.0,46.66666667,75.0,14.28571429,15.68627451,53.33333333,31.37254902,43.1372549,0.0,75.0,25.0,50.0,25.0,100.0,0.0,0.0,75.0,0.0,25.0,75.0
Ohta Ryo,ORIX,R,13,15.38461538,38.46153846,-23.07692308,34.48275862,65.2173913,14.28571429,65.0,73.33333333,40.0,12.06896552,35.0,25.86206897,43.10344828,50.0,50.0,0.0,33.33333333,16.66666667,50.0,0.0,0.0,16.66666667,50.0,33.33333333,16.66666667
Mannami Chusei,Nipponham,R,13,23.07692308,7.692307692,15.38461538,50.0,68.18181818,34.61538462,66.66666667,93.33333333,22.22222222,16.66666667,33.33333333,31.25,56.25,33.33333333,66.66666667,0.0,55.55555556,11.11111111,66.66666667,15.38461538,33.33333333,33.33333333,22.22222222,44.44444444,11.11111111
Kozono Kaito,Hiroshima,L,13,15.38461538,15.38461538,0.0,39.58333333,50.0,32.14285714,78.94736842,80.0,77.77777778,8.333333333,21.05263158,29.16666667,56.25,55.55555556,33.33333333,11.11111111,22.22222222,11.11111111,44.44444444,0.0,0.0,22.22222222,44.44444444,33.33333333,11.11111111
Fukunaga Hiroki,Chunichi,R,13,15.38461538,0.0,15.38461538,48.8372093,59.09090909,38.0952381,85.71428571,92.30769231,75.0,6.976744186,14.28571429,27.90697674,60.46511628,63.63636364,27.27272727,9.090909091,27.27272727,0.0,36.36363636,0.0,0.0,36.36363636,36.36363636,27.27272727,18.18181818
