Batter,Team,Bats,PA,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,sHPT,sST,sSeager,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Chikamoto Koji,Hanshin,L,72,16.66666667,12.5,4.166666667,36.03896104,55.40540541,18.125,82.88288288,92.68292683,55.17241379,6.168831169,17.11711712,27.27272727,33.50253807,61.50234742,27.99980935,52.27272727,54.90196078,41.17647059,3.921568627,37.25490196,3.921568627,45.09803922,0.0,0.0,49.01960784,25.49019608,25.49019608,9.803921569
Nakano Takumu,Hanshin,L,72,18.05555556,4.166666667,13.88888889,39.78873239,53.69127517,24.44444444,85.84070796,92.5,69.6969697,5.633802817,14.15929204,28.87323944,40.35087719,56.04395604,15.69307885,57.3943662,60.0,27.27272727,12.72727273,20.0,7.272727273,40.0,0.0,0.0,14.54545455,49.09090909,36.36363636,1.785714286
Morishita Shota,Hanshin,R,71,15.49295775,9.85915493,5.633802817,37.74834437,60.50955414,13.10344828,84.21052632,89.47368421,57.89473684,5.960264901,15.78947368,26.1589404,32.9787234,57.01357466,24.03485126,51.65562914,38.46153846,50.0,11.53846154,38.46153846,11.53846154,61.53846154,8.450704225,23.07692308,38.46153846,40.38461538,21.15384615,20.75471698
Kuwahara Masayuki,Seibu,R,70,7.142857143,7.142857143,0.0,42.73858921,66.11570248,19.16666667,87.37864078,92.5,69.56521739,5.394190871,12.62135922,22.406639,29.71014493,54.80225989,25.09211496,51.45228216,43.10344828,44.82758621,12.06896552,36.20689655,8.620689655,56.89655172,1.428571429,3.846153846,46.55172414,34.48275862,18.96551724,20.68965517
Kondoh Kensuke,SoftBank,L,70,12.85714286,17.14285714,-4.285714286,36.95652174,59.72222222,12.12121212,87.25490196,91.86046512,62.5,4.710144928,12.74509804,25.36231884,33.33333333,57.42574257,24.09240924,52.17391304,40.42553191,51.06382979,8.510638298,42.55319149,8.510638298,59.57446809,7.142857143,20.83333333,44.68085106,25.53191489,29.78723404,19.14893617
Nishikawa Misho,Lotte,R,68,20.58823529,4.411764706,16.17647059,50.50847458,69.87179487,28.77697842,76.51006711,86.23853211,50.0,11.86440678,23.48993289,27.79661017,32.19178082,47.59615385,15.40437302,60.0,54.16666667,39.58333333,6.25,35.41666667,4.166666667,45.83333333,0.0,0.0,31.25,39.58333333,29.16666667,12.24489796
Sato Teruaki,Hanshin,L,68,23.52941176,10.29411765,13.23529412,49.60629921,73.8317757,31.75675676,71.42857143,84.81012658,48.93617021,14.17322835,28.57142857,24.80314961,21.70542636,56.11111111,34.40568475,50.78740157,34.09090909,54.54545455,11.36363636,50.0,4.545454545,65.90909091,4.411764706,12.5,31.81818182,43.18181818,25.0,20.0
Fujiwara Kyota,Lotte,L,68,19.11764706,10.29411765,8.823529412,42.5170068,56.95364238,27.27272727,78.4,90.69767442,51.28205128,9.183673469,21.6,30.95238095,38.46153846,54.73684211,16.27530364,58.84353741,50.0,41.30434783,8.695652174,34.7826087,6.52173913,50.0,1.470588235,5.263157895,43.47826087,43.47826087,13.04347826,19.56521739
Kurihara Ryoya,SoftBank,L,67,19.40298507,10.44776119,8.955223881,39.62264151,62.59541985,17.1641791,79.04761905,89.02439024,43.47826087,8.301886792,20.95238095,26.41509434,30.625,57.51295337,26.88795337,50.56603774,44.68085106,46.80851064,8.510638298,42.55319149,4.255319149,55.31914894,2.985074627,9.090909091,42.55319149,40.42553191,17.0212766,14.89361702
Mune Yuma,ORIX,L,67,16.41791045,16.41791045,0.0,39.86254296,62.23776224,18.24324324,79.31034483,88.76404494,48.14814815,8.24742268,20.68965517,26.4604811,30.85714286,57.61904762,26.76190476,52.9209622,39.53488372,46.51162791,13.95348837,39.53488372,6.976744186,60.46511628,4.47761194,15.0,32.55813953,44.18604651,23.25581395,16.66666667
Nagaoka Hideki,Yakult,L,66,13.63636364,7.575757576,6.060606061,39.78494624,54.67625899,25.0,86.48648649,93.42105263,71.42857143,5.376344086,13.51351351,27.59856631,37.5,58.01104972,20.51104972,56.27240143,54.90196078,35.29411765,9.803921569,27.45098039,7.843137255,45.09803922,0.0,0.0,47.05882353,33.33333333,19.60784314,17.30769231
Ohyama Yusuke,Hanshin,R,66,9.090909091,13.63636364,-4.545454545,41.51624549,63.30935252,19.56521739,80.86956522,86.36363636,62.96296296,7.942238267,19.13043478,25.99277978,31.48148148,55.77889447,24.29741299,54.51263538,38.0,52.0,10.0,40.0,12.0,62.0,1.515151515,3.846153846,40.0,38.0,22.0,20.0
Kiyomiya Kotaro,Nipponham,L,66,25.75757576,6.060606061,19.6969697,45.27559055,65.2892562,27.06766917,67.82608696,82.27848101,36.11111111,14.56692913,32.17391304,31.1023622,30.21582734,55.11363636,24.89780903,54.33070866,40.47619048,45.23809524,14.28571429,38.0952381,7.142857143,59.52380952,7.575757576,26.31578947,47.61904762,35.71428571,16.66666667,21.42857143
Watanabe Seiya,Seibu,R,66,13.63636364,9.090909091,4.545454545,47.65625,66.40625,28.90625,83.60655738,92.94117647,62.16216216,7.8125,16.39344262,24.609375,32.08955224,51.70454545,19.61499322,57.8125,70.58823529,25.49019608,3.921568627,19.60784314,5.882352941,29.41176471,3.03030303,15.38461538,43.1372549,35.29411765,21.56862745,13.7254902
Fukunaga Hiroki,Chunichi,R,65,12.30769231,7.692307692,4.615384615,49.11504425,63.63636364,35.04273504,80.18018018,87.14285714,68.29268293,9.734513274,19.81981982,27.43362832,34.48275862,52.05479452,17.5720359,57.96460177,57.14285714,32.65306122,10.20408163,28.57142857,4.081632653,42.85714286,1.538461538,6.25,30.6122449,40.81632653,28.57142857,10.0
Yanagimachi Tatsuru,SoftBank,L,64,12.5,12.5,0.0,35.90733591,56.25,16.03053435,80.64516129,87.5,57.14285714,6.94980695,19.35483871,27.41312741,33.73493976,60.43956044,26.70462068,51.73745174,44.68085106,44.68085106,10.63829787,42.55319149,2.127659574,55.31914894,0.0,0.0,27.65957447,51.06382979,21.27659574,12.5
Terachi Ryusei,Lotte,L,64,20.3125,9.375,10.9375,47.90874525,66.66666667,29.85074627,77.77777778,87.20930233,57.5,10.64638783,22.22222222,26.23574144,31.38686131,52.22222222,20.83536091,57.41444867,42.22222222,42.22222222,15.55555556,40.0,2.222222222,57.77777778,3.125,10.52631579,26.66666667,40.0,33.33333333,13.33333333
Gunji Yuya,Nipponham,R,64,12.5,10.9375,1.5625,46.12546125,64.78873239,25.58139535,87.2,91.30434783,75.75757576,5.904059041,12.8,24.35424354,34.24657534,51.06382979,16.81725444,59.04059041,55.31914894,38.29787234,6.382978723,29.78723404,8.510638298,44.68085106,3.125,11.11111111,23.40425532,53.19148936,23.40425532,4.166666667
Kurokawa Fumiya,Rakuten,L,64,15.625,14.0625,1.5625,41.56862745,59.25925926,21.66666667,81.13207547,88.75,57.69230769,7.843137255,18.86792453,29.41176471,36.91275168,54.02298851,17.11023683,56.8627451,37.20930233,51.1627907,11.62790698,41.86046512,9.302325581,62.79069767,1.5625,4.545454545,37.20930233,46.51162791,16.27906977,20.45454545
Yamakawa Hotaka,SoftBank,R,63,22.22222222,12.6984127,9.523809524,46.2745098,73.14814815,26.53061224,61.86440678,79.74683544,25.64102564,17.64705882,38.13559322,29.01960784,21.16788321,57.7540107,36.58612748,52.54901961,42.10526316,55.26315789,2.631578947,39.47368421,15.78947368,57.89473684,6.349206349,19.04761905,65.78947368,26.31578947,7.894736842,36.84210526
Mannami Chusei,Nipponham,R,63,22.22222222,11.11111111,11.11111111,43.62934363,66.39344262,23.1884058,76.99115044,82.71604938,62.5,10.03861004,23.00884956,26.25482625,27.89115646,56.68449198,28.79333552,54.05405405,32.43243243,59.45945946,8.108108108,56.75675676,2.702702703,67.56756757,7.936507937,22.72727273,32.43243243,40.54054054,27.02702703,15.78947368
Nishikawa Ryoma,ORIX,L,62,11.29032258,4.838709677,6.451612903,49.54545455,66.07142857,32.40740741,80.73394495,89.18918919,62.85714286,9.545454545,19.26605505,26.36363636,34.23423423,49.65986395,15.42562971,58.18181818,59.61538462,32.69230769,7.692307692,28.84615385,3.846153846,40.38461538,1.612903226,5.882352941,42.30769231,36.53846154,21.15384615,17.30769231
Osuna Jose,Yakult,R,62,17.74193548,9.677419355,8.064516129,42.44897959,58.18181818,29.62962963,75.96153846,89.0625,55.0,10.20408163,24.03846154,28.97959184,32.62411348,59.74842767,27.1243142,55.91836735,57.14285714,35.71428571,7.142857143,19.04761905,16.66666667,42.85714286,1.612903226,6.666666667,42.85714286,38.0952381,19.04761905,11.11111111
Yanagita Yuki,SoftBank,L,61,24.59016393,1.639344262,22.95081967,56.01659751,79.16666667,33.05785124,69.62962963,83.15789474,37.5,17.01244813,30.37037037,27.38589212,23.58490566,46.02272727,22.43782161,59.75103734,38.63636364,45.45454545,15.90909091,36.36363636,9.090909091,61.36363636,3.278688525,10.0,40.90909091,45.45454545,13.63636364,18.18181818
Izuguchi Yuta,Yomiuri,L,61,16.39344262,9.836065574,6.557377049,39.81900452,62.28070175,15.88785047,90.90909091,97.18309859,64.70588235,3.619909502,9.090909091,23.07692308,32.33082707,55.90062112,23.56979405,52.0361991,40.0,51.11111111,8.888888889,35.55555556,15.55555556,60.0,4.918032787,13.04347826,48.88888889,31.11111111,20.0,26.66666667
Tanaka Mikiya,Chunichi,R,61,9.836065574,3.278688525,6.557377049,42.66666667,57.5,25.71428571,87.5,91.30434783,77.77777778,5.333333333,12.5,26.66666667,39.53488372,53.06122449,13.52634077,61.77777778,47.05882353,41.17647059,11.76470588,27.45098039,13.7254902,52.94117647,0.0,0.0,33.33333333,45.09803922,21.56862745,15.38461538
Maki Shugo,DeNA,R,61,16.39344262,13.1147541,3.278688525,41.015625,57.72357724,25.56390977,80.95238095,91.54929577,58.82352941,7.8125,19.04761905,27.734375,34.43708609,58.23529412,23.79820802,54.6875,46.34146341,46.34146341,7.317073171,29.26829268,17.07317073,53.65853659,1.639344262,5.263157895,48.7804878,43.90243902,7.317073171,21.42857143
Hosokawa Seiya,Chunichi,R,61,27.86885246,9.836065574,18.03278689,45.76271186,62.3853211,31.00775194,73.14814815,80.88235294,60.0,12.28813559,26.85185185,29.23728814,31.53846154,56.68789809,25.14943655,54.66101695,37.83783784,59.45945946,2.702702703,48.64864865,10.81081081,62.16216216,3.278688525,9.090909091,35.13513514,35.13513514,29.72972973,18.91891892
Ohta Ryo,ORIX,R,61,14.75409836,13.1147541,1.639344262,50.0,78.51239669,25.17985612,73.07692308,81.05263158,51.42857143,13.46153846,26.92307692,23.46153846,20.0,52.26130653,32.26130653,53.84615385,54.54545455,38.63636364,6.818181818,25.0,13.63636364,45.45454545,1.639344262,5.882352941,36.36363636,47.72727273,15.90909091,13.63636364
Santana Domingo,Yakult,R,60,28.33333333,16.66666667,11.66666667,46.64179104,69.23076923,25.36231884,69.6,75.55555556,54.28571429,14.17910448,30.4,29.10447761,27.97202797,53.36787565,25.39584768,56.34328358,45.45454545,39.39393939,15.15151515,39.39393939,0.0,54.54545455,6.666666667,30.76923077,45.45454545,36.36363636,18.18181818,24.24242424
Sano Keita,DeNA,L,60,11.66666667,5.0,6.666666667,42.48927039,55.26315789,30.25210084,79.7979798,90.47619048,61.11111111,8.583690987,20.2020202,30.472103,38.05970149,56.84931507,18.78961358,57.08154506,46.93877551,44.89795918,8.163265306,38.7755102,6.12244898,53.06122449,1.666666667,4.545454545,42.85714286,42.85714286,14.28571429,12.0
Soto Neftali,Lotte,R,60,20.0,8.333333333,11.66666667,45.0,64.95726496,26.01626016,75.0,81.57894737,59.375,11.25,25.0,28.33333333,31.06060606,54.49101796,23.4304119,56.66666667,35.71428571,57.14285714,7.142857143,45.23809524,11.9047619,64.28571429,3.333333333,8.333333333,28.57142857,42.85714286,28.57142857,19.04761905
Makihara Taisei,SoftBank,L,59,15.25423729,5.084745763,10.16949153,46.63461538,66.33663366,28.03738318,76.28865979,94.02985075,36.66666667,11.05769231,23.71134021,26.92307692,30.63063063,53.47222222,22.84159159,55.76923077,47.82608696,39.13043478,13.04347826,30.43478261,8.695652174,52.17391304,0.0,0.0,39.13043478,41.30434783,19.56521739,19.56521739
Iwata Yukihiro,Yakult,L,59,22.03389831,3.389830508,18.6440678,50.62761506,64.0625,35.13513514,81.81818182,87.80487805,69.23076923,9.205020921,18.18181818,28.45188285,38.98305085,46.75324675,7.770195906,63.17991632,75.0,20.0,5.0,7.5,12.5,25.0,0.0,0.0,27.5,40.0,32.5,2.325581395
Cabbage Trey,Yomiuri,L,59,30.50847458,0.0,30.50847458,60.28037383,82.65306122,41.37931034,61.24031008,80.24691358,29.16666667,23.36448598,38.75968992,31.30841121,20.0,45.63758389,25.63758389,59.34579439,31.70731707,48.7804878,19.51219512,43.90243902,4.87804878,68.29268293,5.084745763,15.0,36.58536585,39.02439024,24.3902439,24.3902439
Tatsumi Ryosuke,Rakuten,L,58,13.79310345,13.79310345,0.0,43.58974359,75.28089888,16.98113208,80.0,86.56716418,55.55555556,8.717948718,20.0,20.0,20.0,56.77419355,36.77419355,44.61538462,67.5,27.5,5.0,20.0,7.5,32.5,1.724137931,9.090909091,32.5,52.5,15.0,4.87804878
Muramatsu Kaito,Chunichi,L,58,15.51724138,12.06896552,3.448275862,44.39834025,63.55932203,25.80645161,77.57009346,90.66666667,46.875,9.958506224,22.42990654,27.38589212,31.85185185,55.08982036,23.23796851,56.43153527,53.65853659,34.14634146,12.19512195,34.14634146,0.0,46.34146341,0.0,0.0,31.70731707,53.65853659,14.63414634,14.63414634
Murabayashi Itsuki,Rakuten,R,57,21.05263158,1.754385965,19.29824561,48.32535885,62.60869565,30.85106383,81.18811881,88.88888889,62.06896552,9.090909091,18.81188119,28.70813397,39.81481481,47.44525547,7.63044066,62.67942584,70.45454545,20.45454545,9.090909091,20.45454545,0.0,29.54545455,1.754385965,11.11111111,27.27272727,45.45454545,27.27272727,9.090909091
Dalbec Bobby,Yomiuri,R,56,35.71428571,12.5,23.21428571,44.0,63.49206349,24.19354839,70.0,77.5,50.0,13.2,30.0,31.6,32.85714286,54.02298851,21.16584565,58.4,46.42857143,35.71428571,17.85714286,28.57142857,7.142857143,53.57142857,3.571428571,20.0,35.71428571,46.42857143,17.85714286,17.85714286
Kurebayashi Kotaro,ORIX,R,55,9.090909091,3.636363636,5.454545455,51.24378109,67.67676768,35.29411765,74.75728155,79.10447761,66.66666667,12.93532338,25.24271845,28.35820896,32.65306122,49.62406015,16.97099893,61.19402985,35.41666667,52.08333333,12.5,39.58333333,12.5,64.58333333,1.818181818,4.0,35.41666667,45.83333333,18.75,14.58333333
Shuto Ukyo,SoftBank,L,55,14.54545455,9.090909091,5.454545455,41.39534884,60.34482759,19.19191919,85.39325843,87.14285714,78.94736842,6.046511628,14.60674157,26.51162791,36.50793651,53.33333333,16.82539683,57.20930233,53.65853659,43.90243902,2.43902439,34.14634146,9.756097561,46.34146341,1.818181818,5.555555556,41.46341463,29.26829268,29.26829268,17.07317073
Lin An-Ko,Seibu,L,54,22.22222222,5.555555556,16.66666667,45.67307692,64.64646465,28.44036697,75.78947368,85.9375,54.83870968,11.05769231,24.21052632,27.88461538,30.97345133,54.92957746,23.95612614,56.73076923,36.11111111,55.55555556,8.333333333,41.66666667,13.88888889,63.88888889,1.851851852,5.0,38.88888889,36.11111111,25.0,24.32432432
Sasaki Tai,Hiroshima,R,54,14.81481481,3.703703704,11.11111111,49.23857868,63.73626374,36.79245283,84.53608247,93.10344828,71.79487179,7.614213198,15.46391753,24.87309645,33.0,53.6,20.6,60.91370558,44.18604651,46.51162791,9.302325581,25.58139535,20.93023256,55.81395349,1.851851852,5.0,41.86046512,44.18604651,13.95348837,20.93023256
