Pitcher,Team,Throws,IP,TBF,FB Velo,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,Strike%,Ball%,F-Str%,PAR%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%,Zone%,Arm%,Glove%,High%,Low%,MM%,Behind%,Sec%
Kuri Allen,ORIX,R,9.0,31,88.8,38.70967742,0.0,38.70967742,43.18181818,62.5,25.0,68.42105263,77.5,47.05882353,13.63636364,31.57894737,31.81818182,62.12121212,37.87878788,70.96774194,32.43243243,58.33333333,33.33333333,66.66666667,0.0,50.0,16.66666667,66.66666667,0.0,0.0,61.11111111,27.77777778,11.11111111,33.33333333,48.48484848,53.03030303,46.96969697,43.93939394,56.06060606,1.515151515,10.60606061,62.12121212
Kuribayashi Ryoji,Hiroshima,R,9.0,28,90.1,32.14285714,0.0,32.14285714,49.47368421,54.90196078,43.18181818,74.46808511,82.14285714,63.15789474,12.63157895,25.53191489,36.84210526,73.68421053,26.31578947,75.0,36.0,72.63157895,31.57894737,57.89473684,10.52631579,42.10526316,15.78947368,68.42105263,0.0,0.0,26.31578947,52.63157895,21.05263158,21.05263158,53.68421053,48.42105263,51.57894737,57.89473684,42.10526316,9.473684211,6.315789474,50.52631579
Takahashi Haruto,Hanshin,L,9.0,32,91.9,18.75,6.25,12.5,50.89285714,68.33333333,30.76923077,75.43859649,78.04878049,68.75,12.5,24.56140351,29.46428571,67.85714286,32.14285714,65.625,19.35483871,65.17857143,54.16666667,29.16666667,16.66666667,25.0,4.166666667,45.83333333,0.0,0.0,37.5,37.5,25.0,4.166666667,53.57142857,41.07142857,58.92857143,38.39285714,61.60714286,5.357142857,8.928571429,24.10714286
Taira Kaima,Seibu,R,9.0,35,95.0,14.28571429,5.71428571,8.57142857,47.89915966,62.29508197,32.75862069,80.70175439,92.10526316,57.89473684,9.243697479,19.29824561,28.57142857,68.06722689,31.93277311,71.42857143,18.51851852,63.02521008,44.44444444,48.14814815,7.407407407,40.74074074,7.407407407,55.55555556,0.0,0.0,44.44444444,33.33333333,22.22222222,14.81481481,51.2605042,59.66386555,40.33613445,48.7394958,51.2605042,1.680672269,10.92436975,33.61344538
Shoji Kosei,Rakuten,R,8.0,28,93.9,32.14285714,0.0,32.14285714,55.23809524,64.70588235,46.2962963,67.24137931,90.90909091,36.0,18.0952381,32.75862069,35.23809524,72.38095238,27.61904762,67.85714286,24.32432432,68.57142857,42.10526316,47.36842105,10.52631579,26.31578947,21.05263158,57.89473684,0.0,0.0,47.36842105,36.84210526,15.78947368,15.78947368,48.57142857,54.28571429,45.71428571,44.76190476,55.23809524,5.714285714,4.761904762,41.9047619
Takahashi Hiroto,Chunichi,R,7.666666667,31,94.1,29.03225806,0.0,29.03225806,52.42718447,55.55555556,50.0,64.81481481,80.0,55.88235294,18.44660194,35.18518519,33.00970874,67.96116505,32.03883495,73.33333333,34.61538462,61.16504854,76.19047619,23.80952381,0.0,14.28571429,9.523809524,23.80952381,0.0,0.0,33.33333333,33.33333333,33.33333333,4.761904762,34.95145631,32.69230769,67.30769231,35.57692308,64.42307692,5.769230769,8.653846154,33.98058252
Ishida Yutaro,DeNA,R,7.0,29,91.0,31.03448276,3.44827586,27.5862069,42.7184466,57.89473684,23.91304348,68.18181818,69.6969697,63.63636364,13.59223301,31.81818182,36.89320388,66.01941748,33.98058252,79.31034483,28.125,59.22330097,57.89473684,36.84210526,5.263157895,21.05263158,15.78947368,42.10526316,0.0,0.0,47.36842105,26.31578947,26.31578947,10.52631579,55.33980583,38.83495146,61.16504854,33.98058252,66.01941748,3.883495146,6.796116505,44.66019417
Watanabe Yutaro,Seibu,R,7.0,28,92.1,21.42857143,7.14285714,14.28571429,50.89285714,67.69230769,27.65957447,82.45614035,84.09090909,76.92307692,8.928571429,17.54385965,27.67857143,69.64285714,30.35714286,60.71428571,16.66666667,64.28571429,60.0,35.0,5.0,30.0,5.0,40.0,0.0,0.0,40.0,40.0,20.0,10.0,58.03571429,65.17857143,34.82142857,51.78571429,48.21428571,6.25,8.035714286,37.5
Sakurai Yorinosuke,Chunichi,R,7.0,27,91.1,33.33333333,7.40740741,25.92592593,46.53465347,59.09090909,36.84210526,70.21276596,92.30769231,42.85714286,13.86138614,29.78723404,30.69306931,64.35643564,35.64356436,51.85185185,39.13043478,60.3960396,31.25,56.25,12.5,18.75,37.5,68.75,0.0,0.0,25.0,43.75,31.25,13.33333333,43.56435644,56.43564356,43.56435644,43.56435644,56.43564356,1.98019802,11.88118812,39.6039604
Yamano Taichi,Yakult,L,7.0,29,91.1,13.79310345,3.44827586,10.34482759,42.57425743,56.36363636,26.08695652,79.06976744,90.32258065,50.0,8.910891089,20.93023256,32.67326733,66.33663366,33.66336634,58.62068966,16.66666667,58.41584158,50.0,33.33333333,16.66666667,25.0,8.333333333,50.0,0.0,0.0,45.83333333,25.0,29.16666667,29.16666667,54.45544554,44.55445545,55.44554455,42.57425743,57.42574257,6.930693069,9.900990099,38.61386139
Tarnok Freddy,Hiroshima,R,6.666666667,25,93.1,28.0,0.0,28.0,48.93617021,60.0,29.41176471,82.60869565,88.88888889,60.0,8.510638298,17.39130435,34.04255319,74.46808511,25.53191489,76.0,21.21212121,69.14893617,72.22222222,22.22222222,5.555555556,16.66666667,5.555555556,27.77777778,0.0,0.0,22.22222222,61.11111111,16.66666667,0.0,63.82978723,59.57446809,40.42553191,56.38297872,43.61702128,6.382978723,3.191489362,23.40425532
Howard Spencer,Yomiuri,R,6.0,25,91.7,28.0,16.0,12.0,40.20618557,66.66666667,10.86956522,69.23076923,73.52941176,40.0,12.37113402,30.76923077,27.83505155,57.73195876,42.26804124,44.0,35.0,53.60824742,35.71428571,50.0,14.28571429,50.0,0.0,64.28571429,0.0,0.0,42.85714286,42.85714286,14.28571429,21.42857143,52.57731959,43.29896907,56.70103093,28.86597938,71.13402062,7.216494845,19.58762887,49.48453608
Takanashi Hirotoshi,Yakult,R,6.0,25,91.1,24.0,8.0,16.0,44.79166667,48.8372093,41.50943396,79.06976744,100.0,59.09090909,9.375,20.93023256,32.29166667,67.70833333,32.29166667,68.0,21.42857143,62.5,35.29411765,64.70588235,0.0,47.05882353,17.64705882,64.70588235,4.0,9.090909091,41.17647059,47.05882353,11.76470588,17.64705882,44.79166667,56.25,43.75,54.16666667,45.83333333,6.25,7.291666667,46.875
Murakami Shoki,Hanshin,R,6.0,23,91.5,30.43478261,8.69565217,21.73913043,48.51485149,59.09090909,40.35087719,73.46938776,88.46153846,56.52173913,12.87128713,26.53061224,30.69306931,66.33663366,33.66336634,47.82608696,17.5,61.38613861,42.85714286,50.0,7.142857143,42.85714286,7.142857143,57.14285714,8.695652174,28.57142857,35.71428571,50.0,14.28571429,14.28571429,43.56435644,52.47524752,47.52475248,39.6039604,60.3960396,2.97029703,6.930693069,23.76237624
Takemaru Kazuyuki,Yomiuri,L,6.0,22,91.0,22.72727273,9.09090909,13.63636364,43.03797468,52.94117647,35.55555556,64.70588235,88.88888889,37.5,15.18987342,35.29411765,34.17721519,64.55696203,35.44303797,77.27272727,18.51851852,60.75949367,53.33333333,26.66666667,20.0,20.0,6.666666667,46.66666667,0.0,0.0,40.0,46.66666667,13.33333333,20.0,43.03797468,39.24050633,60.75949367,40.50632911,59.49367089,5.063291139,8.860759494,44.30379747
Azuma Katsuki,DeNA,L,6.0,26,88.2,26.92307692,15.38461538,11.53846154,40.0,55.76923077,22.91666667,75.0,93.10344828,27.27272727,10.0,25.0,33.0,63.0,37.0,61.53846154,25.92592593,59.0,53.33333333,46.66666667,0.0,40.0,6.666666667,46.66666667,7.692307692,28.57142857,33.33333333,40.0,26.66666667,13.33333333,52.0,51.0,49.0,30.0,70.0,0.0,15.0,45.0
Tanaka Haruya,Lotte,R,6.0,25,92.9,20.0,0.0,20.0,46.93877551,62.0,31.25,80.43478261,93.5483871,53.33333333,9.183673469,19.56521739,28.57142857,67.34693878,32.65306122,72.0,19.23076923,60.20408163,52.63157895,47.36842105,0.0,31.57894737,15.78947368,47.36842105,0.0,0.0,42.10526316,26.31578947,31.57894737,10.52631579,51.02040816,63.26530612,36.73469388,43.87755102,56.12244898,2.040816327,15.30612245,35.71428571
Yanagi Yuya,Chunichi,R,6.0,25,88.2,20.0,4.0,16.0,45.05494505,55.31914894,34.09090909,73.17073171,84.61538462,53.33333333,12.08791209,26.82926829,35.16483516,68.13186813,31.86813187,64.0,20.0,61.53846154,42.10526316,42.10526316,15.78947368,15.78947368,26.31578947,57.89473684,0.0,0.0,47.36842105,21.05263158,31.57894737,21.05263158,51.64835165,58.24175824,41.75824176,39.56043956,60.43956044,1.098901099,10.98901099,43.95604396
