Pitcher,Team,Throws,IP,TBF,FB Velo,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,Strike%,Ball%,F-Str%,PAR%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%,Zone%,Arm%,Glove%,High%,Low%,MM%,Behind%,Sec%
Takahashi Haruto,Hanshin,L,23.66666667,91,91.6,21.97802198,5.49450549,16.48351648,53.9184953,65.89595376,39.7260274,72.09302326,83.33333333,50.0,15.04702194,27.90697674,32.28840125,72.72727273,27.27272727,72.52747253,19.60784314,68.33855799,58.46153846,32.30769231,9.230769231,24.61538462,7.692307692,41.53846154,0.0,0.0,30.76923077,43.07692308,26.15384615,4.615384615,54.2319749216301,42.63322884012539,57.36677115987461,36.99059561128527,63.00940438871473,3.4482758620689653,7.210031347962382,22.570532915360506
Taira Kaima,Seibu,R,23.33333333,92,94.9,25.0,6.52173913,18.47826087,47.86324786,66.48351648,27.64705882,74.4047619,85.12396694,46.80851064,12.25071225,25.5952381,29.62962963,65.81196581,34.18803419,65.93406593,23.46938776,61.53846154,50.84745763,42.37288136,6.779661017,33.89830508,8.474576271,49.15254237,0.0,0.0,38.98305085,40.6779661,20.33898305,15.25423729,51.85185185185185,60.51136363636363,39.48863636363637,48.57954545454545,51.42045454545454,7.386363636363637,11.931818181818182,36.182336182336186
Yanagi Yuya,Chunichi,R,21.0,79,88.1,21.51898734,2.53164557,18.98734177,44.48051948,57.05128205,31.57894737,72.99270073,83.14606742,54.16666667,12.01298701,27.00729927,33.76623377,66.23376623,33.76623377,59.49367089,19.54022989,61.68831169,48.33333333,45.0,6.666666667,23.33333333,21.66666667,51.66666667,1.265822785,3.703703704,48.33333333,25.0,26.66666667,16.66666667,50.64935064935064,54.87012987012987,45.12987012987013,39.935064935064936,60.06493506493506,2.922077922077922,11.688311688311687,45.77922077922078
Uwasawa Naoyuki,SoftBank,R,20.0,85,92.4,23.52941176,4.70588235,18.82352941,50.77399381,70.0,29.41176471,75.0,84.87394958,48.88888889,12.69349845,25.0,28.48297214,66.87306502,33.12693498,61.17647059,20.0,60.37151703,33.33333333,56.66666667,10.0,38.33333333,18.33333333,66.66666667,3.529411765,8.823529412,35.0,40.0,25.0,15.0,52.63157894736842,49.53560371517028,50.464396284829725,43.65325077399381,56.34674922600619,7.430340557275541,8.978328173374612,40.86687306501548
Yamano Taichi,Yakult,L,20.0,81,91.2,22.22222222,2.4691358,19.75308642,47.70318021,60.40268456,33.58208955,73.33333333,86.66666667,46.66666667,12.72084806,26.66666667,33.2155477,69.25795053,30.74204947,62.96296296,24.32432432,62.19081272,55.0,36.66666667,8.333333333,31.66666667,5.0,45.0,3.703703704,13.63636364,43.33333333,36.66666667,20.0,21.66666667,52.65017667844523,43.81625441696113,56.18374558303887,34.62897526501767,65.37102473498233,7.06713780918728,9.540636042402827,40.282685512367486
Shoji Kosei,Rakuten,R,20.0,77,93.9,27.27272727,3.8961039,23.37662338,49.00662252,59.71223022,39.87730061,69.59459459,90.36144578,43.07692308,14.90066225,30.40540541,33.11258278,67.54966887,32.45033113,59.74025974,21.0,62.58278146,41.50943396,47.16981132,11.32075472,28.30188679,18.86792453,58.49056604,0.0,0.0,43.39622642,43.39622642,13.20754717,20.75471698,46.026490066225165,52.31788079470199,47.682119205298015,45.6953642384106,54.3046357615894,4.635761589403973,7.28476821192053,40.72847682119205
Saiki Hiroto,Hanshin,R,20.0,79,93.7,36.70886076,3.79746835,32.91139241,51.41955836,62.65822785,40.25157233,73.00613497,84.84848485,54.6875,13.88012618,26.99386503,32.49211356,70.03154574,29.96845426,58.2278481,27.10280374,64.66876972,38.29787234,51.06382979,10.63829787,34.04255319,17.0212766,61.70212766,2.53164557,8.333333333,44.68085106,34.04255319,21.27659574,27.65957447,49.8422712933754,49.52681388012618,50.473186119873816,46.37223974763407,53.62776025236593,5.3627760252365935,6.940063091482649,41.32492113564668
Azuma Katsuki,DeNA,L,20.0,78,88.7,23.07692308,7.69230769,15.38461538,48.01444043,59.86842105,33.6,79.69924812,90.10989011,57.14285714,9.747292419,20.30075188,31.40794224,70.03610108,29.96389892,66.66666667,20.93023256,64.98194946,48.14814815,46.2962963,5.555555556,37.03703704,9.259259259,51.85185185,3.846153846,12.0,35.18518519,44.44444444,20.37037037,16.66666667,54.87364620938629,51.624548736462096,48.375451263537904,39.35018050541516,60.64981949458483,3.2490974729241877,9.025270758122744,48.375451263537904
Murakami Shoki,Hanshin,R,19.66666667,77,90.7,22.07792208,7.79220779,14.28571429,46.74922601,63.92405063,30.3030303,78.80794702,86.13861386,64.0,9.907120743,21.19205298,26.93498452,64.39628483,35.60371517,53.24675325,15.04424779,59.75232198,44.44444444,42.59259259,12.96296296,35.18518519,7.407407407,55.55555556,2.597402597,8.695652174,38.88888889,38.88888889,22.22222222,16.66666667,48.91640866873065,43.343653250774,56.656346749226,43.343653250774,56.656346749226,1.547987616099071,10.8359133126935,26.93498452012384
Watanabe Yutaro,Seibu,R,19.33333333,82,90.7,12.19512195,7.31707317,4.87804878,51.03244838,69.47368421,27.51677852,83.23699422,86.36363636,73.17073171,8.554572271,16.76300578,25.07374631,68.14159292,31.85840708,64.63414634,8.620689655,62.24188791,53.03030303,39.39393939,7.575757576,36.36363636,3.03030303,46.96969697,1.219512195,3.846153846,36.36363636,42.42424242,21.21212121,9.090909091,56.04719764011799,52.8023598820059,47.1976401179941,47.49262536873156,52.50737463126843,6.1946902654867255,10.32448377581121,35.9882005899705
Takeuchi Natsuki,Seibu,L,18.66666667,69,91.3,20.28985507,2.89855072,17.39130435,50.0,69.28571429,29.9270073,74.63768116,81.44329897,58.53658537,12.68115942,25.36231884,27.53623188,65.57971014,34.42028986,50.72463768,18.18181818,60.86956522,50.94339623,43.39622642,5.660377358,33.96226415,9.433962264,49.05660377,0.0,0.0,43.39622642,33.96226415,22.64150943,17.30769231,50.72463768115942,58.48375451263538,41.51624548736462,40.43321299638989,59.56678700361011,3.2490974729241877,11.913357400722022,38.76811594202898
