Team,IP,TBF,FB Velo,K%,BB%,K-BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,Strike%,Ball%,F-Str%,PAR%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%,Zone%,Arm%,Glove%,High%,Low%,MM%,Behind%,Sec%
Seibu,142.0,589,92.0,19.185059422750424,6.621392190152801,12.563667232597624,46.53253424657534,65.28716216216216,27.209705372616984,77.36890524379025,85.76972833117723,56.68789808917197,10.53082191780822,22.63109475620975,27.78253424657534,64.51198630136986,35.48801369863014,59.863945578231295,16.329479768786126,58.775684931506845,51.288056206089,40.98360655737704,7.728337236533958,32.78688524590164,8.19672131147541,48.71194379391101,1.3582342954159592,4.571428571428571,40.74941451990632,37.470725995316165,21.77985948477752,16.470588235294116,50.68493150684932,50.76988879384089,49.23011120615911,47.56201881950385,52.43798118049615,6.159110350727117,11.03507271171942,41.95205479452055
Lotte,138.0,590,91.6,19.491525423728813,6.779661016949152,12.71186440677966,48.67139061116032,66.95804195804196,29.86547085201794,77.25204731574158,86.16187989556136,56.75675675675676,11.071744906997342,22.74795268425841,27.5022143489814,65.81045172719222,34.1895482728078,62.64855687606112,17.424242424242426,59.65456155890168,45.75471698113208,44.10377358490566,10.141509433962264,32.54716981132076,11.556603773584904,54.24528301886793,2.2033898305084745,6.951871657754011,38.91509433962264,38.443396226415096,22.641509433962263,17.21698113207547,50.66430469441984,46.34794156706507,53.65205843293492,39.309428950863214,60.69057104913679,4.869411243913236,11.95219123505976,35.96102745792737
Hanshin,137.33333333333331,566,91.2,24.204946996466436,5.830388692579505,18.374558303886925,47.71009337483326,63.802083333333336,30.81130355515041,74.83690587138862,85.03401360544217,52.66272189349112,12.005335704757671,25.16309412861137,29.879946642952422,66.38506002667852,33.61493997332148,62.30088495575221,19.460227272727277,60.78257003112495,50.6426735218509,40.3598971722365,8.997429305912597,30.59125964010283,9.768637532133676,49.3573264781491,2.4734982332155475,8.9171974522293,39.84575835475578,39.33161953727507,20.822622107969156,15.521628498727736,51.22276567363273,46.020453534904405,53.9795464650956,39.57314361938639,60.4268563806136,5.024455313472655,10.760337927967988,34.104046242774565
Rakuten,135.33333333333331,553,92.1,22.06148282097649,8.679927667269439,13.381555153707051,45.127719962157045,64.64937560038425,26.13953488372093,72.32704402515722,83.6552748885587,45.19572953736655,12.488174077578051,27.67295597484277,29.42289498580889,62.72469252601704,37.27530747398297,59.2391304347826,20.74829931972789,57.5685903500473,46.56084656084656,43.91534391534391,9.523809523809524,33.33333333333333,10.582010582010582,53.43915343915344,1.8083182640144664,6.024096385542169,39.15343915343915,37.83068783068783,23.015873015873016,17.46031746031746,49.24314096499527,51.55954631379962,48.44045368620038,40.07561436672968,59.92438563327032,6.049149338374291,12.665406427221171,48.912015137180695
Yomiuri,130.0,543,91.6,19.521178637200737,6.261510128913445,13.259668508287293,45.33582089552239,61.90917516218721,28.517823639774857,78.60082304526749,86.37724550898204,61.51315789473685,9.701492537313433,21.39917695473251,28.35820895522388,64.92537313432835,35.07462686567165,60.74074074074074,16.22464898595944,58.95522388059702,49.35064935064935,40.259740259740255,10.38961038961039,28.31168831168831,11.948051948051948,50.64935064935064,1.4732965009208103,5.161290322580645,33.76623376623377,38.44155844155844,27.79220779220779,12.213740458015266,50.32649253731343,46.01398601398601,53.98601398601398,42.09790209790209,57.90209790209791,5.221445221445221,10.955710955710956,34.5615671641791
SoftBank,130.0,572,92.3,20.804195804195803,8.566433566433567,12.237762237762238,46.41192917054986,63.63636363636363,27.5390625,74.29718875502009,84.73389355742297,47.87234042553192,11.929170549860205,25.70281124497992,30.61509785647717,66.02982292637465,33.97017707362535,64.32337434094903,19.13183279742765,59.50605778191985,43.75,47.13541666666667,9.114583333333332,36.71875,10.416666666666668,56.25,2.972027972027972,9.392265193370166,35.9375,40.36458333333333,23.697916666666664,14.358974358974358,52.28331780055918,50.46598322460392,49.53401677539608,42.17148182665424,57.82851817334576,5.265610438024231,9.7856477166822,44.31500465983225
Chunichi,129.66666666666666,564,91.5,21.27659574468085,7.624113475177305,13.652482269503546,43.15555555555556,59.76491862567812,27.05061082024433,76.72502574665293,86.23298033282904,56.451612903225815,10.044444444444444,23.274974253347064,29.33333333333333,63.15555555555555,36.84444444444445,58.64527629233511,18.3641975308642,56.97777777777778,51.42118863049095,40.310077519379846,8.2687338501292,27.906976744186046,12.4031007751938,48.57881136950905,1.950354609929078,7.051282051282051,40.82687338501292,35.917312661498705,23.25581395348837,14.213197969543147,49.15555555555556,46.802841918294845,53.19715808170516,40.230905861456485,59.76909413854352,5.017761989342807,12.877442273534635,42.31111111111111
Nipponham,128.33333333333331,554,92.3,22.92418772563177,6.859205776173286,16.064981949458485,48.879743941472334,67.6131322094055,28.934967012252592,74.27502338634238,84.51443569553805,48.85993485342019,12.574302697759489,25.724976613657624,28.760859625057154,65.93507087334248,34.064929126657525,60.75949367088608,19.24242424242424,59.76223136716964,46.15384615384615,47.48010610079575,6.36604774535809,35.278514588859416,12.20159151193634,53.84615384615385,2.3465703971119134,7.262569832402235,38.46153846153847,36.87002652519894,24.6684350132626,15.485564304461944,51.531778692272525,47.0292504570384,52.970749542961606,42.13893967093236,57.86106032906764,5.301645338208409,10.694698354661792,39.50617283950617
ORIX,126.33333333333331,567,92.1,21.693121693121693,6.878306878306878,14.814814814814811,46.24145785876993,64.8236415633937,29.181184668989545,75.17241379310344,84.26470588235294,56.71641791044776,11.480637813211846,24.82758620689655,27.69931662870159,63.4624145785877,36.5375854214123,63.008849557522126,19.092331768388107,56.62870159453303,49.61038961038961,42.33766233766234,8.051948051948052,34.285714285714285,8.051948051948052,50.3896103896104,2.1164021164021163,7.361963190184049,36.88311688311688,42.33766233766234,20.77922077922078,14.14141414141414,47.79043280182233,54.21028675466545,45.78971324533455,44.37869822485207,55.62130177514793,5.234410559854346,11.242603550295858,42.232346241457854
Yakult,124.66666666666666,532,91.1,23.1203007518797,7.518796992481203,15.601503759398495,44.55684007707129,60.48309178743961,28.612440191387563,76.64864864864866,86.10223642172524,56.85618729096989,10.404624277456648,23.35135135135135,29.672447013487474,64.6917148362235,35.308285163776496,59.81132075471698,20.469798657718123,58.86319845857418,46.7966573816156,46.7966573816156,6.406685236768802,34.540389972144844,12.256267409470752,53.2033426183844,1.6917293233082706,5.357142857142857,33.14763231197772,42.06128133704736,24.79108635097493,15.555555555555555,49.85549132947977,51.49038461538461,48.50961538461539,42.98076923076923,57.01923076923077,5.0,12.307692307692308,40.84778420038536
