Pitcher,G,W,L,SV,CG,SHO,NBBG,PCT,BF,IP,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Ibaragi Hidetoshi,2,0,0,0,0,0,0,.000,34,9.1,5,0,2,0,0,6,0,0,1,1,0.96,Hanshin Tigers,
Ihara Takato,1,1,0,0,0,0,0,1.000,25,6,6,0,1,0,0,7,0,0,0,0,0.00,Hanshin Tigers,
Ishiguro Yuya,1,0,0,0,0,0,0,.000,6,2,0,0,0,0,0,3,0,0,0,0,0.00,Hanshin Tigers,
Itoh Masashi,1,1,0,0,1,0,0,1.000,18,5,2,0,2,0,0,4,1,0,1,1,1.80,Hanshin Tigers,
Iwasada Yuta,5,0,1,0,0,0,0,.000,17,4.2,5,0,1,0,0,3,0,0,2,2,3.86,Hanshin Tigers,
Kesamaru Yuki,2,1,0,0,0,0,0,1.000,21,6.1,2,0,0,0,0,4,0,0,0,0,0.00,Hanshin Tigers,
Kudo Taisei,3,1,0,0,0,0,0,1.000,14,4,1,0,2,0,0,6,0,0,0,0,0.00,Hanshin Tigers,
Lucas Easton,1,0,1,0,0,0,0,.000,21,3.2,6,0,3,0,1,4,0,0,4,3,7.36,Hanshin Tigers,
Martinez Anthony,3,0,0,0,0,0,0,.000,14,4,1,0,2,0,0,0,0,0,1,1,2.25,Hanshin Tigers,
Matsubara Kai,2,0,0,0,0,0,0,.000,11,2,1,0,1,0,2,1,0,0,2,0,0.00,Hanshin Tigers,
Mombetsu Keito,2,1,0,0,0,0,0,1.000,18,5,3,1,0,0,0,6,0,0,1,1,1.80,Hanshin Tigers,
Nishi Yuki,1,1,0,0,0,0,0,1.000,18,5,3,0,0,0,0,3,0,0,0,0,0.00,Hanshin Tigers,
Noto Syuto,2,0,0,0,0,0,0,.000,35,9,8,0,3,0,0,5,2,0,1,0,0.00,Hanshin Tigers,
Ogawa Ippei,1,0,0,0,0,0,0,.000,5,1,2,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
Ohtake Koutaro,3,1,2,0,0,0,0,.333,73,17,21,2,0,0,3,11,0,0,11,9,4.76,Hanshin Tigers,
Ragsdale Carson,2,0,0,0,0,0,0,.000,41,8.2,6,0,9,0,0,9,1,0,4,2,2.08,Hanshin Tigers,
Saiki Hiroto,1,1,0,0,0,0,0,1.000,17,5,3,0,0,0,0,2,0,0,1,1,1.80,Hanshin Tigers,
Shiiba Tsuyoshi,6,0,0,1,0,0,0,.000,20,6.1,3,0,0,0,0,6,0,0,0,0,0.00,Hanshin Tigers,
Tomida Ren,3,0,1,0,0,0,0,.000,36,7.1,13,1,1,0,0,3,0,0,6,5,6.14,Hanshin Tigers,
Tsuda Junya,4,0,0,2,0,0,0,.000,15,3.2,2,0,1,0,0,4,0,0,0,0,0.00,Hanshin Tigers,
Aduwa Makoto,2,0,0,0,0,0,0,.000,12,2.1,4,0,1,0,0,0,0,0,1,1,3.86,Hiroshima Carp,
Aria Develson,2,0,1,0,0,0,0,.000,11,1.2,4,0,4,0,0,0,0,0,5,5,27.00,Hiroshima Carp,
Endoh Atsushi,1,0,1,0,0,0,0,.000,21,4,6,0,3,0,0,0,0,0,4,4,9.00,Hiroshima Carp,
Hasebe Ginji,4,0,1,0,0,0,0,.000,19,4,7,0,1,0,0,4,0,0,3,2,4.50,Hiroshima Carp,
Hidaka Atsumi,2,0,0,0,0,0,0,.000,9,2,2,1,1,0,0,3,0,0,2,2,9.00,Hiroshima Carp,
Horie Atsuya,4,0,1,0,0,0,0,.000,35,8.2,6,0,2,0,0,8,0,0,3,1,1.04,Hiroshima Carp,
Kawano Kei,4,0,0,0,0,0,0,.000,41,10,11,0,3,0,0,5,0,0,1,1,0.90,Hiroshima Carp,
Kemna Makoto,5,1,1,0,0,0,0,.500,26,7,6,0,2,0,1,3,0,0,2,2,2.57,Hiroshima Carp,
Kikuchi Harun,6,0,0,0,0,0,0,.000,24,6,5,0,3,0,0,3,0,1,2,1,1.50,Hiroshima Carp,
Matsumoto Ryuya,4,0,0,0,0,0,0,.000,13,4,1,0,1,0,0,2,0,0,0,0,0.00,Hiroshima Carp,
Mori Shohei,1,0,1,0,0,0,0,.000,18,4,5,1,1,0,0,2,0,0,4,3,6.75,Hiroshima Carp,
Morishita Masato,1,0,0,0,0,0,0,.000,12,3,3,1,0,0,0,3,0,0,1,1,3.00,Hiroshima Carp,
Ohsera Daichi,1,0,0,0,0,0,0,.000,17,4,5,0,0,0,0,5,0,0,2,2,4.50,Hiroshima Carp,
Okamoto Shun,1,0,0,0,0,0,0,.000,11,3,1,0,0,0,1,2,0,0,0,0,0.00,Hiroshima Carp,
Saitoh Yuta,1,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
Sato Ryunosuke,2,0,1,0,0,0,0,.000,45,10,11,0,4,0,0,11,0,0,3,3,2.70,Hiroshima Carp,
Sugihara Mirai,2,0,0,0,0,0,0,.000,6,2,0,0,1,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
Sugita Takeru,3,0,0,0,0,0,0,.000,16,5,1,0,0,0,0,3,0,0,0,0,0.00,Hiroshima Carp,
Taka Taichi,2,0,1,0,0,0,0,.000,41,9,10,0,2,0,1,6,1,1,6,4,4.00,Hiroshima Carp,
Takahashi Kouya,5,0,0,1,0,0,0,.000,20,5,2,0,3,0,0,4,0,0,1,1,1.80,Hiroshima Carp,
Takeshita Kaito,2,0,1,0,0,0,0,.000,11,1,5,0,1,0,0,0,0,1,4,0,0.00,Hiroshima Carp,
Tamamura Shogo,2,2,0,0,1,0,0,1.000,43,12,9,0,2,0,0,6,0,0,2,2,1.50,Hiroshima Carp,
Tsunehiro Hayato,1,0,0,0,0,0,0,.000,4,1,0,0,1,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
Baba Kosuke,1,0,0,0,0,0,0,.000,6,1,3,0,1,0,0,1,0,0,1,1,9.00,DeNA BayStars,
Duplantier Jon,1,1,0,0,0,0,0,1.000,19,5,1,0,2,0,1,2,0,0,0,0,0.00,DeNA BayStars,
Fujinami Shintaro,1,0,1,0,0,0,0,.000,15,3,2,0,3,0,1,6,0,0,2,1,3.00,DeNA BayStars,
Fukazawa Osuke,1,0,0,0,0,0,0,.000,18,5,2,0,1,0,0,5,0,0,1,0,0.00,DeNA BayStars,
Hamachi Masumi,3,2,0,0,0,0,0,1.000,11,3,1,0,0,0,0,3,0,0,1,0,0.00,DeNA BayStars,
Horioka Hayato,4,1,0,1,0,0,0,1.000,14,4,1,0,1,0,0,1,0,0,1,0,0.00,DeNA BayStars,
Irie Taisei,1,0,0,0,0,0,0,.000,20,5,5,0,1,0,0,7,0,1,1,1,1.80,DeNA BayStars,
Ishida Kenta,3,0,0,0,0,0,0,.000,22,6,4,0,0,0,0,4,0,0,0,0,0.00,DeNA BayStars,
Ishida Yutaro,1,1,0,0,0,0,0,1.000,20,6,1,0,0,0,0,5,0,0,0,0,0.00,DeNA BayStars,
Iwata Masaki,4,0,0,0,0,0,0,.000,6,2.2,1,0,0,0,0,2,0,0,0,0,0.00,DeNA BayStars,
Kanabuchi Koki,2,0,0,0,0,0,0,.000,25,6,6,0,1,0,0,5,0,0,1,0,0.00,DeNA BayStars,
Katayama Hiromi,2,1,0,0,0,0,0,1.000,28,8,3,1,1,0,0,6,0,0,1,1,1.13,DeNA BayStars,
Matsumoto Ryoto,4,0,0,0,0,0,0,.000,16,4,4,0,1,0,0,4,0,0,0,0,0.00,DeNA BayStars,
Matsumoto Ryunosuke,1,0,0,0,0,0,0,.000,15,4,1,0,2,0,1,2,0,0,0,0,0.00,DeNA BayStars,
Nakagawa Koh,1,0,0,0,0,0,0,.000,9,1,2,0,4,0,0,0,0,0,3,3,27.00,DeNA BayStars,
Sakamoto Yuya,1,0,0,0,0,0,0,.000,7,1,3,0,1,0,0,3,0,0,1,1,9.00,DeNA BayStars,
Sasaki Chihaya,1,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
