Pitcher,G,W,L,SV,HLD,HP,CG,SHO,NBBG,PCT,BF,IP,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Dolis Rafael,1,0,0,0,1,1,0,0,0,.000,3,1,0,0,0,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
Hayakawa Daiki,1,0,0,0,1,1,0,0,0,.000,6,1.2,1,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Itoh Masashi,1,0,0,0,0,0,0,0,0,.000,13,2.1,6,0,1,0,0,1,0,0,3,3,11.57,Hanshin Tigers,
Iwazaki Suguru,1,0,0,0,0,0,0,0,0,.000,4,1,1,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
Kirishiki Takuma,1,0,0,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,0,0,0,0,0,0.00,Hanshin Tigers,
Moreta Dauri,1,0,0,0,1,1,0,0,0,.000,5,1,1,0,1,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
Murakami Shoki,1,0,1,0,0,0,0,0,0,.000,23,6,5,2,2,0,0,7,0,0,3,3,4.50,Hanshin Tigers,
Oyokawa Masaki,1,1,0,0,0,1,0,0,0,1.000,4,1,1,1,0,0,0,1,0,0,1,1,9.00,Hanshin Tigers,
Takahashi Haruto,1,1,0,0,0,0,1,1,0,1.000,32,9,3,0,2,0,0,6,0,0,0,0,0.00,Hanshin Tigers,
Yuasa Atsuki,2,0,0,0,0,0,0,0,0,.000,8,2,3,1,1,0,0,1,0,0,2,2,9.00,Hanshin Tigers,
Akagi Seiya,1,0,0,0,0,0,0,0,0,.000,6,0.1,4,0,1,0,0,0,0,0,3,3,81.00,Hiroshima Carp,
Hearn Taylor,2,1,0,0,0,1,0,0,0,1.000,6,1.1,1,0,1,1,0,1,0,0,0,0,0.00,Hiroshima Carp,
Kuribayashi Ryoji,1,1,0,0,0,0,1,1,1,1.000,28,9,1,0,0,0,0,9,0,0,0,0,0.00,Hiroshima Carp,
Moriura Daisuke,2,1,0,1,0,1,0,0,0,1.000,8,2,2,0,0,0,0,1,0,0,0,0,0.00,Hiroshima Carp,
Nakazaki Shota,1,0,0,0,0,0,0,0,0,.000,5,1,1,0,0,0,1,3,0,0,0,0,0.00,Hiroshima Carp,
Saito Taichi,1,0,0,0,0,0,0,0,0,.000,4,1,1,0,0,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
Shimauchi Sotaro,1,0,0,0,0,0,0,0,0,.000,4,0.2,1,0,1,0,0,1,0,0,1,1,13.50,Hiroshima Carp,
Tarnok Freddy,1,0,0,0,0,0,0,0,0,.000,25,7,5,0,0,0,0,7,0,0,0,0,0.00,Hiroshima Carp,
Tokoda Hiroki,1,0,0,0,0,0,0,0,0,.000,24,5,9,0,0,0,0,5,0,0,2,2,3.60,Hiroshima Carp,
Tsuji Taiga,1,0,0,0,0,0,0,0,0,.000,3,0.2,0,0,1,0,0,1,0,0,0,0,0.00,Hiroshima Carp,
Azuma Katsuki,1,0,1,0,0,0,0,0,0,.000,26,6,4,2,4,0,0,7,0,0,3,3,4.50,DeNA BayStars,
Irie Taisei,1,0,1,0,0,0,0,0,0,.000,20,4,5,0,3,0,0,6,0,0,4,4,9.00,DeNA BayStars,
Ise Hiromu,1,0,0,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
Ishida Yutaro,1,0,1,0,0,0,0,0,0,.000,29,7,7,0,1,0,0,9,0,0,4,4,5.14,DeNA BayStars,
Marcelino Hansel,1,0,0,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
Miyagi Daita,1,0,0,0,0,0,0,0,0,.000,5,1,2,0,0,0,0,2,0,0,0,0,0.00,DeNA BayStars,
Nakagawa Hayate,1,0,0,0,0,0,0,0,0,.000,5,1,3,0,0,0,0,0,0,0,0,0,0.00,DeNA BayStars,
Reynolds Sean,1,0,0,0,0,0,0,0,0,.000,5,1,0,0,0,0,0,0,0,0,1,0,0.00,DeNA BayStars,
Ruiz Jose,2,0,0,0,0,0,0,0,0,.000,8,2,2,0,0,0,0,2,0,0,0,0,0.00,DeNA BayStars,
Sakamoto Yuya,1,0,0,0,0,0,0,0,0,.000,4,1,1,0,0,0,0,0,0,0,0,0,0.00,DeNA BayStars,
Yoshino Teruki,1,0,0,0,0,0,0,0,0,.000,9,2,1,0,2,0,0,2,1,0,1,1,4.50,DeNA BayStars,
Akahoshi Yuji,1,0,0,0,0,0,0,0,0,.000,7,2,1,0,0,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
Funabasama Hiromasa,2,0,1,0,1,1,0,0,0,.000,8,1.2,1,0,1,0,1,0,0,0,2,2,10.80,Yomiuri Giants,
Howard Spencer,1,0,1,0,0,0,0,0,0,.000,25,6,4,0,4,0,0,7,0,0,1,0,0.00,Yomiuri Giants,
Ishikawa Tatsuya,1,0,0,0,0,0,0,0,0,.000,8,1,4,1,1,0,0,1,0,0,4,4,36.00,Yomiuri Giants,
Izumi Keisuke,1,0,0,0,0,0,0,0,0,.000,4,1,1,0,1,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
Kitaura Ryuji,2,0,0,0,1,1,0,0,0,.000,7,2,1,0,0,0,0,1,0,0,1,1,4.50,Yomiuri Giants,
Luciano Elvis,2,0,0,0,1,1,0,0,0,.000,6,2,1,0,0,0,0,2,0,0,0,0,0.00,Yomiuri Giants,
Nakagawa Kota,2,0,0,0,0,0,0,0,0,.000,9,1.1,4,0,0,0,0,1,0,0,1,1,6.75,Yomiuri Giants,
Takemaru Kazuyuki,1,1,0,0,0,0,0,0,0,1.000,22,6,3,0,2,0,0,5,0,0,1,1,1.50,Yomiuri Giants,
Tanaka Eito,1,0,0,1,0,0,0,0,0,.000,3,1,1,0,0,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
Tawa Ren,1,0,0,0,0,0,0,0,0,.000,4,1,0,0,1,0,0,2,0,0,0,0,0.00,Yomiuri Giants,
Yamashiro Kyohei,1,0,0,0,0,0,0,0,0,.000,13,2,3,0,3,0,2,1,0,0,5,5,22.50,Yomiuri Giants,
Hoshi Tomoya,2,0,0,1,1,1,0,0,0,.000,11,2,4,0,1,0,0,1,0,0,1,1,4.50,Yakult Swallows,
Kizawa Naofumi,2,0,0,0,2,2,0,0,0,.000,8,2,0,0,2,0,1,2,0,0,0,0,0.00,Yakult Swallows,
Liranzo Jesus,1,0,0,0,1,1,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,Yakult Swallows,
Ohnishi Hiroki,1,0,0,0,1,1,0,0,0,.000,2,0.2,0,0,0,0,0,0,0,0,0,0,0.00,Yakult Swallows,
Quijada Jose,2,0,0,2,0,0,0,0,0,.000,8,2,1,0,1,0,0,3,0,0,0,0,0.00,Yakult Swallows,
Shoji Kota,1,1,0,0,0,1,0,0,0,1.000,6,1,3,0,0,0,0,1,0,0,1,1,9.00,Yakult Swallows,
Takanashi Hirotoshi,1,0,0,0,0,0,0,0,0,.000,25,6,5,1,2,0,0,6,0,0,1,1,1.50,Yakult Swallows,
Yamano Taichi,1,1,0,0,0,0,0,0,0,1.000,29,7,8,0,1,0,0,4,0,0,2,2,2.57,Yakult Swallows,
Yoshimura Kojiro,1,1,0,0,0,0,0,0,0,1.000,21,5.1,5,1,0,0,0,7,0,0,2,2,3.38,Yakult Swallows,
Abreu Albert,1,0,0,0,0,0,0,0,0,.000,6,0.1,4,0,1,0,0,0,0,0,4,4,108.00,Chunichi Dragons,
Fujishima Kento,1,0,0,0,1,1,0,0,0,.000,2,0.2,0,0,0,0,0,0,0,0,0,0,0.00,Chunichi Dragons,
Hashimoto Yuki,1,0,0,0,1,1,0,0,0,.000,3,1,0,0,0,0,0,2,0,0,0,0,0.00,Chunichi Dragons,
Katsuno Akiyoshi,1,0,1,0,0,0,0,0,0,.000,5,0.2,1,0,2,1,0,0,0,0,1,1,13.50,Chunichi Dragons,
Makino Kenshin,1,0,1,0,0,0,0,0,0,.000,6,1,1,0,2,0,0,0,0,0,1,1,9.00,Chunichi Dragons,
Mejia Humberto,1,0,0,0,1,1,0,0,0,.000,3,1,0,0,0,0,0,0,0,0,0,0,0.00,Chunichi Dragons,
Sakurai Yorinosuke,1,0,0,0,0,0,0,0,0,.000,27,7,3,0,2,0,0,9,0,0,1,0,0.00,Chunichi Dragons,
Takahashi Hiroto,1,0,1,0,0,0,1,0,0,.000,31,8,6,0,1,1,0,9,0,0,1,0,0.00,Chunichi Dragons,
Yanagi Yuya,1,0,0,0,0,0,0,0,0,.000,25,6,6,0,1,0,0,5,0,0,1,1,1.50,Chunichi Dragons,
Hirano Yoshihisa,1,0,0,0,1,1,0,0,0,.000,4,1,1,1,0,0,0,1,0,0,1,1,9.00,ORIX Buffaloes,
Kotajima Seiryu,1,0,0,0,1,1,0,0,0,.000,5,1,2,0,0,0,0,1,1,0,1,1,9.00,ORIX Buffaloes,
Kuri Allen,1,1,0,0,0,0,1,1,0,1.000,31,9,4,0,0,0,1,12,0,0,0,0,0.00,ORIX Buffaloes,
Machado Andres,1,0,0,1,0,0,0,0,0,.000,4,1,1,0,0,0,0,0,0,0,0,0,0.00,ORIX Buffaloes,
Miyagi Hiroya,1,0,1,0,0,0,0,0,0,.000,15,1.2,8,0,1,0,0,2,0,0,8,2,10.80,ORIX Buffaloes,
Mukunoki Ren,1,0,0,0,1,1,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,ORIX Buffaloes,
Perdomo Luis,1,0,0,0,1,1,0,0,0,.000,3,1,0,0,0,0,0,1,0,0,0,0,0.00,ORIX Buffaloes,
Tajima Daiki,1,0,0,0,0,0,0,0,0,.000,6,1,3,0,0,0,0,0,0,0,2,2,18.00,ORIX Buffaloes,
Teranishi Naruki,1,0,0,0,0,0,0,0,0,.000,23,6,6,0,0,0,0,4,0,0,2,2,3.00,ORIX Buffaloes,
Toumatsu Kaisei,1,0,0,0,0,0,0,0,0,.000,3,0.1,0,0,2,0,0,1,0,0,0,0,0.00,ORIX Buffaloes,
Yamazaki Soichiro,1,1,0,0,0,1,0,0,0,1.000,6,2,0,0,0,0,0,2,0,0,0,0,0.00,ORIX Buffaloes,
Yokoyama Kaede,2,0,0,0,1,1,0,0,0,.000,10,2,3,0,1,0,0,3,0,0,0,0,0.00,ORIX Buffaloes,
Hiroike Koshiro,1,0,0,0,0,0,0,0,0,.000,10,1.2,3,0,0,0,2,1,0,0,1,0,0.00,Lotte Marines,
Long Sam,2,0,0,0,1,1,0,0,0,.000,9,2,3,0,0,0,0,1,0,0,1,0,0.00,Lotte Marines,
Masuda Naoya,2,0,0,0,0,0,0,0,0,.000,10,2,4,0,0,0,0,0,0,0,2,2,9.00,Lotte Marines,
Miyazaki Hayato,1,0,0,0,0,0,0,0,0,.000,3,1,0,0,0,0,0,0,0,0,0,0,0.00,Lotte Marines,
Mouri Kaito,1,1,0,0,0,0,0,0,0,1.000,19,5,4,0,1,0,0,2,0,0,0,0,0.00,Lotte Marines,
Ojima Kazuya,1,0,1,0,0,0,0,0,0,.000,19,4,3,0,3,0,1,3,1,0,1,1,2.25,Lotte Marines,
Sawada Keisuke,2,0,0,0,0,0,0,0,0,.000,6,2,0,0,0,0,0,2,0,0,0,0,0.00,Lotte Marines,
Suzuki Shota,1,0,0,0,1,1,0,0,0,.000,3,1,1,0,0,0,0,0,0,0,0,0,0.00,Lotte Marines,
Takano Shuta,2,0,0,0,1,1,0,0,0,.000,4,1.1,0,0,0,0,0,2,0,0,0,0,0.00,Lotte Marines,
Tanaka Haruya,1,1,0,0,0,0,0,0,0,1.000,25,6,5,0,0,0,1,5,0,0,0,0,0.00,Lotte Marines,
Yokoyama Rikuto,1,0,0,1,0,0,0,0,0,.000,3,1,0,0,0,0,0,2,0,0,0,0,0.00,Lotte Marines,
Hernandez Darwinzon,2,0,0,0,1,1,0,0,0,.000,11,2,4,1,1,0,0,2,0,0,1,1,4.50,SoftBank Hawks,
Kamichatani Taiga,1,0,0,0,1,1,0,0,0,.000,11,3,2,1,0,0,0,4,0,0,1,1,3.00,SoftBank Hawks,
Kimura Hikaru,2,0,0,0,2,2,0,0,0,.000,6,2,0,0,0,0,0,0,0,0,0,0,0.00,SoftBank Hawks,
Matsumoto Haru,1,1,0,0,0,0,0,0,0,1.000,26,6,6,2,1,0,2,8,0,0,2,2,3.00,SoftBank Hawks,
Matsumoto Yuki,2,1,0,0,0,1,0,0,0,1.000,7,2,1,0,0,0,0,2,0,0,0,0,0.00,SoftBank Hawks,
Stewart Jr. Carter,1,1,0,0,0,0,0,0,0,1.000,23,5,5,2,2,0,1,6,1,0,3,3,5.40,SoftBank Hawks,
Sugiyama Kazuki,2,0,0,1,0,0,0,0,0,.000,11,2,4,0,0,0,0,2,0,0,2,2,9.00,SoftBank Hawks,
Uwasawa Naoyuki,1,0,0,0,0,0,0,0,0,.000,23,5,6,2,0,0,1,5,0,0,4,2,3.60,SoftBank Hawks,
Fujihira Shoma,1,0,0,0,0,0,0,0,0,.000,5,1,1,0,1,0,0,2,0,0,0,0,0.00,Rakuten Eagles,
Fujiwara Sota,1,0,1,0,0,0,0,0,0,.000,16,3,8,0,1,0,1,1,0,1,4,3,9.00,Rakuten Eagles,
Kajiya Ren,1,0,0,0,0,0,0,0,0,.000,1,0.1,0,0,0,0,0,0,0,0,0,0,0.00,Rakuten Eagles,
Kutani Ryu,1,0,0,0,0,0,0,0,0,.000,4,1,0,0,1,0,0,0,0,0,0,0,0.00,Rakuten Eagles,
Nishigaki Masaya,1,0,0,0,0,0,0,0,0,.000,4,1,0,0,1,0,0,2,0,0,0,0,0.00,Rakuten Eagles,
Shoji Kosei,1,1,0,0,0,0,0,0,0,1.000,28,8,4,0,0,0,0,9,0,0,0,0,0.00,Rakuten Eagles,
Sung Chia-Hao,2,0,0,0,0,0,0,0,0,.000,7,2,1,0,1,0,0,1,0,0,0,0,0.00,Rakuten Eagles,
Suzuki Sora,1,0,0,0,0,0,0,0,0,.000,5,1,1,0,1,0,0,0,0,0,0,0,0.00,Rakuten Eagles,
Takinaka Ryota,1,0,1,0,0,0,0,0,0,.000,20,3.2,4,1,4,0,1,4,0,0,2,2,4.91,Rakuten Eagles,
Tanaka Chiharu,1,0,0,0,0,0,0,0,0,.000,4,0.2,3,0,0,0,0,1,0,0,1,1,13.50,Rakuten Eagles,
Tsurusaki Taisei,2,0,0,0,0,0,0,0,0,.000,9,2,2,1,1,0,0,2,0,0,1,1,4.50,Rakuten Eagles,
Uchi Seiryu,1,0,0,0,0,0,0,0,0,.000,9,1.1,3,0,2,0,0,2,1,0,3,3,20.25,Rakuten Eagles,
Fuji Yamato,1,0,0,0,0,0,0,0,0,.000,5,,5,1,0,0,0,0,0,0,5,5,----,Seibu Lions,
Hamaya Shota,1,0,0,0,0,0,0,0,0,.000,4,1,1,0,0,0,0,2,0,0,0,0,0.00,Seibu Lions,
Itogawa Ryota,1,0,0,0,0,0,0,0,0,.000,4,1,1,1,0,0,0,1,0,0,1,1,9.00,Seibu Lions,
Kuroda Masaya,1,0,0,0,0,0,0,0,0,.000,4,1,1,0,0,0,0,0,0,0,0,0,0.00,Seibu Lions,
Nakamura Yuta,1,0,0,0,0,0,0,0,0,.000,7,1,2,0,1,0,0,2,0,0,2,1,9.00,Seibu Lions,
Taira Kaima,1,1,0,0,0,0,1,1,0,1.000,35,9,5,0,2,0,1,5,0,0,0,0,0.00,Seibu Lions,
Takeuchi Natsuki,1,0,1,0,0,0,0,0,0,.000,22,5,7,0,0,0,0,2,0,0,4,4,7.20,Seibu Lions,
Watanabe Yutaro,1,0,1,0,0,0,0,0,0,.000,28,7,6,0,2,0,0,6,0,0,2,2,2.57,Seibu Lions,
Arihara Kohei,1,0,1,0,0,0,0,0,0,.000,30,6,10,0,2,0,1,5,1,0,7,5,7.50,Nipponham Fighters,
Fukutani Koji,1,0,0,0,0,0,0,0,0,.000,4,1,1,1,0,0,0,0,0,0,1,1,9.00,Nipponham Fighters,
Gu Lin Ruei-Yang,1,0,1,0,0,0,0,0,0,.000,6,0.2,2,0,2,0,0,1,1,0,1,1,13.50,Nipponham Fighters,
Ikeda Takahide,1,0,0,0,0,0,0,0,0,.000,1,0.1,0,0,0,0,0,0,0,0,0,0,0.00,Nipponham Fighters,
Itoh Hiromi,1,0,0,0,0,0,0,0,0,.000,27,5.2,9,3,0,0,0,4,0,0,5,5,7.94,Nipponham Fighters,
Shimamoto Hiroya,1,0,0,0,0,0,0,0,0,.000,1,0.1,0,0,0,0,0,0,0,0,0,0,0.00,Nipponham Fighters,
Tatsu Kota,1,0,1,0,0,0,0,0,0,.000,23,4.2,6,0,2,0,1,4,0,0,5,5,9.64,Nipponham Fighters,
Uehara Kenta,1,0,0,0,0,0,0,0,0,.000,5,1.1,0,0,1,0,0,2,0,0,0,0,0.00,Nipponham Fighters,
Yamamoto Takumi,2,0,0,0,0,0,0,0,0,.000,8,2,1,0,1,0,0,1,0,0,1,1,4.50,Nipponham Fighters,
Yamasaki Sachiya,2,0,0,0,0,0,0,0,0,.000,9,2,3,0,1,0,0,1,0,0,0,0,0.00,Nipponham Fighters,
