#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,Team,League
,Consuegra Stanley,12,37,32,2,7,2,0,1,12,7,0,0,0,1,4,4,0,0,1,0.219,0.297,0.375,0.672,119,0.156,0.214,10.8%,10.8%,1.00,-0.0,24.3%,25,UTL,R,Hanshin Tigers,W
,Maegawa Ukyo,10,39,33,5,11,3,0,1,17,6,1,0,0,0,11,6,0,0,1,0.333,0.436,0.515,0.951,213,0.182,0.476,28.2%,15.4%,0.55,0.1,46.2%,23,3,L,Hanshin Tigers,W
,Nishi Junya,12,42,40,2,13,4,0,0,17,6,0,0,0,0,11,0,0,2,0,0.325,0.357,0.425,0.782,156,0.100,0.448,26.2%,0.0%,0.00,-0.0,26.2%,24,9,R,Hanshin Tigers,W
,Sano Taiyo,13,49,48,9,16,2,0,1,21,6,1,0,0,0,6,0,0,1,0,0.333,0.347,0.438,0.785,157,0.105,0.366,12.2%,0.0%,0.00,0.1,14.3%,24,5,R,Hanshin Tigers,W
,Tanihata Shogo,11,40,36,4,6,2,0,0,8,6,0,0,0,1,3,2,0,1,1,0.167,0.225,0.222,0.447,43,0.055,0.176,7.5%,5.0%,0.67,-0.0,12.5%,22,4,R,Hanshin Tigers,W
,Ramirez Moises,12,47,46,3,12,3,0,0,15,1,0,0,0,0,13,1,0,0,0,0.261,0.277,0.326,0.603,91,0.065,0.364,27.7%,2.1%,0.08,-0.0,29.8%,24,5,R,Hiroshima Carp,W
,Suekane Shota,12,42,39,1,8,1,1,0,11,4,0,0,0,0,6,3,0,0,3,0.205,0.262,0.282,0.544,72,0.077,0.242,14.3%,7.1%,0.50,-0.0,21.4%,30,9,R,Hiroshima Carp,W
,Azuma Junpei,8,32,25,2,3,1,0,1,7,2,0,0,0,0,3,6,1,1,0,0.120,0.313,0.280,0.593,86,0.160,0.095,9.4%,18.8%,2.00,-0.0,31.2%,24,7,R,DeNA BayStars,C
,Miyashita Asahi,11,46,41,2,13,1,0,0,14,1,0,1,0,0,7,5,0,0,1,0.317,0.391,0.341,0.732,129,0.024,0.382,15.2%,10.9%,0.71,-0.4,26.1%,22,6,R,DeNA BayStars,C
,Mori Keito,11,39,30,4,6,1,0,0,7,3,3,1,1,0,9,8,0,0,2,0.200,0.368,0.233,0.601,89,0.033,0.286,23.1%,20.5%,0.89,0.1,43.6%,24,8,L,DeNA BayStars,C
,Oda Koichiro,10,45,38,4,7,1,0,0,8,6,0,0,0,2,5,4,0,1,1,0.184,0.267,0.211,0.478,50,0.027,0.200,11.1%,8.9%,0.80,-0.0,20.0%,22,3,L,DeNA BayStars,C
,Tanai Manato,8,33,32,3,9,1,0,0,10,4,1,0,1,0,3,0,0,0,1,0.281,0.281,0.313,0.594,85,0.032,0.310,9.1%,0.0%,0.00,0.1,9.1%,19,4,R,DeNA BayStars,C
,Fujii Kensho,12,40,39,3,7,4,0,1,14,6,0,0,0,0,20,0,0,1,0,0.179,0.200,0.359,0.559,75,0.180,0.333,50.0%,0.0%,0.00,-0.0,52.5%,18,5,R,Yomiuri Giants,C
,Hagio Masaya,12,35,32,4,10,3,1,0,15,6,1,1,0,1,2,1,0,1,3,0.313,0.343,0.469,0.812,157,0.156,0.323,5.7%,2.9%,0.50,-0.2,8.6%,25,7,R,Yomiuri Giants,C
,Kohama Yuto,12,51,45,6,11,3,0,1,17,9,3,0,0,0,12,6,0,0,2,0.244,0.333,0.378,0.711,125,0.134,0.312,23.5%,11.8%,0.50,0.5,37.3%,24,6,R,Yomiuri Giants,C
,Tima Julian,12,41,39,4,9,2,0,1,14,4,0,0,0,0,7,2,0,0,1,0.231,0.268,0.359,0.627,98,0.128,0.258,17.1%,4.9%,0.29,-0.0,24.4%,21,DH,R,Yomiuri Giants,C
,Mogi Eigoro,10,36,34,1,8,1,0,0,9,3,0,0,0,0,5,2,0,0,0,0.235,0.278,0.265,0.543,72,0.030,0.276,13.9%,5.6%,0.40,-0.0,19.4%,32,5,L,Yakult Swallows,E
,Nishimura Ruito,9,31,26,1,4,1,0,0,5,3,1,0,1,1,6,3,1,0,0,0.154,0.233,0.192,0.425,34,0.038,0.190,19.4%,9.7%,0.50,0.2,29.0%,21,7,L,Yakult Swallows,E
,Sawai Ren,11,42,34,4,5,2,0,1,10,4,0,0,0,1,12,6,0,1,0,0.147,0.286,0.294,0.580,84,0.147,0.182,28.6%,14.3%,0.50,-0.0,45.2%,26,3,L,Yakult Swallows,E
,Yamanobe Kakeru,10,34,32,0,7,0,0,0,7,3,3,1,0,0,12,2,0,0,0,0.219,0.265,0.219,0.484,53,0.000,0.350,35.3%,5.9%,0.17,0.2,41.2%,32,6,R,Yakult Swallows,E
,Bright Kenta,11,40,35,4,7,0,0,2,13,6,0,0,0,0,14,3,0,2,1,0.200,0.300,0.371,0.671,105,0.171,0.263,35.0%,7.5%,0.21,-0.0,47.5%,27,9,R,Chunichi Dragons,C
,Hanada Asahi,11,38,36,5,9,2,0,3,20,8,2,1,0,0,9,1,0,1,2,0.250,0.289,0.556,0.845,155,0.306,0.250,23.7%,2.6%,0.11,-0.0,34.2%,23,8,R,Chunichi Dragons,C
,Mori Shunta,9,40,37,4,5,1,1,1,11,4,0,0,0,0,15,3,0,0,0,0.135,0.200,0.297,0.497,52,0.162,0.190,37.5%,7.5%,0.20,-0.0,47.5%,19,5,L,Chunichi Dragons,C
,Ikeda Ryoma,11,38,36,2,7,3,0,1,13,4,0,1,0,0,9,2,0,0,0,0.194,0.237,0.361,0.598,93,0.167,0.231,23.7%,5.3%,0.22,-0.3,31.6%,22,7,R,ORIX Buffaloes,W
,Naito Ho,12,42,41,2,6,3,0,0,9,5,0,0,0,0,8,1,0,0,2,0.146,0.167,0.220,0.387,22,0.074,0.182,19.0%,2.4%,0.12,-0.0,21.4%,21,5,R,ORIX Buffaloes,W
,Yamanaka Ryoma,10,40,37,3,8,0,0,0,8,2,0,0,0,1,8,2,0,0,0,0.216,0.250,0.216,0.466,50,0.000,0.267,20.0%,5.0%,0.25,-0.0,25.0%,25,3,L,ORIX Buffaloes,W
,Yokoyama Seiya,10,42,40,2,8,1,0,0,9,1,1,0,0,0,17,2,0,0,0,0.200,0.238,0.225,0.463,49,0.025,0.348,40.5%,4.8%,0.12,0.1,45.2%,20,6,L,ORIX Buffaloes,W
,Matsuishi Shinya,12,35,29,1,7,0,0,0,7,0,0,0,3,0,6,3,0,0,2,0.241,0.313,0.241,0.554,70,0.000,0.304,17.1%,8.6%,0.50,-0.0,25.7%,20,6,R,Lotte Marines,E
,Sakurai Yuya,13,48,43,5,11,2,0,0,13,4,0,0,0,1,13,1,0,3,3,0.256,0.313,0.302,0.615,87,0.046,0.355,27.1%,2.1%,0.08,-0.0,29.2%,19,5,R,Lotte Marines,E
,Takeda Aito,12,43,41,4,14,1,0,0,15,3,2,0,0,1,7,1,0,0,2,0.341,0.349,0.366,0.715,116,0.025,0.400,16.3%,2.3%,0.14,0.3,18.6%,29,8,R,Lotte Marines,E
,Takahashi Takanori,11,41,36,11,13,2,0,0,15,7,0,0,0,0,3,5,0,0,2,0.361,0.439,0.417,0.856,169,0.056,0.394,7.3%,12.2%,1.67,-0.0,19.5%,24,5,R,SoftBank Hawks,W
,Aono Takumi,12,48,44,3,14,2,0,0,16,5,0,0,0,1,11,2,0,1,0,0.318,0.354,0.364,0.718,126,0.046,0.412,22.9%,4.2%,0.18,-0.0,27.1%,20,5,R,Rakuten Eagles,E
,Shigenaga Akira,12,46,44,2,8,1,0,0,9,2,3,0,0,0,2,2,0,0,1,0.182,0.217,0.205,0.422,33,0.023,0.190,4.3%,4.3%,1.00,0.5,8.7%,23,4,R,Rakuten Eagles,E
,Yoshino Soshi,13,53,44,4,7,1,0,0,8,2,2,0,0,0,5,8,0,1,0,0.159,0.302,0.182,0.484,53,0.023,0.179,9.4%,15.1%,1.60,0.3,24.5%,22,8,R,Rakuten Eagles,E
