Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,Team,League
Arnaez Jean,4,10,9,0,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0.111,0.111,0.222,0.333,3,0.111,0.125,10.0%,0.0%,0.00,0.0,10.0%,23,3,R,Hanshin Tigers,W
Consuegra Stanley,12,37,32,2,7,2,0,1,12,7,0,0,0,1,4,4,0,0,1,0.219,0.297,0.375,0.672,119,0.156,0.214,10.8%,10.8%,1.00,-0.0,24.3%,25,UTL,R,Hanshin Tigers,W
Devanney Cam,6,25,23,1,4,1,0,0,5,0,0,0,0,0,5,2,0,0,0,0.174,0.240,0.217,0.457,47,0.043,0.222,20.0%,8.0%,0.40,-0.0,28.0%,29,6,R,Hanshin Tigers,W
Fujita Kento,6,6,5,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0.400,0.500,0.400,0.900,198,0.000,0.400,0.0%,16.7%,1.00,-0.3,16.7%,24,2,R,Hanshin Tigers,W
Fukushima Kein,8,31,25,7,11,3,1,0,16,0,4,0,0,0,2,5,0,1,0,0.440,0.548,0.640,1.188,293,0.200,0.478,6.5%,16.1%,2.50,0.6,22.6%,24,8,L,Hanshin Tigers,W
Hamada Taiki,1,5,5,1,4,1,0,0,5,2,0,0,0,0,1,0,0,0,0,0.800,0.800,1.000,1.800,499,0.200,1.000,20.0%,0.0%,0.00,-0.0,20.0%,25,UTL,R,Hanshin Tigers,W
Itsubo Hinase,10,25,22,1,7,1,0,0,8,0,1,0,3,0,1,0,0,0,1,0.318,0.318,0.364,0.682,122,0.046,0.333,4.0%,0.0%,0.00,0.2,4.0%,21,7,R,Hanshin Tigers,W
Kawasaki Toshiaki,5,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,0.000,33.3%,0.0%,0.00,0.0,33.3%,25,7,L,Hanshin Tigers,W
Kumagai Takahiro,2,8,7,2,3,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0.429,0.500,0.429,0.929,207,0.000,0.500,12.5%,12.5%,1.00,0.2,25.0%,30,6,R,Hanshin Tigers,W
Lucas Easton,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,0.000,0.0%,0.0%,,0.0,0.0%,29,DH,L,Hanshin Tigers,W
Machida Hayato,5,9,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,0.000,33.3%,0.0%,0.00,0.0,33.3%,23,2,R,Hanshin Tigers,W
Maegawa Ukyo,10,39,33,5,11,3,0,1,17,6,1,0,0,0,11,6,0,0,1,0.333,0.436,0.515,0.951,213,0.182,0.476,28.2%,15.4%,0.55,0.1,46.2%,23,3,L,Hanshin Tigers,W
Momosaki Aoi,8,18,17,3,5,1,0,1,9,3,0,0,0,0,4,1,0,0,0,0.294,0.333,0.529,0.862,182,0.235,0.333,22.2%,5.6%,0.25,-0.0,33.3%,20,5,R,Hanshin Tigers,W
Motoyama Hiyu,2,7,7,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.429,0.429,0.429,0.858,182,0.000,0.429,0.0%,0.0%,,-0.0,0.0%,27,3,L,Hanshin Tigers,W
Nagasaka Kenya,4,5,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.200,0.000,0.200,-38,0.000,0.000,20.0%,20.0%,1.00,-0.0,40.0%,32,2,R,Hanshin Tigers,W
Nishi Junya,12,42,40,2,13,4,0,0,17,6,0,0,0,0,11,0,0,2,0,0.325,0.357,0.425,0.782,156,0.100,0.448,26.2%,0.0%,0.00,-0.0,26.2%,24,9,R,Hanshin Tigers,W
Ohtake Koutaro,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,,100.0%,0.0%,0.00,0.0,100.0%,31,1,L,Hanshin Tigers,W
Onodera Dan,11,34,31,5,7,1,0,0,8,2,1,0,0,0,8,1,0,2,0,0.226,0.294,0.258,0.552,79,0.032,0.304,23.5%,2.9%,0.12,0.1,26.5%,28,8,R,Hanshin Tigers,W
Sakaeda Yuki,5,17,14,4,4,1,0,0,5,2,0,0,1,0,1,2,0,0,0,0.286,0.375,0.357,0.732,140,0.071,0.308,5.9%,11.8%,2.00,-0.0,17.6%,28,2,R,Hanshin Tigers,W
Sano Taiyo,13,49,48,9,16,2,0,1,21,6,1,0,0,0,6,0,0,1,0,0.333,0.347,0.438,0.785,157,0.105,0.366,12.2%,0.0%,0.00,0.1,14.3%,24,5,R,Hanshin Tigers,W
Shimada Kairi,2,9,8,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0.125,0.125,0.125,0.250,-23,0.000,0.200,33.3%,0.0%,0.00,-0.0,33.3%,30,8,L,Hanshin Tigers,W
Shimamura Rinshiro,3,9,8,2,3,1,0,1,7,1,0,0,0,0,1,1,0,0,0,0.375,0.444,0.875,1.319,334,0.500,0.333,11.1%,11.1%,1.00,-0.0,33.3%,22,2,L,Hanshin Tigers,W
Tanihata Shogo,11,40,36,4,6,2,0,0,8,6,0,0,0,1,3,2,0,1,1,0.167,0.225,0.222,0.447,43,0.055,0.176,7.5%,5.0%,0.67,-0.0,12.5%,22,4,R,Hanshin Tigers,W
Tateishi Masahiro,6,16,15,3,5,0,0,1,8,6,0,0,0,1,5,0,0,0,0,0.333,0.313,0.533,0.846,176,0.200,0.400,31.2%,0.0%,0.00,-0.0,37.5%,22,7,R,Hanshin Tigers,W
Toi Reiji,8,18,17,1,4,1,0,0,5,5,0,0,0,1,2,0,0,0,1,0.235,0.222,0.294,0.516,66,0.059,0.250,11.1%,0.0%,0.00,-0.0,11.1%,21,5,R,Hanshin Tigers,W
Umeno Ryutaro,7,18,16,2,3,1,0,0,4,2,0,0,0,0,5,2,0,0,0,0.188,0.278,0.250,0.528,71,0.062,0.273,27.8%,11.1%,0.40,-0.0,38.9%,35,2,R,Hanshin Tigers,W
Yamada Shuya,12,29,27,3,6,1,0,0,7,2,1,0,0,0,7,2,0,0,0,0.222,0.276,0.259,0.535,73,0.037,0.300,24.1%,6.9%,0.29,0.2,31.0%,20,6,R,Hanshin Tigers,W
Aizawa Tsubasa,4,11,9,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0.111,0.273,0.111,0.384,23,0.000,0.111,0.0%,0.0%,,-0.0,0.0%,38,2,R,Hiroshima Carp,W
Dohbayashi Shota,8,31,27,1,3,0,0,1,6,5,1,0,0,0,2,3,0,1,3,0.111,0.226,0.222,0.448,41,0.111,0.083,6.5%,9.7%,1.50,0.2,19.4%,34,7,R,Hiroshima Carp,W
Hayashi Kota,10,28,26,1,7,0,0,0,7,0,0,0,0,0,9,2,0,0,0,0.269,0.321,0.269,0.590,88,0.000,0.412,32.1%,7.1%,0.22,-0.0,39.3%,25,7,L,Hiroshima Carp,W
Ishihara Tomoki,1,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,33.3%,0.0%,0.00,0.0,33.3%,28,2,R,Hiroshima Carp,W
Katsuda Naru,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.333,0.000,0.333,8,0.000,0.000,0.0%,33.3%,1.00,-0.0,33.3%,23,6,L,Hiroshima Carp,W
Kishimoto Daiki,8,32,29,0,8,0,0,0,8,3,2,1,1,1,7,1,0,0,0,0.276,0.290,0.276,0.566,79,0.000,0.348,21.9%,3.1%,0.14,-0.0,25.0%,24,4,L,Hiroshima Carp,W
Kobayashi Yuta,7,20,17,3,1,1,0,0,2,1,0,0,0,1,9,2,0,0,0,0.059,0.150,0.118,0.268,-16,0.059,0.111,45.0%,10.0%,0.22,-0.0,55.0%,22,DH,L,Hiroshima Carp,W
Kozono Kaito,1,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,111,0.000,0.333,0.0%,0.0%,,-0.0,0.0%,26,5,L,Hiroshima Carp,W
Kubo Shu,2,5,5,0,2,1,0,0,3,1,0,0,0,0,1,0,0,0,1,0.400,0.400,0.600,1.000,217,0.200,0.500,20.0%,0.0%,0.00,-0.0,20.0%,25,8,R,Hiroshima Carp,W
Maekawa Seita,9,30,30,1,6,1,0,1,10,2,0,0,0,0,2,0,0,0,0,0.200,0.200,0.333,0.533,67,0.133,0.185,6.7%,0.0%,0.00,-0.0,10.0%,23,UTL,R,Hiroshima Carp,W
Mochimaru Taiki,5,18,15,3,5,0,0,1,8,2,0,0,0,0,5,2,0,1,0,0.333,0.444,0.533,0.977,210,0.200,0.444,27.8%,11.1%,0.40,-0.0,44.4%,24,DH,L,Hiroshima Carp,W
Mori Shohei,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,0.0%,0.00,0.0,100.0%,28,DH,L,Hiroshima Carp,W
Morishita Masato,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,0.0%,0.0%,,0.0,0.0%,28,1,R,Hiroshima Carp,W
Nabara Norihiko,7,17,15,2,3,0,0,0,3,1,3,1,0,0,1,1,0,1,0,0.200,0.294,0.200,0.494,57,0.000,0.214,5.9%,5.9%,1.00,0.2,11.8%,26,8,R,Hiroshima Carp,W
Nakada Yuto,8,23,19,0,1,1,0,0,2,1,0,0,0,1,6,3,0,0,1,0.053,0.174,0.105,0.279,-12,0.052,0.071,26.1%,13.0%,0.50,-0.0,39.1%,20,3,R,Hiroshima Carp,W
Nakamura Takahiro,9,29,29,1,4,1,0,0,5,0,0,0,0,0,7,0,0,0,1,0.138,0.138,0.172,0.310,-3,0.034,0.182,24.1%,0.0%,0.00,-0.0,24.1%,26,8,L,Hiroshima Carp,W
Nishikawa Atsumu,6,11,10,0,2,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0.200,0.273,0.200,0.473,50,0.000,0.250,18.2%,9.1%,0.50,-0.0,27.3%,18,6,L,Hiroshima Carp,W
Okamoto Shun,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,0.0%,0.0%,,0.0,0.0%,24,1,L,Hiroshima Carp,W
Ramirez Moises,12,47,46,3,12,3,0,0,15,1,0,0,0,0,13,1,0,0,0,0.261,0.277,0.326,0.603,91,0.065,0.364,27.7%,2.1%,0.08,-0.0,29.8%,24,5,R,Hiroshima Carp,W
Roberto Nelson,4,9,9,1,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0.222,0.222,0.222,0.444,40,0.000,0.400,44.4%,0.0%,0.00,-0.0,44.4%,25,9,R,Hiroshima Carp,W
Sato Keisuke,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,111,0.000,0.333,0.0%,0.0%,,-0.0,0.0%,25,4,L,Hiroshima Carp,W
Shimizu Kanato,6,9,8,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0.125,0.222,0.125,0.347,10,0.000,0.143,11.1%,11.1%,1.00,-0.0,22.2%,21,2,L,Hiroshima Carp,W
Suekane Shota,12,42,39,1,8,1,1,0,11,4,0,0,0,0,6,3,0,0,3,0.205,0.262,0.282,0.544,72,0.077,0.242,14.3%,7.1%,0.50,-0.0,21.4%,30,9,R,Hiroshima Carp,W
Takagi Shoto,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,22,2,R,Hiroshima Carp,W
Tamura Shunsuke,5,14,13,0,3,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0.231,0.286,0.231,0.517,64,0.000,0.250,7.1%,7.1%,1.00,-0.0,14.3%,22,9,L,Hiroshima Carp,W
Tatsumi Konosuke,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,66.7%,0.0%,0.00,0.0,66.7%,25,3,R,Hiroshima Carp,W
