Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
Chikamoto Koji,3,14,13,0,1,0,0,0,1,0,0,1,0,0,4,1,0,0,0,0.077,0.143,0.077,0.220,-35,0.000,0.111,28.6%,7.1%,0.25,-0.3,0.0%,28.6%,94.7%,43.3%,9.0%,35.7%,31,8,L,Hanshin Tigers,CL
Fushimi Torai,2,7,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0.000,0.286,0.000,0.286,-9,0.000,0.000,0.0%,14.3%,1.00,-0.0,0.0%,0.0%,88.9%,37.5%,4.2%,14.3%,36,2,R,Hanshin Tigers,CL
Hamada Taiki,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,,100.0%,0.0%,0.00,0.0,,44.4%,60.0%,64.3%,42.9%,100.0%,25,,R,Hanshin Tigers,CL
Hayakawa Daiki,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,20.0%,0.0%,0.0%,26,1,R,Hanshin Tigers,CL
Itoh Masashi,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,786,1.000,1.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,16.7%,0.0%,0.0%,30,1,L,Hanshin Tigers,CL
Itohara Kento,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,50.0%,100.0%,66.7%,33.3%,0.0%,33,,L,Hanshin Tigers,CL
Kinami Seiya,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,507,0.000,1.000,0.0%,0.0%,,-0.0,0.0%,25.0%,100.0%,50.0%,0.0%,0.0%,32,,L,Hanshin Tigers,CL
Kumagai Takahiro,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,,100.0%,50.0%,0.0%,0.0%,30,3,R,Hanshin Tigers,CL
Morishita Shota,3,14,11,2,5,0,0,1,8,2,0,0,0,1,0,2,0,0,1,0.455,0.500,0.727,1.227,265,0.272,0.364,0.0%,14.3%,1.00,-0.0,33.3%,3.8%,100.0%,29.8%,0.0%,21.4%,25,9,R,Hanshin Tigers,CL
Murakami Shoki,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-104,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,50.0%,0.0%,0.0%,28,1,L,Hanshin Tigers,CL
Nakagawa Hayato,3,10,8,1,1,1,0,0,2,2,0,0,1,0,1,1,0,0,0,0.125,0.222,0.250,0.472,39,0.125,0.143,10.0%,10.0%,1.00,-0.0,0.0%,28.6%,60.0%,50.0%,12.5%,20.0%,22,7,R,Hanshin Tigers,CL
Nakano Takumu,3,14,12,4,4,2,0,0,6,0,1,0,0,0,2,2,0,0,0,0.333,0.429,0.500,0.929,178,0.167,0.400,14.3%,14.3%,1.00,0.2,10.0%,15.2%,92.9%,31.1%,3.3%,28.6%,30,4,L,Hanshin Tigers,CL
Obata Ryuhei,3,12,11,0,2,0,0,0,2,1,0,0,0,0,4,0,0,1,0,0.182,0.250,0.182,0.432,30,0.000,0.286,33.3%,0.0%,0.00,-0.0,14.3%,30.0%,64.7%,50.0%,21.7%,33.3%,25,6,L,Hanshin Tigers,CL
Ohyama Yusuke,3,12,7,0,1,0,0,0,1,1,0,0,0,1,0,3,0,1,0,0.143,0.417,0.143,0.560,74,0.000,0.125,0.0%,25.0%,1.00,-0.0,12.5%,8.7%,100.0%,31.0%,4.8%,25.0%,31,3,R,Hanshin Tigers,CL
Sakamoto Seishiro,2,5,4,2,3,0,1,0,5,3,1,0,0,0,0,1,0,0,0,0.750,0.800,1.250,2.050,510,0.500,0.750,0.0%,20.0%,1.00,0.2,25.0%,35.7%,80.0%,50.0%,10.0%,20.0%,32,2,R,Hanshin Tigers,CL
Sato Teruaki,3,13,12,3,4,2,0,0,6,1,0,0,0,0,4,1,0,0,2,0.333,0.385,0.500,0.885,163,0.167,0.500,30.8%,7.7%,0.25,-0.0,37.5%,34.5%,72.2%,53.8%,23.1%,38.5%,27,5,L,Hanshin Tigers,CL
Takahashi Haruto,1,4,3,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0.333,0.333,0.333,0.666,99,0.000,1.000,50.0%,0.0%,0.00,-0.0,0.0%,0.0%,100.0%,8.3%,0.0%,50.0%,30,1,L,Hanshin Tigers,CL
