,Player,ポジション,投打,身長／体重,生年月日,経歴,ドラフト
https://npb.jp/bis/players/33535150.html,Ｊ．アルナエス,内野手,右投右打,176cm／87kg,2002年8月22日,シエンシアス高 - 米マイナー,
https://npb.jp/bis/players/31335139.html,岩崎　優,投手,左投左打,185cm／92kg,1991年6月19日,清水東高 - 国士舘大,2013年ドラフト6位
https://npb.jp/bis/players/51355139.html,岩貞　祐太,投手,左投左打,183cm／86kg,1991年9月5日,必由館高 - 横浜商科大,2013年ドラフト1位
https://npb.jp/bis/players/81185134.html,糸原　健斗,内野手,右投左打,175cm／80kg,1992年11月11日,開星高 - 明治大 - JX-ENEOS,2016年ドラフト5位
https://npb.jp/bis/players/31335151.html,井上　広大,外野手,右投右打,189cm／100kg,2001年8月12日,履正社高,2019年ドラフト2位
https://npb.jp/bis/players/41145153.html,石井　大智,投手,右投右打,175cm／79kg,1997年7月29日,秋田工高専 - 四国・高知,2020年ドラフト8位
https://npb.jp/bis/players/71375153.html,伊藤　将司,投手,左投左打,179cm／83kg,1996年5月8日,横浜高 - 国際武道大 - JR東日本,2020年ドラフト2位
https://npb.jp/bis/players/31335155.html,伊藤　稜,投手,左投左打,178cm／88kg,1999年11月8日,中京大中京高 - 中京大,2021年育成選手ドラフト1位
https://npb.jp/bis/players/41145157.html,井坪　陽生,外野手,右投右打,177cm／89kg,2005年3月17日,関東第一高,2022年ドラフト3位
https://npb.jp/bis/players/81185157.html,茨木　秀俊,投手,右投右打,183cm／87kg,2004年6月8日,帝京長岡高,2022年ドラフト4位
https://npb.jp/bis/players/01105159.html,石黒　佑弥,投手,右投右打,180cm／86kg,2001年6月20日,星城高 - JR西日本,2023年ドラフト5位
https://npb.jp/bis/players/71375150.html,伊原　陵人,投手,左投左打,170cm／75kg,2000年8月7日,智弁学園高 - 大阪商業大 - NTT西日本,2024年ドラフト1位
https://npb.jp/bis/players/21325139.html,梅野　隆太郎,捕手,右投右打,173cm／75kg,1991年6月17日,福岡工大城東高 - 福岡大,2013年ドラフト4位
https://npb.jp/bis/players/01305130.html,植田　海,内野手,右投両打,175cm／69kg,1996年4月19日,近江高,2014年ドラフト5位
https://npb.jp/bis/players/11315138.html,漆原　大晟,,右投左打,182cm／84kg,1996年9月10日,新潟明訓高 - 新潟医療福祉大,2018年育成選手ドラフト1位
https://npb.jp/bis/players/21325134.html,大山　悠輔,内野手,右投右打,181cm／96kg,1994年12月19日,つくば秀英高 - 白鴎大,2016年ドラフト1位
https://npb.jp/bis/players/41345136.html,大竹　耕太郎,投手,左投左打,184cm／87kg,1995年6月29日,済々黌高 - 早稲田大,2017年育成選手ドラフト4位
https://npb.jp/bis/players/31535138.html,小幡　竜平,内野手,右投左打,184cm／78kg,2000年9月21日,延岡学園高,2018年ドラフト2位
https://npb.jp/bis/players/11715151.html,小川　一平,投手,右投右打,183cm／86kg,1997年6月3日,県立横須賀工 - 東海大九州キャンパス,2019年ドラフト6位
https://npb.jp/bis/players/71775151.html,小野寺　暖,外野手,右投右打,183cm／81kg,1998年3月17日,京都翔英高 - 大阪商業大,2019年育成選手ドラフト1位
https://npb.jp/bis/players/91795151.html,及川　雅貴,投手,左投左打,184cm／86kg,2001年4月18日,横浜高,2019年ドラフト3位
https://npb.jp/bis/players/11515155.html,岡留　英貴,投手,右投右打,181cm／96kg,1999年11月7日,沖縄尚学高 - 亜細亜大,2021年ドラフト5位
https://npb.jp/bis/players/11715138.html,川原　陸,,左投左打,186cm／92kg,2000年12月12日,創成館高,2018年ドラフト5位
https://npb.jp/bis/players/51755150.html,川﨑　俊哲,内野手,右投左打,174cm／72kg,2001年5月2日,輪島高 - 日本海・石川,2024年育成選手ドラフト4位
https://npb.jp/bis/players/31735138.html,木浪　聖也,内野手,右投左打,179cm／81kg,1994年6月15日,青森山田高 - 亜細亜大 - ホンダ,2018年ドラフト3位
https://npb.jp/bis/players/01705155.html,桐敷　拓馬,投手,左投左打,179cm／92kg,1999年6月20日,本庄東高 - 新潟医療福祉大,2021年ドラフト3位
https://npb.jp/bis/players/41745150.html,木下　里都,投手,右投右打,183cm／89kg,2001年1月27日,福岡舞鶴高 - 福岡大 - KMGホールディングス,2024年ドラフト3位
https://npb.jp/bis/players/61565136.html,楠本　泰史,,右投左打,180cm／85kg,1995年7月7日,花咲徳栄高 - 東北福祉大,2017年ドラフト8位
https://npb.jp/bis/players/81585136.html,熊谷　敬宥,内野手,右投右打,175cm／69kg,1995年11月10日,仙台育英高 - 立教大,2017年ドラフト3位
https://npb.jp/bis/players/81785150.html,工藤　泰成,投手,右投左打,177cm／82kg,2001年11月19日,明桜高 - 東京国際大 - 四国・徳島,2024年育成選手ドラフト1位
https://npb.jp/bis/players/33735159.html,Ｊ．ゲラ,,右投左打,183cm／85kg,1995年9月25日,セントロエドゥカティーボクルトゥラルビリンゲエゼル校 - パドレス - レイズ - ブルワーズ - レイズ,
https://npb.jp/bis/players/31935150.html,今朝丸　裕喜,投手,右投右打,188cm／75kg,2006年6月2日,報徳学園高,2024年ドラフト2位
https://npb.jp/bis/players/03505150.html,Ｓ．コンスエグラ,外野手,右投右打,190cm／93kg,2000年9月24日,セナペック高 - 米マイナー,
https://npb.jp/bis/players/11915132.html,坂本　誠志郎,捕手,右投右打,176cm／79kg,1993年11月10日,履正社高 - 明治大,2015年ドラフト2位
https://npb.jp/bis/players/41745134.html,才木　浩人,投手,右投右打,189cm／90kg,1998年11月7日,須磨翔風高,2016年ドラフト3位
https://npb.jp/bis/players/51055153.html,榮枝　裕貴,捕手,右投右打,180cm／84kg,1998年5月16日,高知高 - 立命館大,2020年ドラフト4位
https://npb.jp/bis/players/41045153.html,佐藤　輝明,内野手,右投左打,187cm／96kg,1999年3月13日,仁川学院高 - 近畿大,2020年ドラフト1位
https://npb.jp/bis/players/81085153.html,佐藤　蓮,,右投右打,189cm／105kg,1998年4月11日,飛龍高 - 上武大,2020年ドラフト3位
https://npb.jp/bis/players/91095150.html,佐野　大陽,内野手,右投右打,178cm／79kg,2002年2月14日,常葉橘高 - 中部大 - 日本海・富山,2024年ドラフト5位
https://npb.jp/bis/players/51055133.html,島本　浩也,投手,左投左打,176cm／73kg,1993年2月14日,福知山成美高,2010年育成選手ドラフト2位
https://npb.jp/bis/players/91995136.html,島田　海吏,外野手,右投左打,176cm／74kg,1996年2月6日,九州学院高 - 上武大,2017年ドラフト4位
https://npb.jp/bis/players/21925159.html,椎葉　剛,投手,右投右打,183cm／92kg,2002年3月18日,島原中央高 - ミキハウス - 四国・徳島,2023年ドラフト2位
https://npb.jp/bis/players/61965159.html,下村　海翔,投手,右投右打,174cm／70kg,2002年3月27日,九州国際大付高 - 青山学院大,2023年ドラフト1位
https://npb.jp/bis/players/31235150.html,嶋村　麟士朗,捕手,右投左打,177cm／90kg,2003年7月13日,高知商 - 四国・高知,2024年育成選手ドラフト2位
https://npb.jp/bis/players/91095136.html,髙橋　遥人,投手,左投左打,181cm／82kg,1995年11月7日,常葉橘高 - 亜細亜大,2017年ドラフト2位
https://npb.jp/bis/players/41245153.html,髙寺　望夢,内野手,右投左打,178cm／78kg,2002年10月17日,上田西高,2020年ドラフト7位
https://npb.jp/bis/players/71075138.html,近本　光司,外野手,左投左打,171cm／71kg,1994年11月9日,社高 - 関西学院大 - 大阪ガス,2018年ドラフト1位
https://npb.jp/bis/players/11415159.html,津田　淳哉,投手,右投右打,179cm／82kg,2001年8月27日,高田商 - 大阪経済大,2023年ドラフト6位
https://npb.jp/bis/players/13715150.html,Ｊ．デュプランティエ,投手,右投左打,193cm／103kg,1994年7月11日,ライス大 - ダイヤモンドバックス,
https://npb.jp/bis/players/03505132.html,Ｒ．ドリス,投手,右投右打,196cm／106kg,1988年1月10日,ディビナプロビデンシア高 - カブス,
https://npb.jp/bis/players/31435155.html,豊田　寛,外野手,右投右打,178cm／87kg,1997年4月28日,東海大相模高 - 国際武道大 - 日立製作所,2021年ドラフト6位
https://npb.jp/bis/players/11215157.html,戸井　零士,内野手,右投右打,181cm／80kg,2005年1月18日,天理高,2022年ドラフト5位
https://npb.jp/bis/players/51255157.html,富田　蓮,投手,左投左打,176cm／78kg,2001年9月6日,大垣商 - 三菱自動車岡崎,2022年ドラフト6位
https://npb.jp/bis/players/91495134.html,長坂　拳弥,捕手,右投右打,173cm／84kg,1994年4月28日,高崎健康福祉大高崎高 - 東北福祉大,2016年ドラフト7位
https://npb.jp/bis/players/41445153.html,中野　拓夢,内野手,右投左打,172cm／68kg,1996年6月28日,日大山形高 - 東北福祉大 - 三菱自動車岡崎,2020年ドラフト6位
https://npb.jp/bis/players/51455155.html,中川　勇斗,捕手,右投右打,172cm／76kg,2004年1月27日,京都国際高,2021年ドラフト7位
https://npb.jp/bis/players/71275118.html,西　勇輝,投手,右投右打,181cm／83kg,1990年11月10日,菰野高,2008年ドラフト3位
https://npb.jp/bis/players/91495151.html,西　純矢,外野手,右投右打,184cm／99kg,2001年9月13日,創志学園高,2019年ドラフト1位
https://npb.jp/bis/players/73775150.html,Ｎ．ネルソン,,右投右打,185cm／92kg,1995年12月5日,ガルフコーストコミュニティカレッジ - ヤンキース - フィリーズ,
https://npb.jp/bis/players/01405157.html,野口　恭佑,,右投右打,180cm／87kg,2000年7月17日,創成館高 - 九州産業大,2022年育成選手ドラフト1位
https://npb.jp/bis/players/61065131.html,原口　文仁,,右投右打,182cm／97kg,1992年3月3日,帝京高,2009年ドラフト6位
https://npb.jp/bis/players/31635134.html,畠　世周,投手,右投左打,186cm／94kg,1994年5月31日,近大福山高 - 近畿大,2016年ドラフト2位
https://npb.jp/bis/players/57955159.html,早川　太貴,投手,右投右打,186cm／93kg,1999年12月18日,北海道大麻高 - 小樽商科大 - ウイン北広島,2024年育成選手ドラフト3位
https://npb.jp/bis/players/43045150.html,Ｇ．ハートウィグ,,右投右打,196cm／106kg,1997年12月18日,マイアミ大（オハイオ） - メッツ,
https://npb.jp/bis/players/03905157.html,Ｊ．ビーズリー,,右投右打,191cm／102kg,1995年11月20日,クレムソン大 - ダイヤモンドバックス - ブルージェイズ,
https://npb.jp/bis/players/91695151.html,藤田　健斗,捕手,右投右打,173cm／78kg,2001年10月18日,中京学院大中京高,2019年ドラフト5位
https://npb.jp/bis/players/11815159.html,福島　圭音,外野手,右投左打,171cm／69kg,2001年10月6日,聖望学園高 - 白鴎大,2023年育成選手ドラフト2位
https://npb.jp/bis/players/63765150.html,Ｒ．ヘルナンデス,,右投右打,193cm／102kg,1996年3月2日,セナペック高 - 米マイナー,
https://npb.jp/bis/players/21825155.html,前川　右京,外野手,左投左打,176cm／92kg,2003年5月18日,智弁学園高,2021年ドラフト4位
https://npb.jp/bis/players/93195159.html,松原　快,投手,右投右打,180cm／93kg,1999年8月24日,高朋高 - ロキテクノ富山 - 日本海・富山,2023年育成選手ドラフト1位
https://npb.jp/bis/players/13215159.html,Ａ．マルティネス,投手,右投右打,190cm／96kg,2000年1月10日,セナペック高 - 米マイナー,
https://npb.jp/bis/players/41845150.html,町田　隼乙,捕手,右投右打,186cm／86kg,2003年4月3日,光明相模原高 - BC・埼玉,2024年ドラフト4位
https://npb.jp/bis/players/13315153.html,村上　頌樹,投手,右投左打,175cm／84kg,1998年6月25日,智弁学園高 - 東洋大,2020年ドラフト5位
https://npb.jp/bis/players/03305155.html,森木　大智,,右投右打,184cm／94kg,2003年4月17日,高知高,2021年ドラフト1位
https://npb.jp/bis/players/43145157.html,森下　翔太,外野手,右投右打,182cm／93kg,2000年8月14日,東海大相模高 - 中央大,2022年ドラフト1位
https://npb.jp/bis/players/53355157.html,門別　啓人,投手,左投左打,183cm／86kg,2004年7月10日,東海大札幌高,2022年ドラフト2位
https://npb.jp/bis/players/23325159.html,百﨑　蒼生,内野手,右投右打,179cm／77kg,2005年9月11日,東海大熊本星翔高,2023年ドラフト4位
https://npb.jp/bis/players/63365159.html,山田　脩也,内野手,右投右打,177cm／72kg,2005年8月20日,仙台育英高,2023年ドラフト3位
https://npb.jp/bis/players/41845138.html,湯浅　京己,投手,右投右打,183cm／86kg,1999年7月17日,聖光学院高 - BC・富山,2018年ドラフト6位
https://npb.jp/bis/players/81685139.html,渡邉　諒,,右投右打,178cm／86kg,1995年4月30日,東海大甲府高,2013年ドラフト1位
https://npb.jp/bis/players/31135114.html,會澤　翼,捕手,右投右打,175cm／95kg,1988年4月13日,水戸短大付高,2006年高校生ドラフト3巡目
