Player,Link,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,投球回_2,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
岩崎　優,https://npb.jp/bis/players/31335139.html,2014,阪　神,17,5,4,0,0.0,0.0,0,0,0,0.556,379,90.0,,85,6,26,4,76,1,0,37,35,3.50
岩崎　優,https://npb.jp/bis/players/31335139.html,2015,阪　神,15,3,10,0,0.0,0.0,0,0,0,0.231,326,77.0,,74,7,19,5,57,0,0,39,30,3.51
岩崎　優,https://npb.jp/bis/players/31335139.html,2016,阪　神,16,3,5,0,0.0,0.0,0,0,0,0.375,319,74.0,.1,73,10,27,2,59,3,0,33,30,3.63
岩崎　優,https://npb.jp/bis/players/31335139.html,2017,阪　神,66,4,1,0,15.0,19.0,0,0,0,0.8,311,71.0,.2,63,2,27,5,88,0,0,28,19,2.39
岩崎　優,https://npb.jp/bis/players/31335139.html,2018,阪　神,61,1,3,0,10.0,11.0,0,0,0,0.25,275,62.0,,66,8,25,4,70,5,0,37,34,4.94
岩崎　優,https://npb.jp/bis/players/31335139.html,2019,阪　神,48,3,0,0,26.0,29.0,0,0,0,1.0,204,53.0,.2,24,5,17,3,58,1,0,11,6,1.01
岩崎　優,https://npb.jp/bis/players/31335139.html,2020,阪　神,41,5,2,2,17.0,22.0,0,0,0,0.714,163,39.0,.2,26,2,15,2,37,3,0,9,8,1.82
岩崎　優,https://npb.jp/bis/players/31335139.html,2021,阪　神,62,3,4,1,41.0,44.0,0,0,0,0.429,230,57.0,.2,47,6,15,0,51,3,0,21,17,2.65
岩崎　優,https://npb.jp/bis/players/31335139.html,2022,阪　神,57,1,6,28,11.0,12.0,0,0,0,0.143,239,55.0,,63,1,10,2,44,0,0,16,12,1.96
岩崎　優,https://npb.jp/bis/players/31335139.html,2023,阪　神,60,3,3,35,12.0,15.0,0,0,0,0.5,217,56.0,,32,3,14,2,62,0,0,13,11,1.77
岩崎　優,https://npb.jp/bis/players/31335139.html,2024,阪　神,60,4,4,23,17.0,21.0,0,0,0,0.5,231,57.0,.1,48,3,15,0,46,1,0,14,14,2.20
