,Player,Link,Year,Team,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,HP,SO,GDP,AVG,SLG,OBP,ParkF,OPS,ISO,K%,BB%,BB/K,TTO%,BABIP,OPS+,wSB,Pos,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%
0,Iwazaki Suguru,https://npb.jp/bis/players/31335139.html,2014,Hanshin Tigers,17,27,25,1,4,1,0,0,5,0,0,0,2,0,0,0,15,0,0.16,0.2,0.16,0.925,0.36,0.04000000000000001,0.5555555555555556,0.0,0.0,0.5555555555555556,0.4,0.6448675736667201,-0.0043767329361099625,,,,,,
1,Iwasada Yuta,https://npb.jp/bis/players/51355139.html,2014,Hanshin Tigers,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.925,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,-108.1081081081081,0.0,,,,,,
2,Umeno Ryutaro,https://npb.jp/bis/players/21325139.html,2014,Hanshin Tigers,92,265,249,23,49,13,2,7,87,21,0,1,2,2,10,2,78,7,0.197,0.349,0.232,0.925,0.581,0.15199999999999997,0.2943396226415094,0.03773584905660377,0.1282051282051282,0.3584905660377358,0.25301204819277107,66.13822420872965,-0.3868975281694295,,,,,,
3,Nishi Yuki,https://npb.jp/bis/players/71275118.html,2014,ORIX Buffaloes,24,7,5,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0.0,0.0,0.0,0.985,0.0,0.0,0.7142857142857143,0.0,0.0,0.7142857142857143,,-101.5228426395939,0.0,,,,,,
4,Watanabe Ryo,https://npb.jp/bis/players/81685139.html,2014,Nipponham Fighters,2,6,5,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0.2,0.2,0.333,0.985,0.533,0.0,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5,54.0514658044389,-0.0029178219574066415,,,,,,
5,Aizawa Tsubasa,https://npb.jp/bis/players/31135114.html,2014,Hiroshima Carp,65,200,179,25,55,9,0,10,94,30,0,1,1,2,16,2,28,6,0.307,0.525,0.367,0.9650000000000001,0.892,0.21800000000000003,0.14,0.08,0.5714285714285714,0.27,0.3146853146853147,153.30345060261052,-0.4087811928499793,,,,,,
6,Akiyama Shogo,https://npb.jp/bis/players/31135133.html,2014,Seibu Lions,131,561,475,64,123,24,6,4,171,47,3,3,11,2,70,3,98,4,0.259,0.36,0.356,1.03,0.716,0.10099999999999998,0.1746880570409982,0.12477718360071301,0.7142857142857143,0.3065953654188948,0.31733333333333336,98.80215438270666,-0.7163435785499379,,,,,,
7,Uemoto Takashi,https://npb.jp/bis/players/31335137.html,2014,Hiroshima Carp,18,8,7,3,2,0,0,0,2,0,0,0,0,0,1,0,2,0,0.286,0.286,0.375,0.9650000000000001,0.661,0.0,0.25,0.125,0.5,0.375,0.4,91.54601530231939,-0.0043767329361099625,,,,,,
8,Ohsera Daichi,https://npb.jp/bis/players/61365139.html,2014,Hiroshima Carp,26,57,53,4,5,1,1,0,8,3,0,0,2,0,2,0,35,1,0.094,0.151,0.127,0.9650000000000001,0.278,0.056999999999999995,0.6140350877192983,0.03508771929824561,0.05714285714285714,0.6491228070175439,0.2777777777777778,-22.966808464421685,-0.0072945548935166036,,,,,,
9,Kikuchi Ryosuke,https://npb.jp/bis/players/61565135.html,2014,Hiroshima Carp,144,654,579,88,188,39,2,11,264,58,23,10,43,5,24,3,79,9,0.325,0.456,0.352,0.9650000000000001,0.808,0.131,0.12079510703363915,0.03669724770642202,0.3037974683544304,0.1743119266055046,0.3582995951417004,130.01550690068686,0.37219751047135863,,,,,,
