,Pitcher,Link,Year,Team,G,W,L,SV,HLD,CG,SHO,WPCT,BF,IP,H,HR,BB,HB,SO,WP,BK,R,ER,ERA,ParkF,kwERA,K%,BB%,K-BB%,WHIP,HR%,ERA+,kwERA-,FIP,Diff,FIP-,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo
0,Iwazaki Suguru,https://npb.jp/bis/players/31335139.html,2014,Hanshin Tigers,17,5,4,0,0.0,0,0,0.556,379,90.0,85,6,26,4,76,1,0,37,35,3.5,0.925,3.4807387862796833,0.20052770448548812,0.06860158311345646,0.13192612137203166,1.2333333333333334,0.0158311345646438,99.25837320580455,91.12230525587057,3.5727777777777776,-0.07277777777777761,100.7643693961816,,,,,,
1,Iwasada Yuta,https://npb.jp/bis/players/51355139.html,2014,Hanshin Tigers,6,1,4,0,0.0,0,0,0.2,127,29.1,24,2,15,0,21,0,0,18,15,4.6,0.925,4.32755905511811,0.16535433070866143,0.11811023622047244,0.04724409448818899,1.3295454545469652,0.015748031496062992,75.52267526528608,113.29122391708069,4.383636363637487,0.21636363636251232,123.63331315804442,,,,,,
2,Nishi Yuki,https://npb.jp/bis/players/71275118.html,2014,ORIX Buffaloes,24,12,10,0,0.0,3,1,0.545,640,156.0,146,11,35,7,119,1,0,65,57,3.29,0.985,3.4875,0.1859375,0.0546875,0.13125,1.1602564102564104,0.0171875,112.44335550053763,91.29930715643012,3.593717948717949,-0.3037179487179489,95.1810470085579,,,,,,
3,Ohsera Daichi,https://npb.jp/bis/players/61365139.html,2014,Hiroshima Carp,26,10,8,0,0.0,3,1,0.556,648,151.0,165,20,40,3,116,5,0,80,68,4.05,0.9650000000000001,3.6271604938271604,0.17901234567901234,0.06172839506172839,0.11728395061728394,1.3576158940397351,0.030864197530864196,89.48819633035832,94.95548101264365,4.434735099337749,-0.38473509933774874,119.8900356724612,,,,,,
4,Nakazaki Shota,https://npb.jp/bis/players/31235133.html,2014,Hiroshima Carp,32,2,3,1,10.0,0,0,0.4,193,43.2,45,2,15,3,32,0,0,20,19,3.92,0.9650000000000001,3.9191709844559584,0.16580310880829016,0.07772020725388601,0.08808290155440415,1.374045801528815,0.010362694300518135,92.45591712702836,102.60002738592493,3.7614122137410173,0.15858778625898262,101.68721115982424,,,,,,
5,Fujinami Shintaro,https://npb.jp/bis/players/41045137.html,2014,Hanshin Tigers,25,11,8,0,0.0,2,0,0.579,704,163.0,150,6,64,11,172,6,0,79,64,3.53,0.925,3.2659090909090907,0.24431818181818182,0.09090909090909091,0.1534090909090909,1.312883435582822,0.008522727272727272,98.41481762615182,85.49827590993164,3.143466257668712,0.386533742331288,88.65633825375413,,,,,,
6,Mishima Kazuki,https://npb.jp/bis/players/41245137.html,2014,DeNA BayStars,8,1,2,0,0.0,0,0,0.333,126,24.0,41,5,14,1,24,4,3,30,29,10.88,1.0899999999999999,4.006349206349206,0.19047619047619047,0.1111111111111111,0.07936507936507936,2.2916666666666665,0.03968253968253968,37.62626130565821,104.88226717316023,5.9783333333333335,4.901666666666667,143.08573803807064,,,,,,
7,Mori Yuito,https://npb.jp/bis/players/01405139.html,2014,SoftBank Hawks,58,4,1,0,20.0,0,0,0.8,247,65.2,47,1,15,1,54,0,0,17,17,2.33,0.9550000000000001,3.221052631578947,0.21862348178137653,0.06072874493927125,0.15789473684210528,0.9441624365491817,0.004048582995951417,153.93625446718556,84.3239780867538,2.6792639593901364,-0.3492639593901363,73.19052293620044,,,,,,
8,Imamura Nobutaka,https://npb.jp/bis/players/31335135.html,2014,Yomiuri Giants,13,2,1,0,1.0,0,0,0.667,172,36.1,47,9,14,2,19,3,0,29,25,6.19,0.995,4.5093023255813955,0.11046511627906977,0.08139534883720931,0.02906976744186046,1.6788990825703474,0.05232558139534884,60.37065619162804,118.04908332170912,6.890412844039904,-0.7004128440399038,180.66119667010798,,,,,,
9,Ishikawa Masanori,https://npb.jp/bis/players/11315115.html,2014,Yakult Swallows,27,10,10,0,0.0,2,2,0.5,725,165.0,181,20,49,6,101,2,0,97,87,4.75,1.08,4.082758620689655,0.1393103448275862,0.06758620689655172,0.07172413793103448,1.393939393939394,0.027586206896551724,85.3932633212953,106.8825902095793,4.746515151515151,0.003484848484848868,114.65522096523537,,,,,,
10,Ishiyama Taichi,https://npb.jp/bis/players/21125137.html,2014,Yakult Swallows,35,3,8,0,2.0,0,0,0.273,480,109.1,111,15,46,3,79,0,0,59,55,4.53,1.08,4.1125,0.16458333333333333,0.09583333333333334,0.06874999999999999,1.4359756097565357,0.03125,89.54039752232949,107.66119015937458,5.077926829268806,-0.547926829268806,122.66068980507994,,,,,,
11,Ogawa Yasuhiro,https://npb.jp/bis/players/11515137.html,2014,Yakult Swallows,17,9,6,0,0.0,0,0,0.6,469,108.1,119,13,22,3,108,1,1,52,44,3.66,1.08,2.9663113006396586,0.2302771855010661,0.046908315565031986,0.18336886993603413,1.3015384615388623,0.02771855010660981,110.82459037599797,77.655101522205,3.653461538461618,0.006538461538382112,88.25178612283388,,,,,,
12,Iwasaki Sho,https://npb.jp/bis/players/31335116.html,2014,SoftBank Hawks,18,4,1,0,3.0,0,0,0.8,266,62.0,64,10,15,4,37,0,0,32,28,4.06,0.9550000000000001,3.9729323308270676,0.13909774436090225,0.05639097744360902,0.08270676691729323,1.2741935483870968,0.03759398496240601,88.34272731737498,104.0074463609727,5.2175806451612905,-1.1575806451612909,142.53073294356454,,,,,,
13,Okada Toshiya,https://npb.jp/bis/players/11515131.html,2014,Chunichi Dragons,38,3,7,1,4.0,0,0,0.3,307,72.2,67,5,31,2,51,0,0,39,35,4.33,0.935,4.148534201954397,0.16612377850162866,0.10097719869706841,0.06514657980456025,1.3486238532122463,0.016286644951140065,81.09931372972858,108.6045299937463,4.248211009175095,0.0817889908249052,118.53243025941451,,,,,,
14,Ohno Yudai,https://npb.jp/bis/players/11515133.html,2014,Chunichi Dragons,25,10,8,0,0.0,3,1,0.556,682,165.0,156,14,47,6,119,3,0,60,53,2.89,0.935,3.744281524926686,0.1744868035190616,0.0689149560117302,0.1055718475073314,1.2303030303030302,0.020527859237536656,121.50866036322654,98.0215939854991,4.0192424242424245,-1.1292424242424244,112.14381096378338,,,,,,
15,Sobue Daisuke,https://npb.jp/bis/players/91995139.html,2014,Chunichi Dragons,54,0,3,0,11.0,0,0,0.0,240,58.2,52,6,19,1,36,3,0,25,23,3.53,0.935,4.091666666666667,0.15,0.07916666666666666,0.07083333333333333,1.2102272727286478,0.025,99.4787616004886,107.11579405927645,4.5200000000012786,-0.9900000000012787,126.11581289525886,,,,,,
16,Matsuba Takahiro,https://npb.jp/bis/players/21225137.html,2014,ORIX Buffaloes,21,8,1,0,0.0,0,0,0.889,468,113.2,95,7,45,2,88,7,1,41,35,2.77,0.985,3.8811965811965807,0.18803418803418803,0.09615384615384616,0.09188034188034187,1.2316715542529217,0.014957264957264958,133.55185545009704,101.60589499674641,3.887668621701169,-1.1176686217011689,102.96644731616813,,,,,,
17,Wakui Hideaki,https://npb.jp/bis/players/31635110.html,2014,Lotte Marines,26,8,12,0,0.0,1,0,0.4,708,164.2,158,9,63,10,116,7,1,81,77,4.21,1.0150000000000001,4.051412429378531,0.1638418079096045,0.08898305084745763,0.07485875706214688,1.3421052631584385,0.012711864406779662,90.54769745486824,106.06197786586647,4.026578947368677,0.18342105263132336,103.49345745683556,,,,,,
18,Kuri Allen,https://npb.jp/bis/players/71775139.html,2014,Hiroshima Carp,20,2,5,0,0.0,0,0,0.286,366,83.1,93,9,31,6,50,3,2,45,37,4.0,0.9650000000000001,4.28087431693989,0.1366120218579235,0.08469945355191257,0.051912568306010945,1.4880000000005957,0.02459016393442623,90.6067987844878,112.06906355852848,4.931000000000615,-0.9310000000006147,133.3062184456659,,,,,,
19,Hirano Yoshihisa,https://npb.jp/bis/players/81285112.html,2014,ORIX Buffaloes,62,1,6,40,8.0,0,0,0.143,238,60.1,52,6,13,0,70,1,1,23,23,3.43,0.985,2.4050420168067226,0.29411764705882354,0.0546218487394958,0.23949579831932774,1.0773480662989376,0.025210084033613446,107.85383078622996,62.961625753851514,3.0137845303865296,0.41621546961347056,79.82128012097327,,,,,,
20,Ishikawa Ayumu,https://npb.jp/bis/players/41145139.html,2014,Lotte Marines,25,10,8,0,0.0,2,1,0.556,669,160.0,165,10,37,4,111,3,0,72,61,3.43,1.0150000000000001,3.693871449925261,0.16591928251121077,0.05530642750373692,0.11061285500747385,1.2625,0.014947683109118086,111.13871903352633,96.70190798655035,3.58875,-0.15874999999999995,92.24012500510693,,,,,,
21,Karakawa Yuki,https://npb.jp/bis/players/21525116.html,2014,Lotte Marines,23,4,9,0,1.0,1,0,0.308,520,116.0,146,10,33,8,62,3,1,65,60,4.66,1.0150000000000001,4.242307692307692,0.11923076923076924,0.06346153846153846,0.05576923076923078,1.543103448275862,0.019230769230769232,81.80382109120072,111.05942739844767,4.507068965517242,0.15293103448275858,115.8432893865408,,,,,,
22,Kuniyoshi Yuki,https://npb.jp/bis/players/01705131.html,2014,DeNA BayStars,49,2,3,2,14.0,0,0,0.4,267,62.1,61,4,23,1,59,4,0,29,24,3.47,1.0899999999999999,3.451685393258427,0.2209737827715356,0.08614232209737828,0.1348314606741573,1.3475935828884211,0.0149812734082397,117.97513631284188,90.3617161079468,3.49125668449203,-0.021256684492029887,83.55991737622911,,,,,,
23,Sawamura Hirokazu,https://npb.jp/bis/players/81985133.html,2014,Yomiuri Giants,12,5,3,0,0.0,2,1,0.625,299,72.2,69,3,14,2,66,5,0,31,30,3.72,0.995,3.0608695652173914,0.22073578595317725,0.046822742474916385,0.17391304347826086,1.142201834863433,0.010033444816053512,100.45547360918752,80.13054354137672,2.7757339449535605,0.9442660550464397,72.77755738060182,,,,,,
24,Nishino Yuji,https://npb.jp/bis/players/01205118.html,2014,Lotte Marines,57,1,1,31,9.0,0,0,0.5,219,58.0,33,4,15,0,63,3,0,12,12,1.86,1.0150000000000001,2.6082191780821917,0.2876712328767123,0.0684931506849315,0.2191780821917808,0.8275862068965517,0.0182648401826484,204.9493582177394,68.28060326050688,2.895,-1.035,74.4089618640988,,,,,,
25,Masuda Naoya,https://npb.jp/bis/players/71675135.html,2014,Lotte Marines,52,7,3,1,23.0,0,0,0.7,226,51.0,56,3,16,2,57,2,0,28,28,4.94,1.0150000000000001,2.9858407079646017,0.252212389380531,0.07079646017699115,0.18141592920353983,1.411764705882353,0.01327433628318584,77.1671672641691,78.1663621266331,2.983235294117647,1.9567647058823532,76.67683634944164,,,,,,
26,Mima Manabu,https://npb.jp/bis/players/01605133.html,2014,Rakuten Eagles,14,2,9,0,0.0,0,0,0.182,327,72.2,84,4,25,7,51,0,0,41,39,4.83,1.0150000000000001,4.004892966360856,0.1559633027522936,0.0764525993883792,0.07951070336391439,1.500000000001376,0.012232415902140673,78.9245975745332,104.84414424785847,4.028027522936361,0.8019724770636394,103.53068958262936,,,,,,
27,Uwasawa Naoyuki,https://npb.jp/bis/players/51355135.html,2014,Nipponham Fighters,23,8,8,0,1.0,2,1,0.5,559,135.1,113,14,45,7,105,2,2,49,48,3.19,0.985,3.726654740608229,0.18783542039355994,0.08050089445438283,0.10733452593917711,1.1674876847293518,0.025044722719141325,115.96822557892439,97.56014217312033,4.340812807882006,-1.1508128078820064,114.96815103972267,,,,,,
28,Takeda Shota,https://npb.jp/bis/players/01005135.html,2014,SoftBank Hawks,7,3,3,0,0.0,1,0,0.5,185,43.1,36,1,22,2,43,0,1,15,9,1.87,0.9550000000000001,3.6648648648648647,0.23243243243243245,0.11891891891891893,0.11351351351351352,1.338461538462568,0.005405405405405406,191.8029266890601,95.94254422483328,3.3719230769230593,-1.5019230769230592,92.11216850646422,,,,,,
29,Higashihama Nao,https://npb.jp/bis/players/01005137.html,2014,SoftBank Hawks,7,2,2,0,0.0,0,0,0.5,161,35.1,35,3,23,1,30,2,0,17,15,3.82,0.9550000000000001,4.3652173913043475,0.18633540372670807,0.14285714285714285,0.043478260869565216,1.6415094339638125,0.018633540372670808,93.89305573522051,114.27708198230431,4.838396226416456,-1.0183962264164559,132.1724008352527,,,,,,
30,Matayoshi Katsuki,https://npb.jp/bis/players/61265139.html,2014,Chunichi Dragons,67,9,1,2,24.0,0,0,0.9,321,81.1,50,3,28,4,104,1,0,20,20,2.21,0.935,2.432398753894081,0.32398753894080995,0.08722741433021806,0.23676012461059187,0.9590163934430163,0.009345794392523364,158.89594047498855,63.677798124356585,2.4974590163930745,-0.2874590163930746,69.68342345684007,,,,,,
31,Karashima Wataru,https://npb.jp/bis/players/01505118.html,2014,Rakuten Eagles,25,8,13,0,0.0,1,1,0.381,662,154.1,160,11,46,4,99,3,0,70,65,3.79,1.0150000000000001,3.999395770392749,0.14954682779456194,0.06948640483383686,0.08006042296072508,1.3347732181428371,0.01661631419939577,100.58200693535497,104.70023308421939,4.010550755939658,-0.22055075593965778,103.08149162443752,,,,,,
32,Kishi Takayuki,https://npb.jp/bis/players/91795114.html,2014,Seibu Lions,23,13,4,0,0.0,5,4,0.765,630,161.1,126,16,36,2,126,0,0,48,45,2.51,1.03,3.3714285714285714,0.2,0.05714285714285714,0.14285714285714288,1.0041322314051664,0.025396825396825397,154.11927873669663,88.26067174159759,3.8288842975207507,-1.3188842975207509,96.97900808605809,,,,,,
33,Konno Ryuta,https://npb.jp/bis/players/21725139.html,2014,Rakuten Eagles,5,0,0,0,0.0,0,0,0.0,25,5.1,9,2,0,0,1,0,0,5,5,8.44,1.0150000000000001,4.3999999999999995,0.04,0.0,0.04,1.6875000000105473,0.08,45.16656472571035,115.18765634072903,7.895000000028126,0.5449999999718731,202.921849367583,,,,,,
34,Norimoto Takahiro,https://npb.jp/bis/players/51055137.html,2014,Rakuten Eagles,30,14,10,0,0.0,9,7,0.583,821,202.2,187,14,39,6,204,1,0,73,68,3.02,1.0150000000000001,2.7902557856272834,0.24847746650426308,0.047503045066991476,0.20097442143727162,1.1151315789477354,0.01705237515225335,126.22708817383952,73.04614194035601,2.9459868421051154,0.07401315789488461,75.71945512481395,,,,,,
35,Sugiura Toshihiro,https://npb.jp/bis/players/61765139.html,2014,Yakult Swallows,4,2,2,0,0.0,0,0,0.5,92,23.0,23,5,2,1,28,0,0,9,9,3.52,1.08,1.973913043478261,0.30434782608695654,0.021739130434782608,0.28260869565217395,1.0869565217391304,0.05434782608695652,115.23238658413426,51.675094840603755,4.177608695652174,-0.6576086956521743,100.9129082740609,,,,,,
36,Fukutani Koji,https://npb.jp/bis/players/21025137.html,2014,Chunichi Dragons,72,2,4,11,32.0,0,0,0.333,298,74.2,54,2,26,1,72,4,2,15,15,1.81,0.935,3.256375838926174,0.24161073825503357,0.087248322147651,0.15436241610738255,1.071428571429528,0.006711409395973154,194.01106544183685,85.24870478420031,2.8994642857138433,-1.0894642857138432,80.90006534368784,,,,,,
37,Miyanishi Naoki,https://npb.jp/bis/players/41445116.html,2014,Nipponham Fighters,62,1,5,0,41.0,0,0,0.167,218,50.0,47,2,23,4,46,0,0,14,12,2.16,0.985,3.7449541284403667,0.21100917431192662,0.10550458715596331,0.10550458715596331,1.4,0.009174311926605505,171.26788870220778,98.03920208149623,3.695,-1.5349999999999997,97.86354235787688,,,,,,
38,Akiyama Takumi,https://npb.jp/bis/players/51155131.html,2014,Hanshin Tigers,3,0,1,0,0.0,0,0,0.0,42,6.2,18,3,4,0,5,0,0,16,15,20.25,0.925,4.561904761904762,0.11904761904761904,0.09523809523809523,0.023809523809523808,3.3000000000329996,0.07142857142857142,17.155768208410663,119.42616317577752,9.5450000000615,10.7049999999385,269.20115543569443,,,,,,
39,Akiyama Takumi,https://npb.jp/bis/players/51155131.html,2014,Hanshin Tigers,3,0,1,0,0.0,0,0,0.0,42,6.2,18,3,4,0,5,0,0,16,15,20.25,0.925,4.561904761904762,0.11904761904761904,0.09523809523809523,0.023809523809523808,3.3000000000329996,0.07142857142857142,17.155768208410663,119.42616317577752,9.5450000000615,10.7049999999385,269.20115543569443,,,,,,
40,Nomura Yusuke,https://npb.jp/bis/players/21425135.html,2014,Hiroshima Carp,19,7,8,0,0.0,0,0,0.467,465,104.2,114,10,37,3,75,0,0,64,51,4.39,0.9650000000000001,3.982795698924731,0.16129032258064516,0.07956989247311828,0.08172043010752687,1.4426751592365876,0.021505376344086023,82.55744763962443,104.26565960069902,4.350414012739462,0.03958598726053797,117.61047266502949,,,,,,
41,Sugano Tomoyuki,https://npb.jp/bis/players/41745137.html,2014,Yomiuri Giants,23,12,5,0,0.0,3,0,0.706,640,158.2,138,12,36,2,122,6,0,50,41,2.33,0.995,3.45625,0.190625,0.05625,0.134375,1.096638655462646,0.01875,160.38384627732944,90.4812130062829,3.558865546218556,-1.228865546218556,93.31065103363179,,,,,,
42,Kayama Shinya,https://npb.jp/bis/players/91595135.html,2014,SoftBank Hawks,32,0,2,0,1.0,0,0,0.0,164,36.2,44,3,9,1,40,2,1,14,13,3.19,0.9550000000000001,2.9097560975609755,0.24390243902439024,0.054878048780487805,0.18902439024390244,1.4454545454571732,0.018292682926829267,112.43619840393177,76.17454213663511,3.0949999999994544,0.09500000000054554,84.54735028760018,,,,,,
43,Tajima Shinji,https://npb.jp/bis/players/21025135.html,2014,Chunichi Dragons,42,3,5,0,9.0,0,0,0.375,232,51.0,47,5,29,4,55,3,0,35,29,5.12,0.935,3.679310344827586,0.23706896551724138,0.125,0.11206896551724138,1.4901960784313726,0.021551724137931036,68.58594305658686,96.32071262974756,4.453823529411765,0.6661764705882351,124.26937497868069,,,,,,
44,Higa Motoki,https://npb.jp/bis/players/81085131.html,2014,ORIX Buffaloes,62,7,1,0,20.0,0,0,0.875,231,56.2,53,2,12,1,48,0,0,9,5,0.79,0.985,3.2415584415584413,0.2077922077922078,0.05194805194805195,0.15584415584415584,1.147058823530761,0.008658008658008658,468.2767589832516,84.86079994877794,2.847941176469945,-2.057941176469945,75.4288530328033,,,,,,
45,Furukawa Yuri,https://npb.jp/bis/players/41245139.html,2014,Rakuten Eagles,2,0,0,0,0.0,0,0,0.0,12,2.0,3,0,3,0,1,0,0,1,1,4.5,1.0150000000000001,6.466666666666667,0.08333333333333333,0.25,-0.16666666666666669,3.0,0.0,84.71240139666563,169.29094947046542,6.895,-2.3949999999999996,177.21927186630785,,,,,,
46,Masuda Tatsushi,https://npb.jp/bis/players/71275137.html,2014,Seibu Lions,44,3,4,0,22.0,0,0,0.429,181,44.2,35,3,13,1,37,0,0,14,14,2.82,1.03,3.4740331491712704,0.20441988950276244,0.0718232044198895,0.13259668508287292,1.0746268656732456,0.016574585635359115,137.17708852096047,90.94675829614567,3.5517164179106815,-0.7317164179106816,89.95882571718754,,,,,,
47,Kagiya Yohei,https://npb.jp/bis/players/51555137.html,2014,Nipponham Fighters,21,1,0,0,2.0,0,0,1.0,119,28.2,25,4,10,2,27,0,0,9,7,2.2,0.985,3.3714285714285714,0.226890756302521,0.08403361344537816,0.14285714285714285,1.220930232560979,0.03361344537815126,168.15392708944034,88.26067174159759,4.581046511630666,-2.3810465116306654,121.33083608508034,,,,,,
48,Ichioka Ryuji,https://npb.jp/bis/players/21125135.html,2014,Hiroshima Carp,31,2,0,2,16.0,0,0,1.0,114,31.0,16,0,7,0,27,0,0,3,2,0.58,0.9650000000000001,3.045614035087719,0.23684210526315788,0.06140350877192982,0.17543859649122806,0.7419354838709677,0.0,624.8744743757779,79.73116882276938,2.330483870967742,-1.750483870967742,63.003040354347625,,,,,,
49,Tanaka Kenjiro,https://npb.jp/bis/players/11015116.html,2014,DeNA BayStars,11,1,0,0,0.0,0,0,1.0,68,15.1,21,1,3,1,17,1,0,8,7,4.11,1.0899999999999999,2.7411764705882353,0.25,0.04411764705882353,0.20588235294117646,1.5652173913077505,0.014705882352941176,99.60431216680324,71.76129392350232,2.8080434782595933,1.301956521740407,67.20785729519345,,,,,,
50,Hirata Shingo,https://npb.jp/bis/players/51255139.html,2014,DeNA BayStars,9,0,0,0,0.0,0,0,0.0,50,13.0,9,1,5,1,7,2,0,5,5,3.46,1.0899999999999999,4.3999999999999995,0.14,0.1,0.04000000000000001,1.0769230769230769,0.02,118.31610491490213,115.18765634072903,4.702692307692308,-1.242692307692308,112.5544800020259,,,,,,
51,Miyaguni Ryosuke,https://npb.jp/bis/players/21625133.html,2014,Yomiuri Giants,3,1,1,0,0.0,0,0,0.5,64,14.0,22,3,3,1,6,2,0,11,10,6.43,0.995,4.33125,0.09375,0.046875,0.046875,1.7857142857142858,0.046875,58.1173191020494,113.38784921040515,6.180714285714286,0.24928571428571367,162.05345955417297,,,,,,
52,Takagi Kyosuke,https://npb.jp/bis/players/31035135.html,2014,Yomiuri Giants,26,0,0,0,4.0,0,0,0.0,116,28.1,24,4,9,1,26,0,0,15,15,4.76,0.995,3.3344827586206893,0.22413793103448276,0.07758620689655173,0.14655172413793105,1.1647058823543113,0.034482758620689655,78.50721887104572,87.29346683501957,4.45382352941301,0.3061764705869896,116.7757443267326,,,,,,
53,Mikami Tomoya,https://npb.jp/bis/players/31435139.html,2014,DeNA BayStars,65,1,4,21,13.0,0,0,0.2,279,65.2,55,3,27,4,67,2,1,18,17,2.33,1.0899999999999999,3.366308243727598,0.24014336917562723,0.0967741935483871,0.14336917562724014,1.2487309644682727,0.010752688172043012,175.6968768264212,88.12662661714948,3.364543147208091,-1.0345431472080908,80.52714904586607,,,,,,
54,Tanimoto Keisuke,https://npb.jp/bis/players/31035118.html,2014,Nipponham Fighters,52,5,1,1,12.0,0,0,0.833,260,68.0,41,4,19,2,63,3,2,14,12,1.59,0.985,3.1076923076923073,0.2423076923076923,0.07307692307692308,0.16923076923076924,0.8823529411764706,0.015384615384615385,232.66581106715017,81.35631671617925,3.233235294117647,-1.6432352941176471,85.63352074664814,,,,,,
55,Shiomi Takahiro,https://npb.jp/bis/players/11015133.html,2014,Rakuten Eagles,21,8,7,0,0.0,0,0,0.533,501,114.2,135,15,27,3,78,3,0,68,60,4.71,1.0150000000000001,3.7820359281437126,0.15568862275449102,0.05389221556886228,0.10179640718562874,1.4127906976752398,0.029940119760479042,80.93541534713276,99.00996699075186,4.520000000000654,0.1899999999993458,116.17565030251305,,,,,,
56,Matsui Yuki,https://npb.jp/bis/players/81285139.html,2014,Rakuten Eagles,27,4,8,0,3.0,1,0,0.333,504,116.0,91,2,67,8,126,6,2,52,49,3.8,1.0150000000000001,3.629365079365079,0.25,0.13293650793650794,0.11706349206349206,1.3620689655172413,0.003968253968253968,100.31731744341982,95.01319488566989,3.3863793103448274,0.4136206896551724,87.03867667040464,,,,,,
57,Kikuchi Yasunori,https://npb.jp/bis/players/41545116.html,2014,Rakuten Eagles,12,4,1,0,0.0,0,0,0.8,211,51.1,40,5,18,3,36,8,0,23,23,4.03,1.0150000000000001,3.9469194312796207,0.17061611374407584,0.08530805687203792,0.08530805687203792,1.1298701298708635,0.023696682464454975,94.59201148511049,103.32645433063243,4.485909090909799,-0.4559090909097989,115.29942606954107,,,,,,
58,Toda Takaya,https://npb.jp/bis/players/21225135.html,2014,Hiroshima Carp,30,4,2,0,6.0,0,0,0.667,243,57.0,59,7,22,2,36,3,0,24,21,3.32,0.9650000000000001,4.223868312757201,0.14814814814814814,0.09053497942386832,0.05761316872427982,1.4210526315789473,0.02880658436213992,109.16481781263589,110.57670264508444,4.991491228070176,-1.6714912280701761,134.9415574971943,,,,,,
59,Nakata Ren,https://npb.jp/bis/players/31235118.html,2014,Hiroshima Carp,66,9,8,0,18.0,0,0,0.529,334,78.2,78,9,25,3,69,2,0,34,34,3.89,0.9650000000000001,3.482634730538922,0.20658682634730538,0.0748502994011976,0.13173652694610777,1.3093220338994145,0.02694610778443114,93.16894476554015,91.17193920491019,4.1958474576277975,-0.3058474576277974,113.43187137520856,,,,,,
60,Inoh Shoichi,https://npb.jp/bis/players/61165137.html,2014,DeNA BayStars,25,11,9,0,0.0,3,1,0.55,682,159.1,163,18,49,7,104,8,0,83,71,4.01,1.0899999999999999,3.993548387096774,0.15249266862170088,0.0718475073313783,0.08064516129032258,1.3305439330546718,0.026392961876832845,102.08821022582578,104.54715436203999,4.612573221757577,-0.6025732217575772,110.39756515581112,,,,,,
61,Yamaguchi Shun,https://npb.jp/bis/players/51855112.html,2014,DeNA BayStars,33,8,5,0,3.0,3,2,0.615,536,124.0,107,5,60,3,96,5,0,58,40,2.9,1.0899999999999999,4.128358208955223,0.1791044776119403,0.11194029850746269,0.0671641791044776,1.346774193548387,0.009328358208955223,141.1633527605384,108.07634241467316,3.895,-0.9950000000000001,93.22313069277143,,,,,,
62,Ohmine Yuta,https://npb.jp/bis/players/01505114.html,2014,Lotte Marines,13,3,4,0,0.0,0,0,0.429,241,54.2,60,4,20,1,31,2,0,32,21,3.46,1.0150000000000001,4.34356846473029,0.12863070539419086,0.08298755186721991,0.045643153526970945,1.463414634148126,0.016597510373443983,110.17508852167495,113.7103344563138,4.364512195123133,-0.9045121951231332,112.17921294725781,,,,,,
63,Hamada Tatsuro,https://npb.jp/bis/players/71075137.html,2014,Chunichi Dragons,16,5,3,0,0.0,1,1,0.625,352,79.2,80,8,33,4,72,3,0,40,36,4.07,0.935,3.6920454545454544,0.20454545454545456,0.09375,0.11079545454545456,1.418410041842191,0.022727272727272728,86.28010527020263,96.65410523012105,4.286213389122085,-0.21621338912208454,119.5927623476817,,,,,,
64,Kaida Tomoyuki,https://npb.jp/bis/players/61365135.html,2014,ORIX Buffaloes,19,0,1,0,0.0,0,0,0.0,88,19.0,26,1,4,2,11,1,0,17,16,7.58,0.985,4.004545454545454,0.125,0.045454545454545456,0.07954545454545454,1.5789473684210527,0.011363636363636364,48.8045698676476,104.83504673159328,3.868684210526316,3.711315789473684,102.46363764711546,,,,,,
65,Nakamura Masaru,https://npb.jp/bis/players/21025131.html,2014,Nipponham Fighters,18,8,2,0,0.0,1,1,0.8,420,97.1,89,12,48,5,43,1,0,43,41,3.79,0.985,4.9190476190476184,0.10238095238095238,0.11428571428571428,-0.011904761904761904,1.407534246575825,0.02857142857142857,97.6091397352952,128.77581060603148,5.747739726028204,-1.957739726028204,152.23116918544326,,,,,,
66,Nohmi Atsushi,https://npb.jp/bis/players/61065110.html,2014,Hanshin Tigers,26,9,13,0,0.0,3,1,0.409,720,169.1,170,16,48,3,151,9,0,81,75,3.99,0.925,3.3694444444444445,0.20972222222222223,0.06666666666666667,0.14305555555555555,1.2874015748034031,0.022222222222222223,87.06874842614434,88.20872925587395,3.7434251968504624,0.24657480314953784,105.57720149531097,,,,,,
